wire_id,device_type,serial_number,enabled,fw_version
e672c2bd3e33,MobileTrack,333ebdc272e6,false,APP51.0 BSL51.0
A8A15D20A745,Google Pixel Watch 3,,true,APP69.3.38.1 BSL69.0.0 PERIPH|BT_RADIO|134.730.4|0
