timestamp,eda_level_real
2024-07-08T18:17:00.000+07:00,7.19
2024-07-08T18:21:00.000+07:00,10.51
2024-07-08T18:22:00.000+07:00,12.8
2024-07-08T18:23:00.000+07:00,14.68
2024-07-08T18:30:00.000+07:00,17.02
2024-07-08T19:10:00.000+07:00,18.06
2024-07-13T05:53:00.000+07:00,8.59
2024-07-13T05:54:00.000+07:00,9.73
2024-07-13T05:55:00.000+07:00,10.64
2024-07-13T05:56:00.000+07:00,10.99
2024-07-13T05:57:00.000+07:00,11.05
2024-07-13T05:58:00.000+07:00,11.01
2024-07-13T05:59:00.000+07:00,10.91
2024-07-13T06:00:00.000+07:00,10.79
2024-07-13T06:01:00.000+07:00,10.64
2024-07-13T06:02:00.000+07:00,10.43
2024-07-13T06:03:00.000+07:00,10.06
2024-07-13T06:04:00.000+07:00,9.72
2024-07-13T06:05:00.000+07:00,9.56
2024-07-13T06:06:00.000+07:00,9.44
2024-07-13T06:07:00.000+07:00,9.29
2024-07-13T06:08:00.000+07:00,9.14
2024-07-13T06:09:00.000+07:00,8.99
2024-07-13T06:10:00.000+07:00,8.93
2024-07-13T06:11:00.000+07:00,9.08
2024-07-13T06:12:00.000+07:00,10.0
2024-07-13T06:13:00.000+07:00,11.49
2024-07-13T06:14:00.000+07:00,12.35
2024-07-13T06:15:00.000+07:00,12.51
2024-07-13T06:16:00.000+07:00,12.34
2024-07-13T06:17:00.000+07:00,11.98
2024-07-13T06:18:00.000+07:00,11.68
2024-07-13T06:19:00.000+07:00,11.43
2024-07-13T06:20:00.000+07:00,11.2
2024-07-13T06:21:00.000+07:00,11.02
2024-07-13T06:22:00.000+07:00,10.86
2024-07-13T06:23:00.000+07:00,10.66
2024-07-13T06:24:00.000+07:00,10.42
2024-07-13T06:25:00.000+07:00,10.23
2024-07-13T06:26:00.000+07:00,10.09
2024-07-13T06:27:00.000+07:00,9.96
2024-07-13T06:28:00.000+07:00,9.83
2024-07-13T06:29:00.000+07:00,9.7
2024-07-13T06:30:00.000+07:00,9.62
2024-07-13T06:31:00.000+07:00,9.55
2024-07-13T06:32:00.000+07:00,9.53
2024-07-13T06:33:00.000+07:00,9.55
2024-07-13T06:34:00.000+07:00,9.59
2024-07-13T06:35:00.000+07:00,9.63
2024-07-13T06:36:00.000+07:00,9.68
2024-07-13T06:37:00.000+07:00,9.69
2024-07-13T06:38:00.000+07:00,9.6
2024-07-13T06:39:00.000+07:00,9.41
2024-07-13T06:40:00.000+07:00,9.23
2024-07-13T06:41:00.000+07:00,9.04
