body_response_start,body_response_end,logged_mood
2023-12-17T18:51:00.000+07:00,2023-12-17T18:54:01.000+07:00,no mood logged
2023-12-17T20:36:00.000+07:00,2023-12-17T20:47:00.000+07:00,no mood logged
2023-12-17T21:39:00.000+07:00,2023-12-17T21:42:00.000+07:00,no mood logged
2023-12-18T07:57:00.000+07:00,2023-12-18T08:01:00.000+07:00,no mood logged
2023-12-18T08:37:00.000+07:00,2023-12-18T08:40:00.000+07:00,no mood logged
2023-12-18T12:30:00.000+07:00,2023-12-18T12:42:00.000+07:00,no mood logged
2023-12-18T14:03:00.000+07:00,2023-12-18T14:07:00.000+07:00,no mood logged
2023-12-18T20:13:01.000+07:00,2023-12-18T20:23:00.000+07:00,no mood logged
2023-12-18T21:45:00.000+07:00,2023-12-18T21:48:00.000+07:00,no mood logged
2023-12-19T00:13:00.000+07:00,2023-12-19T00:16:00.000+07:00,no mood logged
2023-12-19T08:44:00.000+07:00,2023-12-19T08:56:00.000+07:00,no mood logged
2023-12-20T08:54:00.000+07:00,2023-12-20T09:02:00.000+07:00,no mood logged
2023-12-21T18:25:00.000+07:00,2023-12-21T18:33:00.000+07:00,no mood logged
2023-12-22T08:51:00.000+07:00,2023-12-22T08:56:00.000+07:00,no mood logged
2023-12-22T10:32:00.000+07:00,2023-12-22T10:35:01.000+07:00,no mood logged
2023-12-22T13:05:00.000+07:00,2023-12-22T13:13:00.000+07:00,no mood logged
2023-12-22T13:25:00.000+07:00,2023-12-22T13:29:00.000+07:00,no mood logged
2023-12-23T08:42:00.000+07:00,2023-12-23T08:45:00.000+07:00,no mood logged
2023-12-23T12:36:00.000+07:00,2023-12-23T12:39:00.000+07:00,no mood logged
2023-12-24T21:21:00.000+07:00,2023-12-24T21:30:00.000+07:00,no mood logged
2023-12-25T19:02:01.000+07:00,2023-12-25T19:14:00.000+07:00,no mood logged
2023-12-26T12:14:00.000+07:00,2023-12-26T12:17:00.000+07:00,no mood logged
2023-12-26T13:09:00.000+07:00,2023-12-26T13:14:00.000+07:00,no mood logged
2023-12-28T08:33:00.000+07:00,2023-12-28T08:36:00.000+07:00,no mood logged
2023-12-28T19:35:00.000+07:00,2023-12-28T19:38:00.000+07:00,no mood logged
2023-12-29T20:10:00.000+07:00,2023-12-29T20:13:00.000+07:00,no mood logged
2024-01-01T12:10:00.000+07:00,2024-01-01T12:16:00.000+07:00,no mood logged
2024-01-01T17:47:00.000+07:00,2024-01-01T17:58:00.000+07:00,no mood logged
2024-01-01T18:32:00.000+07:00,2024-01-01T18:37:00.000+07:00,no mood logged
2024-01-02T10:09:00.000+07:00,2024-01-02T10:14:00.000+07:00,no mood logged
2024-01-02T16:47:00.000+07:00,2024-01-02T16:58:00.000+07:00,no mood logged
2024-01-02T18:33:00.000+07:00,2024-01-02T18:37:00.000+07:00,no mood logged
2024-01-02T20:19:00.000+07:00,2024-01-02T20:25:00.000+07:00,no mood logged
2024-01-03T07:27:00.000+07:00,2024-01-03T07:32:00.000+07:00,no mood logged
2024-01-03T12:45:00.000+07:00,2024-01-03T12:48:00.000+07:00,no mood logged
2024-01-03T17:18:00.000+07:00,2024-01-03T17:22:00.000+07:00,no mood logged
2024-01-04T11:51:00.000+07:00,2024-01-04T11:57:00.000+07:00,no mood logged
2024-01-04T12:07:00.000+07:00,2024-01-04T12:11:00.000+07:00,no mood logged
2024-01-04T21:15:00.000+07:00,2024-01-04T21:18:00.000+07:00,no mood logged
2024-01-05T18:06:00.000+07:00,2024-01-05T18:09:00.000+07:00,no mood logged
2024-01-05T18:38:00.000+07:00,2024-01-05T18:55:00.000+07:00,no mood logged
2024-01-06T18:45:00.000+07:00,2024-01-06T18:53:00.000+07:00,no mood logged
2024-01-06T19:19:00.000+07:00,2024-01-06T19:30:00.000+07:00,no mood logged
2024-01-06T20:50:00.000+07:00,2024-01-06T20:53:00.000+07:00,no mood logged
2024-01-08T08:35:00.000+07:00,2024-01-08T08:38:00.000+07:00,no mood logged
2024-01-08T12:02:00.000+07:00,2024-01-08T12:06:00.000+07:00,no mood logged
2024-01-12T11:05:00.000+07:00,2024-01-12T11:08:00.000+07:00,no mood logged
2024-01-14T22:14:00.000+07:00,2024-01-14T22:20:00.000+07:00,no mood logged
2024-01-15T09:28:00.000+07:00,2024-01-15T09:36:00.000+07:00,no mood logged
2024-01-15T18:21:00.000+07:00,2024-01-15T18:24:00.000+07:00,no mood logged
2024-01-15T18:33:00.000+07:00,2024-01-15T18:37:00.000+07:00,no mood logged
2024-01-15T19:53:00.000+07:00,2024-01-15T19:56:00.000+07:00,no mood logged
2024-01-15T22:18:00.000+07:00,2024-01-15T22:25:00.000+07:00,no mood logged
2024-01-16T08:39:00.000+07:00,2024-01-16T08:49:00.000+07:00,no mood logged
2024-01-17T18:37:00.000+07:00,2024-01-17T18:40:00.000+07:00,no mood logged
2024-01-19T18:04:00.000+07:00,2024-01-19T18:09:00.000+07:00,no mood logged
2024-01-19T20:43:00.000+07:00,2024-01-19T20:46:00.000+07:00,no mood logged
2024-01-22T13:18:00.000+07:00,2024-01-22T13:21:00.000+07:00,no mood logged
2024-01-24T13:08:00.000+07:00,2024-01-24T13:13:00.000+07:00,no mood logged
2024-01-26T10:54:00.000+07:00,2024-01-26T11:02:00.000+07:00,no mood logged
2024-01-26T11:41:00.000+07:00,2024-01-26T11:46:00.000+07:00,no mood logged
2024-01-26T12:25:00.000+07:00,2024-01-26T12:36:00.000+07:00,no mood logged
2024-01-26T16:43:00.000+07:00,2024-01-26T16:46:00.000+07:00,no mood logged
2024-01-27T13:12:00.000+07:00,2024-01-27T13:15:00.000+07:00,no mood logged
2024-01-28T12:27:00.000+07:00,2024-01-28T12:30:01.000+07:00,no mood logged
2024-01-28T13:00:00.000+07:00,2024-01-28T13:04:00.000+07:00,no mood logged
2024-01-28T17:24:00.000+07:00,2024-01-28T17:28:00.000+07:00,no mood logged
2024-01-28T18:44:00.000+07:00,2024-01-28T18:52:01.000+07:00,no mood logged
2024-01-29T12:25:00.000+07:00,2024-01-29T12:31:00.000+07:00,no mood logged
2024-01-29T18:20:00.000+07:00,2024-01-29T18:34:00.000+07:00,no mood logged
2024-01-29T19:57:00.000+07:00,2024-01-29T20:02:00.000+07:00,no mood logged
2024-01-29T21:45:01.000+07:00,2024-01-29T21:54:00.000+07:00,no mood logged
2024-01-30T08:36:00.000+07:00,2024-01-30T08:45:00.000+07:00,no mood logged
2024-01-30T08:50:00.000+07:00,2024-01-30T08:54:00.000+07:00,no mood logged
2024-01-31T10:42:00.000+07:00,2024-01-31T10:45:00.000+07:00,no mood logged
2024-01-31T16:34:00.000+07:00,2024-01-31T16:40:00.000+07:00,no mood logged
2024-01-31T17:42:00.000+07:00,2024-01-31T17:48:00.000+07:00,no mood logged
2024-01-31T18:17:00.000+07:00,2024-01-31T18:25:00.000+07:00,no mood logged
2024-01-31T18:56:00.000+07:00,2024-01-31T18:59:00.000+07:00,no mood logged
2024-02-02T12:26:00.000+07:00,2024-02-02T12:34:00.000+07:00,no mood logged
2024-02-02T13:49:00.000+07:00,2024-02-02T14:00:00.000+07:00,no mood logged
2024-02-02T15:37:00.000+07:00,2024-02-02T15:42:00.000+07:00,no mood logged
2024-02-05T18:43:00.000+07:00,2024-02-05T18:56:00.000+07:00,no mood logged
2024-02-05T19:06:00.000+07:00,2024-02-05T19:09:00.000+07:00,no mood logged
2024-02-06T09:49:00.000+07:00,2024-02-06T09:52:00.000+07:00,no mood logged
2024-02-06T12:26:00.000+07:00,2024-02-06T12:29:00.000+07:00,no mood logged
2024-02-06T13:28:00.000+07:00,2024-02-06T13:31:00.000+07:00,no mood logged
2024-02-06T13:54:00.000+07:00,2024-02-06T13:59:00.000+07:00,no mood logged
2024-02-08T10:28:00.000+07:00,2024-02-08T10:34:00.000+07:00,no mood logged
2024-02-08T10:40:00.000+07:00,2024-02-08T10:46:00.000+07:00,no mood logged
2024-02-08T12:37:00.000+07:00,2024-02-08T12:40:00.000+07:00,no mood logged
2024-02-08T16:21:00.000+07:00,2024-02-08T16:31:00.000+07:00,no mood logged
2024-02-08T19:30:00.000+07:00,2024-02-08T19:39:00.000+07:00,no mood logged
2024-02-08T19:48:00.000+07:00,2024-02-08T19:51:00.000+07:00,no mood logged
2024-02-09T12:43:00.000+07:00,2024-02-09T12:49:00.000+07:00,no mood logged
2024-02-09T22:07:00.000+07:00,2024-02-09T22:10:00.000+07:00,no mood logged
2024-02-09T22:48:00.000+07:00,2024-02-09T22:51:00.000+07:00,no mood logged
2024-02-10T00:17:00.000+07:00,2024-02-10T00:20:00.000+07:00,no mood logged
2024-02-10T09:39:00.000+07:00,2024-02-10T10:02:00.000+07:00,no mood logged
2024-02-10T11:22:00.000+07:00,2024-02-10T11:28:00.000+07:00,no mood logged
2024-02-10T11:40:00.000+07:00,2024-02-10T11:45:00.000+07:00,no mood logged
