timestamp,eda_level_real
2025-06-07T17:00:00.000+07:00,6.93
2025-06-07T17:01:00.000+07:00,6.74
2025-06-07T17:02:00.000+07:00,6.59
2025-06-07T17:03:00.000+07:00,6.51
2025-06-07T17:04:00.000+07:00,6.54
2025-06-07T17:05:00.000+07:00,6.59
2025-06-07T17:06:00.000+07:00,6.71
2025-06-07T17:07:00.000+07:00,6.86
2025-06-07T17:08:00.000+07:00,6.88
2025-06-07T17:09:00.000+07:00,6.8
2025-06-07T17:10:00.000+07:00,6.73
2025-06-07T17:11:00.000+07:00,6.67
2025-06-07T17:12:00.000+07:00,6.61
2025-06-07T17:13:00.000+07:00,6.59
2025-06-07T17:14:00.000+07:00,6.59
2025-06-07T17:15:00.000+07:00,6.58
2025-06-07T17:16:00.000+07:00,6.55
2025-06-07T17:17:00.000+07:00,6.48
2025-06-07T17:18:00.000+07:00,6.37
2025-06-07T17:19:00.000+07:00,6.23
2025-06-07T17:20:00.000+07:00,6.06
2025-06-07T17:21:00.000+07:00,5.74
2025-06-07T17:22:00.000+07:00,5.51
2025-06-07T17:23:00.000+07:00,5.47
2025-06-07T17:24:00.000+07:00,5.45
2025-06-07T17:25:00.000+07:00,5.42
2025-06-07T17:26:00.000+07:00,5.34
2025-06-07T17:27:00.000+07:00,5.16
2025-06-07T17:28:00.000+07:00,5.06
2025-06-07T17:29:00.000+07:00,5.09
2025-06-07T17:30:00.000+07:00,5.16
2025-06-07T17:31:00.000+07:00,5.24
2025-06-07T17:32:00.000+07:00,5.31
2025-06-07T17:33:00.000+07:00,5.36
2025-06-07T17:34:00.000+07:00,5.43
2025-06-07T17:35:00.000+07:00,5.6
2025-06-07T17:36:00.000+07:00,5.9
2025-06-07T17:37:00.000+07:00,6.15
2025-06-07T17:38:00.000+07:00,6.33
2025-06-07T17:39:00.000+07:00,6.49
2025-06-07T17:40:00.000+07:00,6.58
2025-06-07T17:41:00.000+07:00,6.62
2025-06-07T17:42:00.000+07:00,6.65
2025-06-07T17:43:00.000+07:00,6.59
2025-06-07T17:44:00.000+07:00,6.42
2025-06-07T17:45:00.000+07:00,6.27
2025-06-07T17:46:00.000+07:00,6.09
2025-06-07T17:47:00.000+07:00,5.69
2025-06-07T17:48:00.000+07:00,5.36
2025-06-07T17:49:00.000+07:00,5.23
2025-06-07T17:50:00.000+07:00,5.13
2025-06-07T17:51:00.000+07:00,5.05
2025-06-07T17:52:00.000+07:00,5.0
2025-06-07T17:53:00.000+07:00,4.96
2025-06-07T17:54:00.000+07:00,4.95
2025-06-07T17:55:00.000+07:00,4.95
2025-06-07T17:56:00.000+07:00,4.96
2025-06-07T17:57:00.000+07:00,4.99
2025-06-07T17:58:00.000+07:00,5.04
2025-06-07T17:59:00.000+07:00,5.11
2025-06-07T18:00:00.000+07:00,5.16
2025-06-07T18:01:00.000+07:00,5.2
2025-06-07T18:02:00.000+07:00,5.43
2025-06-07T18:03:00.000+07:00,6.0
2025-06-07T18:04:00.000+07:00,6.39
2025-06-07T18:05:00.000+07:00,6.55
2025-06-07T18:06:00.000+07:00,6.61
2025-06-07T18:07:00.000+07:00,6.61
2025-06-07T18:08:00.000+07:00,6.66
2025-06-07T18:09:00.000+07:00,6.76
2025-06-07T18:10:00.000+07:00,6.92
2025-06-07T18:11:00.000+07:00,7.19
2025-06-07T18:12:00.000+07:00,7.43
2025-06-07T18:13:00.000+07:00,7.55
2025-06-07T18:14:00.000+07:00,7.59
2025-06-07T18:15:00.000+07:00,7.53
2025-06-07T18:16:00.000+07:00,7.4
2025-06-07T18:17:00.000+07:00,7.34
2025-06-07T18:18:00.000+07:00,7.34
2025-06-07T18:19:00.000+07:00,7.34
2025-06-07T18:20:00.000+07:00,7.33
2025-06-07T18:21:00.000+07:00,7.21
2025-06-07T18:22:00.000+07:00,7.01
2025-06-07T18:34:00.000+07:00,5.8
2025-06-07T18:35:00.000+07:00,5.72
2025-06-07T18:36:00.000+07:00,5.54
2025-06-07T18:37:00.000+07:00,5.44
2025-06-07T18:38:00.000+07:00,5.45
2025-06-07T18:39:00.000+07:00,5.51
2025-06-07T18:40:00.000+07:00,5.63
2025-06-07T18:41:00.000+07:00,5.75
2025-06-07T18:42:00.000+07:00,5.79
2025-06-07T18:43:00.000+07:00,5.74
2025-06-07T18:44:00.000+07:00,5.65
2025-06-07T18:45:00.000+07:00,5.53
2025-06-07T18:46:00.000+07:00,5.4
2025-06-07T18:47:00.000+07:00,5.32
2025-06-07T18:48:00.000+07:00,5.22
2025-06-07T18:49:00.000+07:00,5.1
2025-06-07T18:50:00.000+07:00,4.96
2025-06-07T18:51:00.000+07:00,4.87
2025-06-07T18:52:00.000+07:00,4.82
2025-06-07T18:53:00.000+07:00,4.8
2025-06-07T18:54:00.000+07:00,4.79
2025-06-07T18:55:00.000+07:00,4.79
2025-06-07T18:56:00.000+07:00,4.79
2025-06-07T18:57:00.000+07:00,4.8
2025-06-07T18:58:00.000+07:00,4.83
2025-06-07T18:59:00.000+07:00,4.85
2025-06-07T19:00:00.000+07:00,4.85
2025-06-07T19:01:00.000+07:00,4.8
2025-06-07T19:02:00.000+07:00,4.71
2025-06-07T19:03:00.000+07:00,4.64
2025-06-07T19:04:00.000+07:00,4.6
2025-06-07T19:05:00.000+07:00,4.57
2025-06-07T19:06:00.000+07:00,4.56
2025-06-07T19:07:00.000+07:00,4.56
2025-06-07T19:08:00.000+07:00,4.56
2025-06-07T19:09:00.000+07:00,4.56
2025-06-07T19:10:00.000+07:00,4.57
2025-06-07T19:11:00.000+07:00,4.59
2025-06-07T19:12:00.000+07:00,4.65
2025-06-07T19:13:00.000+07:00,4.72
2025-06-07T19:14:00.000+07:00,4.79
2025-06-07T19:15:00.000+07:00,4.82
2025-06-07T19:16:00.000+07:00,4.82
2025-06-07T19:17:00.000+07:00,4.82
2025-06-07T19:18:00.000+07:00,4.81
2025-06-07T19:19:00.000+07:00,4.78
2025-06-07T19:20:00.000+07:00,4.75
2025-06-07T19:21:00.000+07:00,4.73
2025-06-07T19:22:00.000+07:00,4.71
2025-06-07T19:23:00.000+07:00,4.71
2025-06-07T19:24:00.000+07:00,4.72
2025-06-07T19:25:00.000+07:00,4.73
2025-06-07T19:26:00.000+07:00,4.75
2025-06-07T19:27:00.000+07:00,4.76
2025-06-07T19:28:00.000+07:00,4.76
2025-06-07T19:28:59.000+07:00,4.77
2025-06-07T19:30:00.000+07:00,4.77
2025-06-07T19:31:00.000+07:00,4.77
2025-06-07T19:32:00.000+07:00,4.76
2025-06-07T19:33:00.000+07:00,4.76
2025-06-07T19:34:00.000+07:00,4.91
2025-06-07T19:35:00.000+07:00,5.58
2025-06-07T19:36:00.000+07:00,6.25
2025-06-07T19:37:00.000+07:00,6.43
2025-06-07T19:38:00.000+07:00,6.49
2025-06-07T19:39:00.000+07:00,6.58
2025-06-07T19:40:00.000+07:00,6.87
2025-06-07T19:41:00.000+07:00,7.42
2025-06-08T20:20:00.000+07:00,9.55
2025-06-08T20:21:00.000+07:00,9.38
2025-06-08T20:22:00.000+07:00,9.15
2025-06-08T20:23:00.000+07:00,8.9
2025-06-08T20:24:00.000+07:00,8.66
2025-06-08T20:25:00.000+07:00,8.36
2025-06-08T20:26:00.000+07:00,8.11
2025-06-08T20:27:00.000+07:00,7.98
2025-06-08T20:28:00.000+07:00,7.95
2025-06-08T20:29:00.000+07:00,7.94
2025-06-08T20:30:00.000+07:00,7.93
2025-06-08T20:31:00.000+07:00,7.96
2025-06-08T20:32:00.000+07:00,8.03
2025-06-08T20:33:00.000+07:00,8.02
2025-06-08T20:34:00.000+07:00,7.98
2025-06-08T20:35:00.000+07:00,7.93
2025-06-08T20:36:00.000+07:00,7.89
2025-06-08T20:37:00.000+07:00,7.82
2025-06-08T20:38:00.000+07:00,7.67
2025-06-08T20:39:00.000+07:00,7.47
2025-06-08T20:40:00.000+07:00,7.31
2025-06-08T20:41:00.000+07:00,7.17
2025-06-08T20:42:00.000+07:00,7.06
2025-06-08T20:43:00.000+07:00,7.01
2025-06-08T20:44:00.000+07:00,7.01
2025-06-08T20:45:00.000+07:00,7.02
2025-06-08T20:46:00.000+07:00,7.05
2025-06-08T20:47:00.000+07:00,7.09
2025-06-08T20:48:00.000+07:00,7.15
2025-06-08T20:49:00.000+07:00,7.2
2025-06-08T20:50:00.000+07:00,7.21
2025-06-08T20:51:00.000+07:00,7.13
2025-06-08T20:52:00.000+07:00,6.95
2025-06-08T20:53:00.000+07:00,6.74
2025-06-08T20:54:00.000+07:00,6.62
2025-06-08T20:55:00.000+07:00,6.61
2025-06-08T20:56:00.000+07:00,6.64
2025-06-08T20:57:00.000+07:00,6.64
2025-06-08T20:58:00.000+07:00,6.62
2025-06-08T20:59:00.000+07:00,6.59
2025-06-08T21:00:00.000+07:00,6.57
2025-06-08T21:01:00.000+07:00,6.6
2025-06-08T21:02:00.000+07:00,6.72
2025-06-08T21:03:00.000+07:00,7.15
2025-06-08T21:04:00.000+07:00,7.67
2025-06-08T21:05:00.000+07:00,7.92
2025-06-08T21:06:00.000+07:00,8.03
2025-06-08T21:07:00.000+07:00,8.15
2025-06-08T21:08:00.000+07:00,8.42
2025-06-08T21:09:00.000+07:00,9.22
2025-06-08T21:10:00.000+07:00,10.08
2025-06-08T21:11:00.000+07:00,11.03
2025-06-08T21:12:00.000+07:00,12.17
2025-06-08T21:13:00.000+07:00,12.66
2025-06-08T21:14:00.000+07:00,12.64
2025-06-09T06:52:00.000+07:00,3.89
2025-06-09T06:53:00.000+07:00,3.89
2025-06-09T06:54:00.000+07:00,3.87
2025-06-09T06:55:00.000+07:00,3.88
2025-06-09T06:56:00.000+07:00,3.98
2025-06-09T06:57:00.000+07:00,4.07
2025-06-09T06:58:00.000+07:00,4.11
2025-06-09T06:59:00.000+07:00,4.27
2025-06-09T07:00:00.000+07:00,4.58
2025-06-09T07:01:00.000+07:00,4.94
2025-06-09T07:02:00.000+07:00,5.38
2025-06-09T07:03:00.000+07:00,5.92
2025-06-09T07:04:00.000+07:00,6.65
2025-06-09T07:05:00.000+07:00,7.76
2025-06-09T07:06:00.000+07:00,8.64
2025-06-09T07:07:00.000+07:00,8.88
2025-06-09T07:08:00.000+07:00,8.86
2025-06-09T07:09:00.000+07:00,8.67
2025-06-09T07:10:00.000+07:00,8.39
2025-06-09T07:11:00.000+07:00,8.16
2025-06-09T07:12:00.000+07:00,7.98
2025-06-09T07:13:00.000+07:00,7.85
2025-06-09T07:14:00.000+07:00,7.74
2025-06-09T07:15:00.000+07:00,7.66
2025-06-09T07:16:00.000+07:00,7.61
2025-06-09T07:17:00.000+07:00,7.58
2025-06-09T07:18:00.000+07:00,7.57
