timestamp,gain
2024-08-05T11:47:00Z,3048
2024-08-05T11:48:00Z,3048
2024-08-09T23:19:00Z,3048
2024-08-17T11:25:00Z,3048
2024-08-17T11:29:00Z,3048
2024-08-17T11:38:00Z,3048
2024-08-17T11:50:00Z,3048
2024-08-17T11:56:00Z,6096
2024-08-17T12:02:00Z,3048
2024-08-17T12:12:00Z,6096
2024-08-17T12:13:00Z,3048
2024-08-17T12:16:00Z,3048
2024-08-17T12:17:00Z,3048
2024-08-17T12:18:00Z,3048
2024-08-17T12:19:00Z,3048
2024-08-22T13:18:00Z,3048
2024-08-22T13:20:00Z,3048
2024-08-22T13:21:00Z,3048
2024-08-22T13:34:00Z,3048
2024-08-22T13:38:00Z,3048
2024-08-22T13:57:00Z,3048
2024-08-31T12:35:00Z,3048
2024-08-31T12:37:00Z,3048
2024-08-31T12:40:00Z,3048
2024-08-31T12:41:00Z,3048
2024-08-31T12:56:00Z,3048
2024-08-31T13:05:00Z,3048
2024-08-31T13:07:00Z,3048
2024-08-31T13:08:00Z,3048
2024-08-31T13:25:00Z,3048
2024-08-31T13:27:00Z,6096
2024-08-31T13:29:00Z,3048
2024-08-31T13:30:00Z,6096
2024-08-31T13:31:00Z,6096
2024-08-31T13:32:00Z,6096
2024-08-31T13:38:00Z,3048
