timestamp,gain
2025-08-02T00:27:00Z,3048
2025-08-02T01:34:00Z,3048
2025-08-02T04:37:00Z,3048
2025-08-02T06:28:00Z,3048
2025-08-02T09:46:00Z,3048
2025-08-02T14:12:00Z,3048
2025-08-02T16:46:00Z,3048
2025-08-03T03:06:00Z,3048
2025-08-03T04:50:00Z,3048
2025-08-03T05:05:00Z,3048
2025-08-03T08:01:00Z,3048
2025-08-03T09:34:00Z,3048
2025-08-03T14:31:00Z,3048
2025-08-03T23:43:00Z,3048
2025-08-04T00:50:00Z,3048
2025-08-04T10:52:00Z,3048
2025-08-04T15:42:00Z,3048
2025-08-05T00:49:00Z,3048
2025-08-05T08:50:00Z,3048
2025-08-05T15:41:00Z,3048
2025-08-06T09:29:00Z,3048
2025-08-06T12:51:00Z,3048
2025-08-06T15:16:00Z,3048
2025-08-07T00:51:00Z,3048
