timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage
2025-07-03T00:00:00Z,95.3,94.3,96.7,94.3,0.8
2025-07-06T00:00:00Z,94.7,92.0,96.7,94.3,0.7
2025-07-07T00:00:00Z,93.7,90.6,95.7,94.3,0.7
2025-07-10T00:00:00Z,93.7,90.1,96.6,94.3,0.7
2025-07-15T00:00:00Z,93.1,91.0,95.4,94.2,0.8
2025-07-17T00:00:00Z,94.2,91.2,96.6,94.2,0.8
2025-07-19T00:00:00Z,91.7,85.3,94.2,94.2,0.9
2025-07-22T00:00:00Z,93.7,91.7,95.3,94.1,0.9
2025-07-23T00:00:00Z,94.0,91.4,96.0,94.1,0.9
2025-07-24T00:00:00Z,93.1,90.1,96.2,94.1,0.9
2025-07-25T00:00:00Z,94.4,92.9,96.0,94.1,0.9
2025-07-27T00:00:00Z,94.7,92.6,96.7,94.0,0.9
2025-07-28T00:00:00Z,95.5,93.9,97.0,94.1,0.9
2025-07-29T00:00:00Z,94.2,92.3,95.6,94.1,0.9
2025-07-31T00:00:00Z,93.6,86.6,97.2,94.0,0.8
