timestamp,vertical oscillation
2025-07-06T09:36:28Z,10.5
2025-07-06T09:36:33Z,9.9
2025-07-06T09:36:38Z,9.8
2025-07-06T09:36:43Z,9.5
2025-07-06T09:36:48Z,9.5
2025-07-06T09:36:52Z,9.4
2025-07-06T09:36:57Z,9.3
2025-07-06T09:37:03Z,9.3
2025-07-06T09:37:08Z,9.2
2025-07-06T09:37:13Z,9.1
2025-07-06T09:37:18Z,9.2
2025-07-06T09:37:23Z,8.9
2025-07-06T09:37:28Z,8.5
2025-07-06T09:37:33Z,7.9
2025-07-06T09:37:38Z,7.6
2025-07-06T09:37:43Z,7.6
2025-07-06T09:37:48Z,7.6
2025-07-06T09:37:53Z,7.6
2025-07-06T09:37:58Z,7.5
2025-07-06T09:38:03Z,7.3
2025-07-06T09:38:08Z,7.4
2025-07-06T09:38:13Z,7.4
2025-07-06T09:38:18Z,7.6
2025-07-06T09:38:23Z,7.6
2025-07-06T09:38:28Z,7.4
2025-07-06T09:38:33Z,7.4
2025-07-06T09:38:38Z,7.0
2025-07-06T09:38:43Z,6.6
2025-07-06T09:38:48Z,6.1
2025-07-06T09:38:53Z,6.0
2025-07-06T09:38:58Z,6.1
2025-07-06T09:39:03Z,6.1
2025-07-06T09:39:08Z,6.0
2025-07-06T09:39:13Z,5.8
2025-07-06T09:39:18Z,5.7
2025-07-06T09:39:23Z,5.8
2025-07-06T09:39:28Z,6.1
2025-07-06T09:39:33Z,6.1
2025-07-06T09:39:38Z,6.4
2025-07-06T09:39:43Z,6.6
2025-07-06T09:39:48Z,6.5
2025-07-06T09:39:53Z,6.4
2025-07-06T09:39:58Z,6.4
2025-07-06T09:40:03Z,6.4
2025-07-06T09:40:08Z,6.3
2025-07-06T09:40:13Z,5.9
2025-07-06T09:40:18Z,6.1
2025-07-06T09:40:23Z,6.0
2025-07-06T09:40:28Z,6.1
2025-07-06T09:40:33Z,5.9
2025-07-06T09:40:38Z,6.2
2025-07-06T09:40:43Z,6.3
2025-07-06T09:40:48Z,6.6
2025-07-06T09:40:53Z,6.6
2025-07-06T09:40:58Z,6.5
2025-07-06T09:41:03Z,6.4
2025-07-06T09:41:08Z,6.1
2025-07-06T09:41:13Z,6.2
2025-07-06T09:41:18Z,6.1
2025-07-06T09:41:23Z,6.1
2025-07-06T09:41:29Z,6.0
2025-07-06T09:41:34Z,5.9
2025-07-06T09:41:39Z,6.0
2025-07-06T09:41:44Z,6.1
2025-07-06T09:41:49Z,6.4
2025-07-06T09:41:54Z,6.2
2025-07-06T09:41:59Z,6.1
2025-07-06T09:42:04Z,6.0
2025-07-06T09:42:08Z,6.0
2025-07-06T09:42:13Z,6.3
2025-07-06T09:42:18Z,6.4
2025-07-06T09:42:23Z,6.9
2025-07-06T09:42:28Z,7.0
2025-07-06T09:42:33Z,7.0
2025-07-06T09:42:38Z,6.3
2025-07-06T09:42:43Z,6.1
2025-07-06T09:42:48Z,6.1
2025-07-06T09:42:53Z,6.1
2025-07-06T09:42:58Z,6.2
2025-07-06T09:43:03Z,6.5
2025-07-06T09:43:08Z,6.9
2025-07-06T09:43:13Z,7.0
2025-07-06T09:43:18Z,6.6
2025-07-06T09:43:23Z,6.2
2025-07-06T09:43:28Z,6.2
2025-07-06T09:43:33Z,6.6
2025-07-06T09:43:38Z,6.7
2025-07-06T09:43:43Z,6.5
2025-07-06T09:43:48Z,6.2
2025-07-06T09:43:53Z,6.2
2025-07-06T09:43:59Z,6.2
2025-07-06T09:44:04Z,6.3
2025-07-06T09:44:09Z,6.5
2025-07-06T09:44:14Z,6.7
2025-07-06T09:44:19Z,6.4
2025-07-06T09:44:24Z,6.0
2025-07-06T09:44:29Z,5.9
2025-07-06T09:44:34Z,6.1
2025-07-06T09:44:39Z,6.3
2025-07-06T09:44:44Z,6.2
2025-07-06T09:44:48Z,6.0
2025-07-06T09:44:53Z,6.0
2025-07-06T09:44:58Z,6.3
2025-07-06T09:45:03Z,6.4
2025-07-06T09:45:08Z,6.5
2025-07-06T09:45:13Z,6.4
2025-07-06T09:45:19Z,6.5
2025-07-06T09:45:24Z,6.6
2025-07-06T09:45:29Z,6.8
2025-07-06T09:45:33Z,7.1
2025-07-06T09:45:38Z,7.0
2025-07-06T09:45:43Z,7.0
2025-07-06T09:45:48Z,6.6
2025-07-06T09:45:53Z,6.3
2025-07-06T09:45:58Z,5.9
2025-07-06T09:46:03Z,5.7
2025-07-06T09:46:08Z,6.0
2025-07-06T09:46:13Z,6.1
2025-07-06T09:46:18Z,6.1
2025-07-06T09:46:23Z,6.1
2025-07-06T09:46:28Z,7.5
2025-07-06T09:46:33Z,7.3
2025-07-06T09:46:38Z,7.2
2025-07-06T09:46:43Z,5.8
2025-07-06T09:46:48Z,6.0
2025-07-06T09:46:53Z,6.1
2025-07-06T09:46:58Z,6.0
2025-07-06T09:47:03Z,5.9
2025-07-06T09:47:08Z,5.7
2025-07-06T09:47:13Z,5.8
2025-07-06T09:47:18Z,5.9
2025-07-06T09:47:23Z,5.9
2025-07-06T09:47:28Z,5.8
2025-07-06T09:47:34Z,5.7
2025-07-06T09:47:39Z,5.6
2025-07-06T09:47:43Z,5.6
2025-07-06T09:47:48Z,5.8
2025-07-06T09:47:53Z,5.8
2025-07-06T09:47:58Z,5.7
2025-07-06T09:48:03Z,5.5
2025-07-06T09:48:08Z,5.6
2025-07-06T09:48:13Z,5.7
2025-07-06T09:48:18Z,6.1
2025-07-06T09:48:23Z,6.0
2025-07-06T09:48:28Z,6.0
2025-07-06T09:48:33Z,5.6
2025-07-06T09:48:38Z,5.7
2025-07-06T09:48:43Z,5.6
2025-07-06T09:48:48Z,6.0
2025-07-06T09:48:54Z,6.0
2025-07-06T09:48:59Z,6.2
2025-07-06T09:49:04Z,6.0
2025-07-06T09:49:09Z,6.0
2025-07-06T09:49:14Z,5.8
2025-07-06T09:49:19Z,5.6
2025-07-06T09:49:24Z,5.7
2025-07-06T09:49:29Z,5.9
2025-07-06T09:49:34Z,5.9
2025-07-06T09:49:39Z,5.9
2025-07-06T09:49:43Z,5.7
2025-07-06T09:49:48Z,6.0
2025-07-06T09:49:53Z,6.1
2025-07-06T09:49:58Z,6.2
2025-07-06T09:50:04Z,6.4
2025-07-06T09:50:09Z,6.3
2025-07-06T09:50:14Z,6.2
2025-07-06T09:50:19Z,5.9
2025-07-06T09:50:24Z,6.0
2025-07-06T09:50:28Z,6.2
2025-07-06T09:50:33Z,6.2
2025-07-06T09:50:38Z,6.1
2025-07-06T09:50:43Z,5.7
2025-07-06T09:50:48Z,5.6
2025-07-06T09:50:53Z,6.3
2025-07-06T09:50:58Z,6.4
2025-07-06T09:51:03Z,6.6
2025-07-06T09:51:08Z,6.1
2025-07-06T09:51:13Z,6.0
2025-07-06T09:51:18Z,5.7
2025-07-06T09:51:23Z,5.4
2025-07-06T09:51:28Z,5.7
2025-07-06T09:51:33Z,5.9
2025-07-06T09:51:38Z,5.8
2025-07-06T09:51:43Z,5.7
2025-07-06T09:51:48Z,5.7
2025-07-06T09:51:53Z,5.9
2025-07-06T09:51:58Z,5.7
2025-07-06T09:52:03Z,6.3
2025-07-06T09:52:08Z,6.6
2025-07-06T09:52:13Z,7.7
2025-07-06T09:52:18Z,7.0
2025-07-06T09:52:23Z,7.8
2025-07-06T09:52:28Z,7.6
2025-07-06T09:52:33Z,8.6
2025-07-06T09:52:39Z,8.5
2025-07-06T09:52:44Z,8.0
2025-07-06T09:52:48Z,7.7
2025-07-06T09:52:53Z,7.7
2025-07-06T09:52:59Z,8.2
2025-07-06T09:53:03Z,8.5
2025-07-06T09:53:09Z,8.5
2025-07-06T09:53:14Z,8.7
2025-07-06T09:53:19Z,8.9
2025-07-06T09:53:24Z,9.2
2025-07-06T09:53:29Z,9.5
2025-07-06T09:53:34Z,9.3
2025-07-06T09:53:39Z,9.2
2025-07-06T09:53:44Z,9.2
2025-07-06T09:53:49Z,9.1
2025-07-06T09:53:53Z,9.1
2025-07-06T09:53:58Z,8.9
2025-07-06T09:54:03Z,8.0
2025-07-06T09:54:08Z,6.9
2025-07-06T09:54:13Z,5.8
2025-07-06T09:54:18Z,5.7
2025-07-06T09:54:23Z,5.5
2025-07-06T09:54:28Z,5.6
2025-07-06T09:54:33Z,5.6
2025-07-06T09:54:38Z,5.5
2025-07-06T09:54:43Z,5.4
2025-07-06T09:54:48Z,5.6
2025-07-06T09:54:53Z,5.7
2025-07-06T09:54:58Z,5.8
2025-07-06T09:55:03Z,5.6
2025-07-06T09:55:08Z,5.7
2025-07-06T09:55:13Z,5.5
2025-07-06T09:55:18Z,5.5
2025-07-06T09:55:23Z,5.9
2025-07-06T09:55:29Z,6.2
2025-07-06T09:55:34Z,6.5
2025-07-06T09:55:39Z,6.3
2025-07-06T09:55:44Z,6.5
2025-07-06T09:55:49Z,6.3
2025-07-06T09:55:54Z,6.2
2025-07-06T09:55:59Z,5.9
2025-07-06T09:56:03Z,6.1
2025-07-06T09:56:08Z,6.4
2025-07-06T09:56:13Z,6.5
2025-07-06T09:56:18Z,6.2
2025-07-06T09:56:23Z,6.1
2025-07-06T09:56:28Z,6.0
2025-07-06T09:56:34Z,6.0
2025-07-06T09:56:39Z,6.1
2025-07-06T09:56:44Z,6.0
2025-07-06T09:56:49Z,6.0
2025-07-06T09:56:53Z,5.9
2025-07-06T09:56:58Z,5.8
2025-07-06T09:57:03Z,5.8
2025-07-06T09:57:09Z,5.8
2025-07-06T09:57:14Z,6.0
2025-07-06T09:57:19Z,6.1
2025-07-06T09:57:24Z,6.1
2025-07-06T09:57:29Z,6.3
2025-07-06T09:57:34Z,6.4
2025-07-06T09:57:39Z,6.6
2025-07-06T09:57:43Z,6.4
2025-07-06T09:57:49Z,6.3
