timestamp,ground contact time
2024-10-31T11:39:30Z,330
2024-10-31T11:39:35Z,330
2024-10-31T11:39:40Z,313
2024-10-31T11:39:45Z,297
2024-10-31T11:39:50Z,278
2024-10-31T11:39:55Z,279
2024-10-31T11:40:00Z,292
2024-10-31T11:40:05Z,304
2024-10-31T11:40:10Z,311
2024-10-31T11:40:15Z,305
2024-10-31T11:40:20Z,297
2024-10-31T11:40:24Z,307
2024-10-31T11:41:15Z,253
2024-10-31T11:41:20Z,255
2024-10-31T11:41:25Z,271
2024-10-31T11:41:30Z,271
2024-10-31T11:41:35Z,272
2024-10-31T11:41:40Z,257
2024-10-31T11:41:45Z,257
2024-10-31T11:41:50Z,255
2024-10-31T11:41:55Z,252
2024-10-31T11:42:00Z,250
2024-10-31T11:42:05Z,249
2024-10-31T11:42:10Z,252
2024-10-31T11:42:15Z,251
2024-10-31T11:42:20Z,255
2024-10-31T11:42:25Z,253
2024-10-31T11:42:30Z,255
2024-10-31T11:42:35Z,253
2024-10-31T11:42:40Z,250
2024-10-31T11:42:45Z,247
2024-10-31T11:42:50Z,244
2024-10-31T11:42:55Z,248
2024-10-31T11:43:00Z,247
2024-10-31T11:43:05Z,249
2024-10-31T11:43:10Z,247
2024-10-31T11:43:15Z,249
2024-10-31T11:43:20Z,246
2024-10-31T11:43:25Z,247
2024-10-31T11:43:30Z,247
2024-10-31T11:43:35Z,248
2024-10-31T11:43:40Z,247
2024-10-31T11:43:45Z,244
2024-10-31T11:43:50Z,246
2024-10-31T11:43:55Z,245
2024-10-31T11:44:00Z,245
2024-10-31T11:44:05Z,243
2024-10-31T11:44:10Z,245
2024-10-31T11:44:15Z,245
2024-10-31T11:44:20Z,246
2024-10-31T11:44:25Z,243
2024-10-31T11:44:30Z,246
2024-10-31T11:44:35Z,243
2024-10-31T11:44:40Z,241
2024-10-31T11:44:45Z,238
2024-10-31T11:44:50Z,242
2024-10-31T11:44:55Z,247
2024-10-31T11:45:00Z,249
2024-10-31T11:45:05Z,251
2024-10-31T11:45:10Z,252
2024-10-31T11:45:15Z,254
2024-10-31T11:45:20Z,252
2024-10-31T11:45:25Z,252
2024-10-31T11:45:30Z,253
2024-10-31T11:45:34Z,254
2024-10-31T11:45:39Z,250
2024-10-31T11:45:45Z,251
2024-10-31T11:45:49Z,248
2024-10-31T11:45:54Z,249
2024-10-31T11:45:59Z,242
2024-10-31T11:46:04Z,244
2024-10-31T11:46:10Z,245
2024-10-31T11:46:15Z,249
2024-10-31T11:46:20Z,246
2024-10-31T11:46:25Z,243
2024-10-31T11:46:30Z,243
2024-10-31T11:46:35Z,247
2024-10-31T11:46:40Z,248
2024-10-31T11:46:45Z,247
2024-10-31T11:46:50Z,243
2024-10-31T11:46:55Z,243
2024-10-31T11:47:00Z,244
2024-10-31T11:47:05Z,244
2024-10-31T11:47:10Z,240
2024-10-31T11:47:15Z,235
2024-10-31T11:47:20Z,231
2024-10-31T11:47:25Z,237
2024-10-31T11:47:30Z,239
2024-10-31T11:47:35Z,243
2024-10-31T11:47:40Z,237
2024-10-31T11:47:45Z,232
2024-10-31T11:47:50Z,252
2024-10-31T11:47:55Z,257
2024-10-31T11:48:00Z,261
2024-10-31T11:48:05Z,244
2024-10-31T11:48:10Z,241
2024-10-31T11:48:15Z,240
2024-10-31T11:48:20Z,234
2024-10-31T11:48:25Z,234
2024-10-31T11:48:30Z,233
2024-10-31T11:48:35Z,235
2024-10-31T11:48:40Z,236
2024-10-31T11:48:45Z,243
2024-10-31T11:48:50Z,251
2024-10-31T11:48:55Z,247
2024-10-31T11:49:00Z,240
2024-10-31T11:49:05Z,231
2024-10-31T11:49:10Z,232
2024-10-31T11:49:15Z,238
2024-10-31T11:49:20Z,242
2024-10-31T11:49:25Z,241
2024-10-31T11:49:40Z,348
2024-10-31T11:49:45Z,349
2024-10-31T11:49:50Z,344
2024-10-31T11:49:55Z,341
2024-10-31T11:50:00Z,338
2024-10-31T11:50:05Z,339
2024-10-31T11:50:10Z,337
