timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage
2024-12-02T00:00:00Z,93.3,92.7,93.9,94.0,0.6
2024-12-03T00:00:00Z,94.4,93.2,95.7,94.1,0.6
2024-12-04T00:00:00Z,93.8,92.2,95.6,94.0,0.6
2024-12-05T00:00:00Z,94.7,92.7,98.5,94.1,0.6
2024-12-07T00:00:00Z,94.4,92.6,96.2,94.1,0.6
2024-12-13T00:00:00Z,94.3,92.0,96.5,94.1,0.6
2024-12-23T00:00:00Z,93.4,91.1,96.1,94.1,0.6
2024-12-24T00:00:00Z,94.9,93.9,95.8,94.2,0.6
2024-12-25T00:00:00Z,93.6,92.5,94.9,94.1,0.6
2024-12-27T00:00:00Z,94.2,93.2,95.7,94.1,0.6
2024-12-30T00:00:00Z,92.9,88.8,95.7,94.0,0.7
