timestamp,beats per minute
2024-07-14T23:16:14Z,34.0
2024-07-14T23:16:19Z,81.0
2024-07-14T23:16:24Z,77.0
2024-07-14T23:16:29Z,78.0
2024-07-14T23:16:34Z,77.0
2024-07-14T23:16:39Z,76.0
2024-07-14T23:16:44Z,75.0
2024-07-14T23:16:49Z,73.0
2024-07-14T23:17:04Z,72.0
2024-07-14T23:17:19Z,74.0
2024-07-14T23:17:29Z,75.0
2024-07-14T23:17:34Z,73.0
2024-07-14T23:17:39Z,72.0
2024-07-14T23:17:49Z,73.0
2024-07-14T23:17:54Z,72.0
2024-07-14T23:17:59Z,73.0
2024-07-14T23:18:04Z,73.0
2024-07-14T23:18:09Z,75.0
2024-07-14T23:18:14Z,80.0
2024-07-14T23:18:19Z,83.0
2024-07-14T23:18:24Z,84.0
2024-07-14T23:18:29Z,83.0
2024-07-14T23:18:34Z,86.0
2024-07-14T23:18:39Z,89.0
2024-07-14T23:18:44Z,90.0
2024-07-14T23:18:49Z,92.0
2024-07-14T23:18:54Z,91.0
2024-07-14T23:18:59Z,85.0
2024-07-14T23:19:04Z,81.0
2024-07-14T23:19:14Z,84.0
2024-07-14T23:19:19Z,87.0
2024-07-14T23:19:24Z,89.0
2024-07-14T23:19:29Z,84.0
2024-07-14T23:19:39Z,84.0
2024-07-14T23:19:44Z,79.0
2024-07-14T23:19:49Z,74.0
2024-07-14T23:19:54Z,71.0
2024-07-14T23:19:59Z,72.0
2024-07-14T23:20:04Z,74.0
2024-07-14T23:20:14Z,75.0
2024-07-14T23:20:19Z,78.0
2024-07-14T23:20:24Z,82.0
2024-07-14T23:20:29Z,86.0
2024-07-14T23:20:34Z,86.0
2024-07-14T23:20:39Z,85.0
2024-07-14T23:20:44Z,82.0
2024-07-14T23:20:50Z,82.0
2024-07-14T23:20:55Z,84.0
2024-07-14T23:21:01Z,83.0
2024-07-14T23:21:06Z,84.0
2024-07-14T23:21:11Z,88.0
2024-07-14T23:21:16Z,89.0
2024-07-14T23:21:21Z,87.0
2024-07-14T23:21:26Z,86.0
2024-07-14T23:21:31Z,87.0
2024-07-14T23:21:36Z,92.0
2024-07-14T23:21:41Z,90.0
2024-07-14T23:21:46Z,89.0
2024-07-14T23:21:51Z,90.0
2024-07-14T23:21:56Z,88.0
2024-07-14T23:22:01Z,85.0
2024-07-14T23:22:06Z,83.0
2024-07-14T23:22:11Z,85.0
2024-07-14T23:22:16Z,84.0
2024-07-14T23:22:26Z,86.0
2024-07-14T23:22:31Z,85.0
2024-07-14T23:22:36Z,88.0
2024-07-14T23:22:46Z,91.0
2024-07-14T23:22:51Z,93.0
2024-07-14T23:22:56Z,91.0
2024-07-14T23:23:01Z,84.0
2024-07-14T23:23:11Z,85.0
2024-07-14T23:23:16Z,84.0
2024-07-14T23:23:21Z,83.0
2024-07-14T23:23:26Z,84.0
2024-07-14T23:23:31Z,85.0
2024-07-14T23:23:36Z,84.0
2024-07-14T23:23:46Z,85.0
2024-07-14T23:23:51Z,83.0
2024-07-14T23:23:56Z,82.0
2024-07-14T23:24:01Z,79.0
2024-07-14T23:24:06Z,78.0
2024-07-14T23:24:11Z,76.0
2024-07-14T23:24:21Z,78.0
2024-07-14T23:24:36Z,78.0
2024-07-14T23:24:41Z,81.0
2024-07-14T23:24:46Z,82.0
2024-07-14T23:24:51Z,81.0
2024-07-14T23:25:01Z,83.0
2024-07-14T23:25:06Z,84.0
2024-07-14T23:25:11Z,82.0
2024-07-14T23:25:21Z,85.0
2024-07-14T23:25:26Z,82.0
2024-07-14T23:25:31Z,80.0
2024-07-14T23:25:36Z,81.0
2024-07-14T23:25:41Z,83.0
2024-07-14T23:25:46Z,81.0
2024-07-14T23:26:01Z,81.0
2024-07-14T23:26:06Z,80.0
2024-07-14T23:26:11Z,83.0
2024-07-14T23:26:16Z,88.0
2024-07-14T23:26:26Z,86.0
2024-07-14T23:26:31Z,86.0
2024-07-14T23:26:41Z,87.0
2024-07-14T23:26:51Z,89.0
2024-07-14T23:27:01Z,93.0
2024-07-14T23:27:06Z,95.0
2024-07-14T23:27:11Z,89.0
2024-07-14T23:27:16Z,84.0
2024-07-14T23:27:21Z,82.0
2024-07-14T23:27:26Z,77.0
2024-07-14T23:27:31Z,75.0
2024-07-14T23:27:36Z,72.0
2024-07-14T23:27:41Z,70.0
2024-07-14T23:27:46Z,68.0
2024-07-14T23:28:01Z,70.0
2024-07-14T23:28:06Z,76.0
2024-07-14T23:28:11Z,82.0
2024-07-14T23:28:16Z,85.0
2024-07-14T23:28:21Z,86.0
2024-07-14T23:28:31Z,91.0
2024-07-14T23:28:36Z,93.0
2024-07-14T23:28:41Z,91.0
2024-07-14T23:28:46Z,89.0
2024-07-14T23:28:51Z,88.0
2024-07-14T23:28:56Z,90.0
2024-07-14T23:29:06Z,89.0
2024-07-14T23:29:11Z,87.0
2024-07-14T23:29:16Z,84.0
2024-07-14T23:29:21Z,83.0
2024-07-14T23:29:26Z,82.0
2024-07-14T23:29:31Z,84.0
2024-07-14T23:29:36Z,86.0
2024-07-14T23:29:41Z,84.0
2024-07-14T23:29:46Z,82.0
2024-07-14T23:29:51Z,84.0
2024-07-14T23:29:56Z,85.0
2024-07-14T23:30:01Z,86.0
2024-07-14T23:30:06Z,84.0
2024-07-14T23:30:11Z,83.0
2024-07-14T23:30:21Z,84.0
2024-07-14T23:30:36Z,87.0
2024-07-14T23:30:41Z,90.0
2024-07-14T23:30:46Z,89.0
2024-07-14T23:30:51Z,85.0
2024-07-14T23:30:56Z,81.0
2024-07-14T23:31:01Z,84.0
2024-07-14T23:31:06Z,83.0
2024-07-14T23:31:11Z,81.0
2024-07-14T23:31:16Z,80.0
2024-07-14T23:31:26Z,81.0
2024-07-14T23:31:31Z,84.0
2024-07-14T23:31:36Z,86.0
2024-07-14T23:31:46Z,85.0
2024-07-14T23:31:51Z,84.0
2024-07-14T23:31:56Z,85.0
2024-07-14T23:32:01Z,86.0
2024-07-14T23:32:06Z,88.0
2024-07-14T23:32:11Z,90.0
2024-07-14T23:32:16Z,92.0
2024-07-14T23:32:21Z,91.0
2024-07-14T23:32:36Z,90.0
2024-07-14T23:32:41Z,88.0
2024-07-14T23:32:46Z,84.0
2024-07-14T23:32:51Z,83.0
2024-07-14T23:32:56Z,82.0
2024-07-14T23:33:11Z,79.0
2024-07-14T23:33:16Z,80.0
2024-07-14T23:33:26Z,79.0
2024-07-14T23:33:31Z,80.0
2024-07-14T23:33:36Z,81.0
2024-07-14T23:33:41Z,83.0
2024-07-14T23:33:46Z,85.0
2024-07-14T23:33:56Z,87.0
2024-07-14T23:34:11Z,87.0
2024-07-14T23:34:16Z,89.0
2024-07-14T23:34:21Z,82.0
2024-07-14T23:34:31Z,81.0
2024-07-14T23:34:36Z,78.0
2024-07-14T23:34:41Z,78.0
2024-07-14T23:34:51Z,79.0
2024-07-14T23:34:56Z,82.0
2024-07-14T23:35:01Z,84.0
2024-07-14T23:35:06Z,85.0
2024-07-14T23:35:11Z,86.0
2024-07-14T23:35:21Z,87.0
2024-07-14T23:35:26Z,89.0
2024-07-14T23:35:41Z,87.0
