timestamp,temperature celsius
2023-12-17T04:20:00Z,34.510000000000005
2023-12-17T04:21:00Z,34.47
2023-12-17T04:22:00Z,34.730000000000004
2023-12-17T04:23:00Z,34.75
2023-12-17T04:24:00Z,34.440000000000005
2023-12-17T04:25:00Z,34.18
2023-12-17T04:26:00Z,33.82
2023-12-17T04:27:00Z,33.57
2023-12-17T04:28:00Z,33.31
2023-12-17T04:29:00Z,33.260000000000005
2023-12-17T04:30:00Z,33.410000000000004
2023-12-17T04:31:00Z,33.5
2023-12-17T04:32:00Z,33.32
2023-12-17T04:33:00Z,33.14
2023-12-17T04:34:00Z,32.9
2023-12-17T04:35:00Z,32.59
2023-12-17T04:36:00Z,32.5
2023-12-17T04:37:00Z,32.2
2023-12-17T04:38:00Z,32.1
2023-12-17T04:39:00Z,31.98
2023-12-17T04:40:00Z,31.96
2023-12-17T04:41:00Z,31.96
2023-12-17T04:42:00Z,31.92
2023-12-17T04:43:00Z,31.810000000000002
2023-12-17T04:44:00Z,31.680000000000003
2023-12-17T04:45:00Z,31.44
2023-12-17T04:46:00Z,31.09
2023-12-17T04:47:00Z,31.200000000000003
2023-12-17T04:48:00Z,31.55
2023-12-17T04:49:00Z,32.01
2023-12-17T04:50:00Z,32.4
2023-12-17T04:51:00Z,32.71
2023-12-17T04:52:00Z,32.57
2023-12-17T04:53:00Z,32.52
2023-12-17T04:54:00Z,32.53
2023-12-17T04:55:00Z,32.58
2023-12-17T04:56:00Z,32.7
2023-12-17T04:57:00Z,32.68
2023-12-17T04:58:00Z,32.550000000000004
2023-12-17T04:59:00Z,32.29
2023-12-17T05:00:00Z,32.32
2023-12-17T05:01:00Z,32.46
2023-12-17T05:02:00Z,32.870000000000005
2023-12-17T05:03:00Z,33.050000000000004
2023-12-17T05:04:00Z,33.230000000000004
2023-12-17T05:05:00Z,33.42
2023-12-17T05:06:00Z,33.57
2023-12-17T05:07:00Z,33.64
2023-12-17T05:08:00Z,33.620000000000005
2023-12-17T05:09:00Z,33.7
2023-12-17T05:10:00Z,33.74
2023-12-17T05:11:00Z,33.82
2023-12-17T05:12:00Z,33.870000000000005
2023-12-17T05:13:00Z,33.870000000000005
2023-12-17T05:14:00Z,33.910000000000004
2023-12-17T05:15:00Z,33.86
2023-12-17T05:16:00Z,33.85
2023-12-17T05:17:00Z,33.910000000000004
2023-12-17T05:18:00Z,33.940000000000005
2023-12-17T05:19:00Z,33.96
2023-12-17T05:20:00Z,33.92
2023-12-17T05:21:00Z,33.79
2023-12-17T05:22:00Z,33.52
2023-12-17T05:23:00Z,33.300000000000004
2023-12-17T05:24:00Z,33.160000000000004
2023-12-17T05:25:00Z,33.14
2023-12-17T05:26:00Z,32.96
2023-12-17T05:27:00Z,32.88
2023-12-17T05:28:00Z,32.81
2023-12-17T05:29:00Z,32.67
2023-12-17T05:30:00Z,32.56
2023-12-17T05:31:00Z,32.53
2023-12-17T05:32:00Z,32.550000000000004
2023-12-17T05:33:00Z,32.6
2023-12-17T05:34:00Z,32.53
2023-12-17T05:35:00Z,32.61
2023-12-17T05:36:00Z,32.67
2023-12-17T05:37:00Z,32.53
2023-12-17T05:38:00Z,32.42
2023-12-17T05:39:00Z,32.410000000000004
2023-12-17T05:40:00Z,32.300000000000004
2023-12-17T05:41:00Z,32.25
2023-12-17T05:42:00Z,32.14
2023-12-17T05:43:00Z,32.07
2023-12-17T05:44:00Z,31.92
