timestamp,light,moderate,very
2023-06-03T20:22:00Z,1,0,0
2023-06-03T20:23:00Z,1,0,0
2023-06-03T20:24:00Z,1,0,0
2023-06-03T20:25:00Z,1,0,0
2023-06-03T20:26:00Z,1,0,0
2023-06-03T20:27:00Z,1,0,0
2023-06-03T20:35:00Z,1,0,0
2023-06-03T20:36:00Z,1,0,0
2023-06-03T20:39:00Z,1,0,0
2023-06-03T20:40:00Z,1,0,0
2023-06-03T20:41:00Z,1,0,0
2023-06-03T20:42:00Z,1,0,0
2023-06-03T20:43:00Z,1,0,0
2023-06-03T20:44:00Z,1,0,0
2023-06-03T20:45:00Z,1,0,0
2023-06-03T20:46:00Z,1,0,0
2023-06-03T20:47:00Z,1,0,0
2023-06-03T20:48:00Z,1,0,0
2023-06-03T20:49:00Z,1,0,0
2023-06-03T20:50:00Z,1,0,0
2023-06-03T20:51:00Z,1,0,0
2023-06-03T20:52:00Z,1,0,0
2023-06-03T20:54:00Z,1,0,0
2023-06-03T20:55:00Z,1,0,0
2023-06-03T20:56:00Z,1,0,0
2023-06-03T20:57:00Z,1,0,0
2023-06-03T20:58:00Z,1,0,0
2023-06-03T21:05:00Z,1,0,0
2023-06-03T23:27:00Z,1,0,0
2023-06-03T23:28:00Z,1,0,0
2023-06-03T23:48:00Z,1,0,0
2023-06-03T23:49:00Z,1,0,0
2023-06-04T00:13:00Z,1,0,0
2023-06-04T00:14:00Z,1,0,0
2023-06-04T00:15:00Z,1,0,0
2023-06-04T00:24:00Z,1,0,0
2023-06-04T00:30:00Z,1,0,0
2023-06-04T00:38:00Z,1,0,0
2023-06-04T00:39:00Z,1,0,0
2023-06-04T00:40:00Z,1,0,0
2023-06-04T00:41:00Z,1,0,0
2023-06-04T00:42:00Z,1,0,0
2023-06-04T00:44:00Z,1,0,0
2023-06-04T00:49:00Z,1,0,0
2023-06-04T00:50:00Z,1,0,0
2023-06-04T01:01:00Z,1,0,0
2023-06-04T01:02:00Z,1,0,0
2023-06-04T01:13:00Z,1,0,0
2023-06-04T01:28:00Z,1,0,0
2023-06-04T01:29:00Z,1,0,0
2023-06-04T01:30:00Z,1,0,0
2023-06-04T01:31:00Z,1,0,0
2023-06-04T01:33:00Z,1,0,0
2023-06-04T01:34:00Z,1,0,0
2023-06-04T01:35:00Z,1,0,0
2023-06-04T01:36:00Z,1,0,0
2023-06-04T01:37:00Z,1,0,0
2023-06-04T01:43:00Z,1,0,0
2023-06-04T01:44:00Z,1,0,0
2023-06-04T01:48:00Z,1,0,0
2023-06-04T01:50:00Z,1,0,0
2023-06-04T01:51:00Z,1,0,0
2023-06-04T01:54:00Z,1,0,0
2023-06-04T01:57:00Z,1,0,0
2023-06-04T02:01:00Z,1,0,0
2023-06-04T02:02:00Z,1,0,0
2023-06-04T02:04:00Z,1,0,0
2023-06-04T02:05:00Z,1,0,0
2023-06-04T02:07:00Z,1,0,0
2023-06-04T02:08:00Z,1,0,0
2023-06-04T02:21:00Z,1,0,0
2023-06-04T02:22:00Z,1,0,0
2023-06-04T02:23:00Z,1,0,0
2023-06-04T02:24:00Z,1,0,0
2023-06-04T02:32:00Z,1,0,0
2023-06-04T02:33:00Z,1,0,0
2023-06-04T02:35:00Z,1,0,0
2023-06-04T02:36:00Z,1,0,0
2023-06-04T02:38:00Z,1,0,0
2023-06-04T03:06:00Z,1,0,0
2023-06-04T03:07:00Z,1,0,0
2023-06-04T03:08:00Z,1,0,0
2023-06-04T03:35:00Z,1,0,0
2023-06-04T04:36:00Z,1,0,0
2023-06-04T04:46:00Z,1,0,0
2023-06-04T04:57:00Z,1,0,0
2023-06-04T05:08:00Z,1,0,0
2023-06-04T05:09:00Z,1,0,0
2023-06-04T05:10:00Z,1,0,0
2023-06-04T05:11:00Z,1,0,0
2023-06-04T05:15:00Z,1,0,0
2023-06-04T05:26:00Z,1,0,0
2023-06-04T05:38:00Z,1,0,0
2023-06-04T05:40:00Z,1,0,0
2023-06-04T05:42:00Z,1,0,0
2023-06-04T05:43:00Z,1,0,0
2023-06-04T05:44:00Z,1,0,0
2023-06-04T05:45:00Z,1,0,0
2023-06-04T05:46:00Z,1,0,0
2023-06-04T05:47:00Z,1,0,0
2023-06-04T05:48:00Z,1,0,0
2023-06-04T05:49:00Z,1,0,0
2023-06-06T12:53:00Z,1,0,0
2023-06-06T12:54:00Z,1,0,0
2023-06-06T12:55:00Z,1,0,0
2023-06-06T12:56:00Z,1,0,0
2023-06-06T12:58:00Z,1,0,0
2023-06-06T12:59:00Z,0,1,0
2023-06-06T13:00:00Z,0,1,0
2023-06-06T13:01:00Z,0,1,0
2023-06-06T13:02:00Z,1,0,0
2023-06-06T13:03:00Z,1,0,0
2023-06-06T13:04:00Z,0,0,1
2023-06-06T13:05:00Z,0,1,0
2023-06-06T13:06:00Z,0,1,0
2023-06-06T13:07:00Z,0,1,0
2023-06-06T13:08:00Z,0,1,0
2023-06-06T13:09:00Z,0,1,0
2023-06-06T13:10:00Z,0,1,0
