timestamp,beats per minute
2024-01-19T07:53:35Z,64.0
2024-01-19T07:53:40Z,62.0
2024-01-19T07:53:45Z,61.0
2024-01-19T07:54:00Z,66.0
2024-01-19T07:54:05Z,71.0
2024-01-19T07:54:10Z,73.0
2024-01-19T07:54:15Z,72.0
2024-01-19T07:54:20Z,69.0
2024-01-19T07:54:25Z,68.0
2024-01-19T07:54:30Z,70.0
2024-01-19T07:54:35Z,73.0
2024-01-19T07:54:40Z,78.0
2024-01-19T07:54:45Z,81.0
2024-01-19T07:54:50Z,82.0
2024-01-19T07:54:55Z,84.0
2024-01-19T07:55:00Z,80.0
2024-01-19T07:55:05Z,81.0
2024-01-19T07:55:10Z,86.0
2024-01-19T07:55:45Z,86.0
2024-01-19T07:55:50Z,87.0
2024-01-19T07:55:55Z,90.0
2024-01-19T07:56:05Z,88.0
2024-01-19T07:56:10Z,89.0
2024-01-19T07:56:15Z,90.0
2024-01-19T07:56:20Z,92.0
2024-01-19T07:56:25Z,97.0
2024-01-19T07:56:30Z,90.0
2024-01-19T07:56:35Z,87.0
2024-01-19T07:56:40Z,86.0
2024-01-19T07:56:50Z,85.0
2024-01-19T07:56:55Z,83.0
2024-01-19T07:57:05Z,84.0
2024-01-19T07:57:10Z,85.0
2024-01-19T07:57:15Z,84.0
2024-01-19T07:57:30Z,81.0
2024-01-19T07:57:35Z,83.0
2024-01-19T07:57:45Z,82.0
2024-01-19T07:57:50Z,80.0
2024-01-19T07:57:55Z,82.0
2024-01-19T07:58:05Z,84.0
2024-01-19T07:58:10Z,81.0
2024-01-19T07:58:15Z,80.0
2024-01-19T07:58:20Z,78.0
2024-01-19T07:58:25Z,76.0
2024-01-19T07:58:30Z,76.0
2024-01-19T07:58:35Z,75.0
2024-01-19T07:58:45Z,77.0
2024-01-19T07:58:50Z,82.0
2024-01-19T07:59:00Z,81.0
2024-01-19T07:59:06Z,78.0
2024-01-19T07:59:11Z,77.0
2024-01-19T07:59:16Z,79.0
2024-01-19T07:59:21Z,80.0
2024-01-19T07:59:26Z,83.0
2024-01-19T07:59:31Z,84.0
2024-01-19T07:59:36Z,85.0
2024-01-19T07:59:51Z,85.0
2024-01-19T07:59:56Z,83.0
2024-01-19T08:00:01Z,84.0
2024-01-19T08:00:06Z,87.0
2024-01-19T08:00:11Z,88.0
2024-01-19T08:00:16Z,92.0
2024-01-19T08:00:21Z,95.0
2024-01-19T08:00:36Z,92.0
2024-01-19T08:00:41Z,89.0
2024-01-19T08:00:46Z,87.0
2024-01-19T08:00:52Z,86.0
2024-01-19T08:00:57Z,84.0
2024-01-19T08:01:02Z,85.0
2024-01-19T08:01:07Z,86.0
2024-01-19T08:01:12Z,90.0
2024-01-19T08:01:22Z,89.0
2024-01-19T08:01:27Z,85.0
2024-01-19T08:01:32Z,82.0
2024-01-19T08:01:37Z,83.0
2024-01-19T08:01:42Z,82.0
2024-01-19T08:01:47Z,81.0
2024-01-19T08:01:52Z,79.0
2024-01-19T08:02:07Z,79.0
2024-01-19T08:02:17Z,80.0
2024-01-19T08:02:22Z,81.0
2024-01-19T08:02:27Z,80.0
2024-01-19T08:02:32Z,79.0
2024-01-19T08:02:37Z,75.0
2024-01-19T08:02:42Z,72.0
2024-01-19T08:02:47Z,75.0
2024-01-19T08:02:52Z,74.0
2024-01-19T08:02:57Z,70.0
2024-01-19T08:03:02Z,68.0
2024-01-19T08:03:07Z,71.0
2024-01-19T08:03:12Z,70.0
2024-01-19T08:03:17Z,72.0
2024-01-19T08:03:22Z,71.0
2024-01-19T08:03:27Z,70.0
2024-01-19T08:03:32Z,71.0
2024-01-19T08:03:42Z,70.0
2024-01-19T08:03:52Z,72.0
2024-01-19T08:04:02Z,71.0
2024-01-19T08:04:07Z,70.0
2024-01-19T08:04:22Z,71.0
2024-01-19T08:04:27Z,72.0
2024-01-19T08:04:32Z,71.0
2024-01-19T08:04:37Z,72.0
2024-01-19T08:04:47Z,73.0
2024-01-19T08:04:52Z,74.0
2024-01-19T08:04:57Z,73.0
2024-01-19T08:05:02Z,74.0
2024-01-19T08:05:07Z,75.0
2024-01-19T08:05:12Z,77.0
2024-01-19T08:05:17Z,76.0
2024-01-19T08:05:27Z,79.0
2024-01-19T08:05:32Z,82.0
2024-01-19T08:05:37Z,80.0
2024-01-19T08:05:42Z,84.0
2024-01-19T08:05:47Z,87.0
2024-01-19T08:05:52Z,82.0
2024-01-19T08:05:57Z,86.0
2024-01-19T08:06:02Z,90.0
2024-01-19T08:06:07Z,88.0
2024-01-19T08:06:12Z,87.0
2024-01-19T08:06:17Z,86.0
2024-01-19T08:06:22Z,84.0
2024-01-19T08:06:27Z,83.0
2024-01-19T08:06:37Z,82.0
2024-01-19T08:06:42Z,80.0
2024-01-19T08:06:47Z,77.0
2024-01-19T08:06:52Z,75.0
2024-01-19T08:07:02Z,73.0
2024-01-19T08:07:07Z,75.0
2024-01-19T08:07:12Z,77.0
2024-01-19T08:07:17Z,79.0
2024-01-19T08:07:22Z,80.0
2024-01-19T08:07:27Z,82.0
2024-01-19T08:07:37Z,85.0
2024-01-19T08:07:42Z,87.0
2024-01-19T08:07:57Z,86.0
2024-01-19T08:08:02Z,85.0
2024-01-19T08:08:07Z,83.0
2024-01-19T08:08:12Z,84.0
2024-01-19T08:08:17Z,82.0
2024-01-19T08:08:22Z,84.0
2024-01-19T08:08:27Z,85.0
2024-01-19T08:08:37Z,87.0
2024-01-19T08:08:42Z,93.0
2024-01-19T08:08:47Z,108.0
2024-01-19T08:08:52Z,122.0
2024-01-19T08:08:57Z,135.0
2024-01-19T08:09:03Z,140.0
2024-01-19T08:09:08Z,141.0
2024-01-19T08:09:13Z,139.0
2024-01-19T08:09:18Z,139.0
2024-01-19T08:09:23Z,141.0
2024-01-19T08:09:28Z,142.0
2024-01-19T08:09:33Z,147.0
2024-01-19T08:09:38Z,143.0
2024-01-19T08:09:43Z,139.0
2024-01-19T08:09:48Z,137.0
2024-01-19T08:09:53Z,132.0
2024-01-19T08:09:58Z,120.0
2024-01-19T08:10:03Z,107.0
2024-01-19T08:10:08Z,98.0
2024-01-19T08:10:13Z,95.0
2024-01-19T08:10:18Z,93.0
2024-01-19T08:10:23Z,89.0
2024-01-19T08:10:28Z,95.0
2024-01-19T08:10:33Z,96.0
2024-01-19T08:10:38Z,94.0
2024-01-19T08:10:43Z,89.0
2024-01-19T08:10:48Z,84.0
2024-01-19T08:10:53Z,83.0
2024-01-19T08:10:58Z,85.0
2024-01-19T08:11:03Z,90.0
2024-01-19T08:11:13Z,100.0
2024-01-19T08:11:18Z,115.0
2024-01-19T08:11:23Z,121.0
2024-01-19T08:11:28Z,122.0
2024-01-19T08:11:33Z,124.0
2024-01-19T08:11:38Z,126.0
2024-01-19T08:11:43Z,126.0
2024-01-19T08:11:48Z,129.0
2024-01-19T08:11:53Z,132.0
2024-01-19T08:11:54Z,134.0
2024-01-19T08:11:55Z,135.0
2024-01-19T08:11:56Z,138.0
2024-01-19T08:11:57Z,137.0
2024-01-19T08:12:00Z,139.0
2024-01-19T08:12:01Z,140.0
2024-01-19T08:12:04Z,139.0
2024-01-19T08:12:05Z,138.0
2024-01-19T08:12:06Z,137.0
2024-01-19T08:12:08Z,136.0
2024-01-19T08:12:09Z,135.0
2024-01-19T08:12:10Z,134.0
2024-01-19T08:12:11Z,133.0
2024-01-19T08:12:13Z,132.0
2024-01-19T08:12:14Z,131.0
2024-01-19T08:12:15Z,130.0
2024-01-19T08:12:17Z,129.0
2024-01-19T08:12:18Z,130.0
2024-01-19T08:12:21Z,130.0
2024-01-19T08:12:22Z,129.0
2024-01-19T08:12:24Z,127.0
2024-01-19T08:12:27Z,126.0
2024-01-19T08:12:29Z,125.0
2024-01-19T08:12:32Z,124.0
2024-01-19T08:12:33Z,123.0
2024-01-19T08:12:34Z,119.0
2024-01-19T08:12:35Z,119.0
2024-01-19T08:12:36Z,117.0
2024-01-19T08:12:37Z,115.0
2024-01-19T08:12:38Z,116.0
2024-01-19T08:12:40Z,114.0
2024-01-19T08:12:41Z,112.0
2024-01-19T08:12:42Z,111.0
2024-01-19T08:12:45Z,113.0
2024-01-19T08:12:46Z,111.0
2024-01-19T08:12:49Z,110.0
2024-01-19T08:12:50Z,109.0
2024-01-19T08:12:51Z,108.0
2024-01-19T08:12:52Z,109.0
2024-01-19T08:12:55Z,108.0
2024-01-19T08:12:56Z,106.0
2024-01-19T08:12:58Z,105.0
2024-01-19T08:12:59Z,104.0
2024-01-19T08:13:00Z,103.0
2024-01-19T08:13:01Z,102.0
2024-01-19T08:13:04Z,102.0
2024-01-19T08:13:06Z,101.0
2024-01-19T08:13:08Z,102.0
2024-01-19T08:13:11Z,102.0
2024-01-19T08:13:12Z,101.0
2024-01-19T08:13:15Z,101.0
2024-01-19T08:13:17Z,100.0
2024-01-19T08:13:18Z,99.0
2024-01-19T08:13:19Z,100.0
2024-01-19T08:13:21Z,98.0
2024-01-19T08:13:22Z,97.0
2024-01-19T08:13:23Z,96.0
2024-01-19T08:13:24Z,97.0
2024-01-19T08:13:26Z,96.0
2024-01-19T08:13:27Z,95.0
2024-01-19T08:13:28Z,94.0
2024-01-19T08:13:30Z,94.0
2024-01-19T08:13:31Z,90.0
2024-01-19T08:13:32Z,88.0
2024-01-19T08:13:33Z,86.0
2024-01-19T08:13:35Z,88.0
2024-01-19T08:13:37Z,90.0
2024-01-19T08:13:38Z,93.0
2024-01-19T08:13:40Z,97.0
2024-01-19T08:13:43Z,97.0
2024-01-19T08:13:44Z,98.0
2024-01-19T08:13:46Z,99.0
2024-01-19T08:13:47Z,101.0
2024-01-19T08:13:49Z,102.0
2024-01-19T08:13:50Z,103.0
2024-01-19T08:13:51Z,104.0
2024-01-19T08:13:54Z,104.0
2024-01-19T08:13:55Z,105.0
2024-01-19T08:13:56Z,106.0
2024-01-19T08:13:58Z,108.0
2024-01-19T08:14:00Z,109.0
2024-01-19T08:14:02Z,110.0
2024-01-19T08:14:03Z,111.0
2024-01-19T08:14:04Z,112.0
2024-01-19T08:14:07Z,112.0
2024-01-19T08:14:09Z,113.0
2024-01-19T08:14:12Z,113.0
2024-01-19T08:14:15Z,113.0
2024-01-19T08:14:16Z,113.0
2024-01-19T08:14:18Z,112.0
2024-01-19T08:14:19Z,113.0
2024-01-19T08:14:21Z,112.0
2024-01-19T08:14:22Z,113.0
2024-01-19T08:14:23Z,114.0
2024-01-19T08:14:25Z,115.0
2024-01-19T08:14:27Z,114.0
2024-01-19T08:14:30Z,115.0
2024-01-19T08:14:33Z,115.0
2024-01-19T08:14:35Z,114.0
2024-01-19T08:14:37Z,113.0
2024-01-19T08:14:39Z,112.0
2024-01-19T08:14:42Z,111.0
2024-01-19T08:14:44Z,109.0
2024-01-19T08:14:45Z,107.0
2024-01-19T08:14:46Z,105.0
2024-01-19T08:14:48Z,104.0
2024-01-19T08:14:49Z,103.0
2024-01-19T08:14:50Z,102.0
2024-01-19T08:14:51Z,101.0
2024-01-19T08:14:54Z,102.0
2024-01-19T08:14:55Z,103.0
2024-01-19T08:14:57Z,104.0
2024-01-19T08:14:59Z,105.0
2024-01-19T08:15:00Z,106.0
2024-01-19T08:15:02Z,107.0
2024-01-19T08:15:03Z,108.0
2024-01-19T08:15:06Z,108.0
2024-01-19T08:15:07Z,107.0
2024-01-19T08:15:08Z,105.0
2024-01-19T08:15:11Z,104.0
2024-01-19T08:15:14Z,104.0
2024-01-19T08:15:17Z,103.0
2024-01-19T08:15:20Z,102.0
2024-01-19T08:15:22Z,100.0
2024-01-19T08:15:23Z,99.0
2024-01-19T08:15:25Z,97.0
2024-01-19T08:15:26Z,96.0
2024-01-19T08:15:29Z,96.0
2024-01-19T08:15:31Z,94.0
2024-01-19T08:15:32Z,91.0
2024-01-19T08:15:34Z,90.0
2024-01-19T08:15:37Z,90.0
2024-01-19T08:15:40Z,91.0
2024-01-19T08:15:43Z,91.0
2024-01-19T08:15:45Z,92.0
2024-01-19T08:15:48Z,92.0
2024-01-19T08:15:49Z,94.0
2024-01-19T08:15:52Z,94.0
2024-01-19T08:15:53Z,93.0
2024-01-19T08:15:56Z,93.0
2024-01-19T08:15:57Z,94.0
2024-01-19T08:15:58Z,95.0
2024-01-19T08:15:59Z,96.0
2024-01-19T08:16:01Z,98.0
2024-01-19T08:16:03Z,97.0
2024-01-19T08:16:04Z,94.0
2024-01-19T08:16:06Z,90.0
2024-01-19T08:16:07Z,89.0
2024-01-19T08:16:08Z,88.0
2024-01-19T08:16:11Z,88.0
2024-01-19T08:16:13Z,89.0
2024-01-19T08:16:16Z,90.0
2024-01-19T08:16:17Z,88.0
2024-01-19T08:16:18Z,92.0
2024-01-19T08:16:19Z,92.0
2024-01-19T08:16:21Z,95.0
