timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage
2024-09-12T00:00:00Z,94.1,92.2,95.4,0.0,0.0
2024-09-13T00:00:00Z,94.2,92.7,95.8,0.0,0.0
2024-09-14T00:00:00Z,93.7,92.3,95.0,0.0,0.0
2024-09-15T00:00:00Z,94.9,93.5,96.4,0.0,0.0
2024-09-16T00:00:00Z,93.8,92.5,95.1,0.0,0.0
2024-09-17T00:00:00Z,93.9,91.5,95.2,0.0,0.0
2024-09-19T00:00:00Z,94.7,92.6,99.0,94.3,0.5
2024-09-20T00:00:00Z,94.0,91.2,95.7,94.1,0.4
2024-09-23T00:00:00Z,93.4,91.6,95.0,94.1,0.5
2024-09-24T00:00:00Z,92.8,90.0,94.8,93.9,0.6
2024-09-25T00:00:00Z,95.1,93.7,96.6,94.1,0.7
2024-09-26T00:00:00Z,94.3,91.9,96.1,94.1,0.6
2024-09-27T00:00:00Z,94.1,91.3,96.1,94.1,0.6
2024-09-28T00:00:00Z,95.2,93.1,97.9,94.2,0.7
2024-09-29T00:00:00Z,94.0,92.6,95.1,94.1,0.6
