timestamp,gain
2024-07-02T11:30:00Z,3048
2024-07-02T11:33:00Z,3048
2024-07-02T11:40:00Z,3048
2024-07-02T11:43:00Z,3048
2024-07-02T12:02:00Z,3048
2024-07-02T12:09:00Z,3048
2024-07-02T12:10:00Z,6096
2024-07-02T12:12:00Z,3048
2024-07-02T12:13:00Z,3048
2024-07-02T12:14:00Z,3048
2024-07-02T12:15:00Z,3048
2024-07-02T12:22:00Z,6096
2024-07-02T12:28:00Z,3048
2024-07-02T12:29:00Z,3048
2024-07-09T11:26:00Z,3048
2024-07-09T11:32:00Z,3048
2024-07-09T11:36:00Z,9144
2024-07-09T11:41:00Z,3048
2024-07-09T11:44:00Z,3048
2024-07-09T12:03:00Z,6096
2024-07-09T12:09:00Z,3048
2024-07-09T12:10:00Z,3048
2024-07-09T12:13:00Z,3048
2024-07-09T12:21:00Z,3048
2024-07-09T12:25:00Z,3048
2024-07-09T12:28:00Z,3048
2024-07-09T12:29:00Z,3048
2024-07-15T01:21:00Z,3048
2024-07-16T11:11:00Z,3048
2024-07-16T11:23:00Z,3048
2024-07-16T11:40:00Z,6096
2024-07-16T11:47:00Z,3048
2024-07-30T11:23:00Z,3048
2024-07-30T11:25:00Z,3048
2024-07-30T11:29:00Z,3048
2024-07-30T11:35:00Z,3048
2024-07-30T11:39:00Z,6096
2024-07-30T11:41:00Z,3048
2024-07-30T11:44:00Z,6096
2024-07-30T11:45:00Z,3048
2024-07-30T11:48:00Z,6096
2024-07-30T11:49:00Z,3048
2024-07-30T11:50:00Z,3048
2024-07-30T12:03:00Z,3048
2024-07-30T12:08:00Z,3048
