timestamp,stride length
2025-08-06T00:37:09Z,69.50
2025-08-06T00:37:12Z,67.50
2025-08-06T00:37:38Z,70.50
2025-08-06T00:37:42Z,73.00
2025-08-06T00:37:46Z,73.40
2025-08-06T00:37:48Z,70.10
2025-08-06T00:37:51Z,70.30
2025-08-06T00:37:54Z,80.20
2025-08-06T00:37:58Z,78.20
2025-08-06T00:38:00Z,79.40
2025-08-06T00:38:04Z,79.40
2025-08-06T00:38:07Z,78.80
2025-08-06T00:38:10Z,79.10
2025-08-06T00:38:13Z,78.50
2025-08-06T00:38:17Z,79.90
2025-08-06T00:38:20Z,79.40
2025-08-06T00:38:23Z,78.50
2025-08-06T00:38:26Z,79.00
2025-08-06T00:38:30Z,80.00
2025-08-06T00:38:33Z,79.30
2025-08-06T00:38:36Z,79.70
2025-08-06T00:38:39Z,79.50
2025-08-06T00:38:43Z,80.40
2025-08-06T00:38:46Z,79.10
2025-08-06T00:38:49Z,80.40
2025-08-06T00:38:53Z,80.50
2025-08-06T00:38:55Z,80.10
2025-08-06T00:38:59Z,79.90
2025-08-06T00:39:02Z,79.40
2025-08-06T00:39:05Z,79.00
2025-08-06T00:39:08Z,79.00
2025-08-06T00:39:12Z,79.00
2025-08-06T00:39:15Z,79.00
2025-08-06T00:39:18Z,79.90
2025-08-06T00:39:21Z,80.80
2025-08-06T00:39:24Z,80.80
2025-08-06T00:39:27Z,80.80
2025-08-06T00:39:30Z,80.80
2025-08-06T00:39:34Z,81.10
2025-08-06T00:39:37Z,84.60
2025-08-06T00:39:40Z,84.60
2025-08-06T00:39:43Z,83.90
2025-08-06T00:39:46Z,84.60
2025-08-06T00:39:49Z,84.60
2025-08-06T00:39:52Z,85.20
2025-08-06T00:39:55Z,85.40
2025-08-06T00:39:59Z,83.90
2025-08-06T00:40:02Z,85.40
2025-08-06T00:40:05Z,85.40
2025-08-06T00:40:08Z,87.00
2025-08-06T00:40:11Z,86.20
2025-08-06T00:40:14Z,85.40
2025-08-06T00:40:18Z,85.40
2025-08-06T00:40:21Z,87.00
2025-08-06T00:40:24Z,88.70
2025-08-06T00:40:27Z,88.70
2025-08-06T00:40:30Z,88.70
2025-08-06T00:40:34Z,88.70
2025-08-06T00:40:37Z,88.70
2025-08-06T00:40:40Z,88.70
2025-08-06T00:40:43Z,88.70
2025-08-06T00:40:46Z,88.70
2025-08-06T00:40:49Z,88.70
2025-08-06T00:40:52Z,88.70
2025-08-06T00:40:56Z,88.70
2025-08-06T00:40:58Z,88.70
2025-08-06T00:41:02Z,88.70
2025-08-06T00:41:05Z,83.50
2025-08-06T00:41:08Z,82.20
2025-08-06T00:41:11Z,82.20
2025-08-06T00:41:14Z,82.20
2025-08-06T00:41:17Z,82.20
2025-08-06T00:41:20Z,82.40
2025-08-06T00:41:23Z,81.80
2025-08-06T00:41:27Z,81.80
2025-08-06T00:41:30Z,81.80
2025-08-06T00:41:33Z,81.80
2025-08-06T00:41:36Z,81.70
2025-08-06T00:41:39Z,80.80
2025-08-06T00:41:42Z,80.80
2025-08-06T00:41:45Z,80.80
2025-08-06T00:41:48Z,80.80
2025-08-06T00:41:52Z,80.80
2025-08-06T00:41:55Z,72.00
2025-08-06T00:41:58Z,79.70
2025-08-06T00:42:01Z,78.60
2025-08-06T00:42:04Z,78.60
2025-08-06T00:42:07Z,78.60
2025-08-06T00:42:11Z,78.60
2025-08-06T00:42:14Z,78.70
2025-08-06T00:42:17Z,77.20
2025-08-06T00:42:20Z,77.20
2025-08-06T00:42:23Z,77.20
2025-08-06T00:42:26Z,77.20
2025-08-06T00:42:29Z,77.20
2025-08-06T00:42:33Z,75.90
2025-08-06T00:42:36Z,75.30
2025-08-06T00:42:39Z,75.30
2025-08-06T00:42:42Z,75.30
2025-08-06T00:42:45Z,75.30
2025-08-06T00:42:48Z,76.60
2025-08-06T00:42:51Z,77.10
2025-08-06T00:42:54Z,77.10
2025-08-06T00:42:58Z,77.10
2025-08-06T00:43:01Z,79.00
2025-08-06T00:43:04Z,79.30
2025-08-06T00:43:07Z,80.30
2025-08-06T00:43:10Z,80.30
2025-08-06T00:43:13Z,80.30
2025-08-06T00:43:16Z,80.30
2025-08-06T00:43:19Z,80.30
2025-08-06T00:43:22Z,82.30
2025-08-06T00:43:25Z,82.30
2025-08-06T00:43:28Z,82.30
2025-08-06T00:43:32Z,82.30
2025-08-06T00:43:35Z,82.30
2025-08-06T00:43:38Z,82.10
2025-08-06T00:43:41Z,82.30
