timestamp,beats per minute
2023-02-05T00:11:01Z,83.0
2023-02-05T00:11:06Z,85.0
2023-02-05T00:11:11Z,90.0
2023-02-05T00:11:16Z,92.0
2023-02-05T00:11:21Z,89.0
2023-02-05T00:24:24Z,87.0
2023-02-05T00:24:29Z,83.0
2023-02-05T00:24:34Z,95.0
2023-02-05T00:24:39Z,101.0
2023-02-05T00:25:01Z,102.0
2023-02-05T00:25:06Z,100.0
2023-02-05T00:25:21Z,100.0
2023-02-05T00:25:26Z,99.0
2023-02-05T00:25:44Z,94.0
2023-02-05T00:25:49Z,91.0
2023-02-05T00:25:59Z,93.0
2023-02-05T00:26:04Z,94.0
2023-02-05T00:26:09Z,97.0
2023-02-05T00:26:19Z,96.0
2023-02-05T00:26:24Z,97.0
2023-02-05T00:26:29Z,98.0
2023-02-05T00:26:35Z,98.0
2023-02-05T00:26:45Z,97.0
2023-02-05T00:26:50Z,96.0
2023-02-05T00:26:55Z,94.0
2023-02-05T00:27:00Z,96.0
2023-02-05T00:27:05Z,97.0
2023-02-05T00:27:10Z,98.0
2023-02-05T00:27:15Z,99.0
2023-02-05T00:27:25Z,97.0
2023-02-05T00:27:30Z,96.0
2023-02-05T00:27:47Z,98.0
2023-02-05T00:27:52Z,97.0
2023-02-05T00:27:57Z,96.0
2023-02-05T00:28:22Z,96.0
2023-02-05T00:28:27Z,91.0
2023-02-05T00:28:32Z,90.0
2023-02-05T00:28:37Z,87.0
2023-02-05T00:29:58Z,93.0
2023-02-05T00:30:03Z,96.0
2023-02-05T01:44:19Z,92.0
2023-02-05T01:44:24Z,94.0
2023-02-05T01:44:39Z,97.0
2023-02-05T01:44:44Z,99.0
2023-02-05T01:44:49Z,98.0
2023-02-05T01:44:54Z,97.0
2023-02-05T01:44:59Z,98.0
2023-02-05T01:45:04Z,99.0
2023-02-05T01:45:09Z,101.0
2023-02-05T01:45:19Z,99.0
2023-02-05T01:45:24Z,101.0
2023-02-05T01:45:29Z,102.0
2023-02-05T01:45:34Z,99.0
2023-02-05T01:45:39Z,98.0
2023-02-05T01:45:44Z,97.0
2023-02-05T01:45:49Z,96.0
2023-02-05T01:45:59Z,97.0
2023-02-05T01:46:09Z,96.0
2023-02-05T01:46:24Z,98.0
2023-02-05T01:46:29Z,97.0
2023-02-05T01:46:44Z,98.0
