timestamp,light,moderate,very
2023-07-03T06:52:00Z,1,0,0
2023-07-03T06:53:00Z,1,0,0
2023-07-03T06:54:00Z,1,0,0
2023-07-03T06:55:00Z,1,0,0
2023-07-03T06:56:00Z,1,0,0
2023-07-03T06:57:00Z,1,0,0
2023-07-03T06:58:00Z,1,0,0
2023-07-03T06:59:00Z,1,0,0
2023-07-03T07:00:00Z,1,0,0
2023-07-03T07:02:00Z,1,0,0
2023-07-03T07:03:00Z,0,1,0
2023-07-03T07:04:00Z,0,0,1
2023-07-03T07:05:00Z,0,0,1
2023-07-03T07:06:00Z,0,0,1
2023-07-03T07:07:00Z,0,0,1
2023-07-03T07:08:00Z,0,0,1
2023-07-03T07:09:00Z,0,0,1
2023-07-03T07:10:00Z,0,0,1
2023-07-03T07:11:00Z,0,0,1
2023-07-03T07:12:00Z,0,0,1
2023-07-03T07:13:00Z,0,1,0
2023-07-03T07:14:00Z,0,1,0
2023-07-03T07:15:00Z,0,1,0
2023-07-03T07:16:00Z,0,1,0
2023-07-03T07:17:00Z,0,0,1
2023-07-03T07:18:00Z,0,1,0
2023-07-03T07:19:00Z,0,0,1
2023-07-03T07:20:00Z,0,0,1
2023-07-03T07:21:00Z,0,0,1
2023-07-03T07:22:00Z,0,1,0
2023-07-03T07:23:00Z,0,0,1
2023-07-03T07:24:00Z,0,1,0
2023-07-03T07:25:00Z,0,1,0
2023-07-03T07:26:00Z,0,0,1
2023-07-03T07:27:00Z,0,0,1
2023-07-03T07:28:00Z,0,0,1
2023-07-03T07:29:00Z,0,0,1
2023-07-03T07:30:00Z,0,0,1
2023-07-03T07:31:00Z,0,0,1
2023-07-03T07:32:00Z,0,0,1
2023-07-03T07:33:00Z,0,0,1
2023-07-03T07:34:00Z,0,0,1
2023-07-03T07:35:00Z,0,0,1
2023-07-03T07:36:00Z,0,0,1
2023-07-03T07:37:00Z,0,0,1
2023-07-03T07:38:00Z,0,0,1
2023-07-03T07:39:00Z,0,0,1
2023-07-03T07:40:00Z,0,0,1
2023-07-03T07:41:00Z,0,0,1
2023-07-03T07:42:00Z,0,0,1
2023-07-03T07:43:00Z,0,0,1
2023-07-03T07:44:00Z,0,0,1
2023-07-03T07:45:00Z,0,0,1
2023-07-03T07:46:00Z,0,0,1
2023-07-03T07:47:00Z,0,0,1
2023-07-03T07:48:00Z,0,1,0
2023-07-03T07:49:00Z,0,1,0
2023-07-03T07:50:00Z,0,1,0
2023-07-03T07:51:00Z,0,0,1
2023-07-03T07:52:00Z,0,1,0
2023-07-03T07:53:00Z,0,1,0
2023-07-03T07:54:00Z,1,0,0
2023-07-03T07:55:00Z,0,1,0
2023-07-03T07:56:00Z,0,0,1
2023-07-03T07:57:00Z,0,1,0
2023-07-03T07:58:00Z,0,1,0
2023-07-03T07:59:00Z,0,1,0
2023-07-03T08:00:00Z,0,1,0
2023-07-03T08:01:00Z,0,0,1
2023-07-03T08:02:00Z,0,0,1
2023-07-03T08:03:00Z,0,0,1
2023-07-03T08:04:00Z,0,0,1
2023-07-03T08:05:00Z,0,0,1
2023-07-03T08:06:00Z,0,0,1
2023-07-03T08:07:00Z,0,1,0
2023-07-03T08:08:00Z,0,1,0
2023-07-03T08:09:00Z,0,1,0
2023-07-03T08:10:00Z,1,0,0
2023-07-03T08:11:00Z,1,0,0
2023-07-03T08:15:00Z,1,0,0
2023-07-03T08:16:00Z,1,0,0
2023-07-03T08:18:00Z,1,0,0
2023-07-03T08:19:00Z,1,0,0
2023-07-03T08:21:00Z,1,0,0
2023-07-03T08:22:00Z,1,0,0
2023-07-03T08:23:00Z,1,0,0
2023-07-03T08:24:00Z,1,0,0
2023-07-04T06:48:00Z,1,0,0
2023-07-04T06:49:00Z,1,0,0
2023-07-04T06:50:00Z,1,0,0
2023-07-04T06:52:00Z,1,0,0
2023-07-04T06:53:00Z,1,0,0
2023-07-04T06:54:00Z,1,0,0
2023-07-04T06:55:00Z,1,0,0
2023-07-04T07:00:00Z,1,0,0
2023-07-04T07:01:00Z,1,0,0
2023-07-04T07:02:00Z,0,1,0
2023-07-04T07:03:00Z,0,1,0
2023-07-04T07:04:00Z,0,0,1
2023-07-04T07:05:00Z,0,0,1
2023-07-04T07:06:00Z,0,0,1
2023-07-04T07:07:00Z,0,0,1
2023-07-04T07:08:00Z,0,0,1
2023-07-04T07:09:00Z,0,0,1
2023-07-04T07:10:00Z,0,0,1
2023-07-04T07:11:00Z,0,0,1
2023-07-04T07:12:00Z,0,0,1
2023-07-04T07:13:00Z,0,0,1
2023-07-04T07:14:00Z,0,0,1
2023-07-04T07:15:00Z,0,0,1
2023-07-04T07:16:00Z,0,0,1
2023-07-04T07:17:00Z,0,0,1
2023-07-04T07:18:00Z,0,0,1
2023-07-04T07:19:00Z,0,1,0
2023-07-04T07:20:00Z,0,0,1
2023-07-04T07:21:00Z,0,0,1
2023-07-04T07:22:00Z,0,0,1
2023-07-04T07:23:00Z,0,0,1
2023-07-04T07:24:00Z,0,0,1
2023-07-04T07:25:00Z,0,0,1
2023-07-04T07:26:00Z,0,0,1
2023-07-04T07:27:00Z,0,0,1
2023-07-04T07:28:00Z,0,0,1
2023-07-04T07:29:00Z,0,1,0
2023-07-04T07:30:00Z,0,0,1
2023-07-04T07:31:00Z,0,0,1
2023-07-04T07:32:00Z,0,1,0
2023-07-04T07:33:00Z,0,1,0
2023-07-04T07:34:00Z,0,0,1
2023-07-04T07:35:00Z,0,1,0
2023-07-04T07:36:00Z,0,1,0
2023-07-04T07:37:00Z,0,0,1
2023-07-04T07:38:00Z,0,1,0
2023-07-04T07:39:00Z,0,1,0
2023-07-04T07:40:00Z,0,1,0
2023-07-04T07:41:00Z,0,0,1
2023-07-04T07:42:00Z,0,1,0
2023-07-04T07:43:00Z,0,1,0
2023-07-04T07:44:00Z,1,0,0
