timestamp,heart rate zone,total minutes
2023-12-15T08:04:00Z,fat burn,1
2023-12-15T08:05:00Z,fat burn,1
2023-12-15T08:06:00Z,fat burn,1
2023-12-15T08:07:00Z,fat burn,1
2023-12-15T08:08:00Z,cardio,2
2023-12-15T08:09:00Z,fat burn,1
2023-12-15T08:10:00Z,cardio,2
2023-12-15T08:11:00Z,cardio,2
2023-12-15T08:12:00Z,cardio,2
2023-12-15T08:13:00Z,cardio,2
2023-12-15T08:14:00Z,cardio,2
2023-12-15T08:15:00Z,fat burn,1
2023-12-15T08:16:00Z,fat burn,1
2023-12-15T08:17:00Z,fat burn,1
2023-12-15T08:18:00Z,fat burn,1
2023-12-15T08:19:00Z,fat burn,1
2023-12-15T08:20:00Z,fat burn,1
2023-12-15T08:21:00Z,fat burn,1
2023-12-15T08:25:00Z,fat burn,1
2023-12-15T08:28:00Z,fat burn,1
2023-12-15T08:29:00Z,fat burn,1
2023-12-15T08:30:00Z,fat burn,1
2023-12-15T08:31:00Z,fat burn,1
2023-12-15T08:32:00Z,fat burn,1
2023-12-15T08:35:00Z,fat burn,1
2023-12-15T08:40:00Z,fat burn,1
2023-12-15T08:41:00Z,fat burn,1
2023-12-15T08:45:00Z,fat burn,1
2023-12-15T08:46:00Z,fat burn,1
2023-12-15T08:51:00Z,fat burn,1
2023-12-15T08:55:00Z,fat burn,1
2023-12-15T08:56:00Z,fat burn,1
2023-12-15T08:57:00Z,fat burn,1
2023-12-15T09:04:00Z,fat burn,1
2023-12-15T09:10:00Z,fat burn,1
2023-12-15T09:15:00Z,fat burn,1
2023-12-15T09:16:00Z,fat burn,1
2023-12-15T09:19:00Z,fat burn,1
2023-12-15T09:22:00Z,fat burn,1
2023-12-15T09:25:00Z,fat burn,1
2023-12-15T09:26:00Z,fat burn,1
2023-12-15T09:31:00Z,fat burn,1
2023-12-16T08:13:00Z,fat burn,1
2023-12-16T08:14:00Z,fat burn,1
2023-12-16T08:15:00Z,cardio,2
2023-12-16T08:16:00Z,fat burn,1
2023-12-16T08:17:00Z,fat burn,1
2023-12-16T08:18:00Z,fat burn,1
2023-12-16T08:19:00Z,fat burn,1
2023-12-16T08:20:00Z,fat burn,1
2023-12-16T08:21:00Z,fat burn,1
2023-12-17T10:23:00Z,fat burn,1
2023-12-17T10:27:00Z,cardio,2
2023-12-17T10:28:00Z,cardio,2
2023-12-17T10:29:00Z,fat burn,1
2023-12-17T10:30:00Z,fat burn,1
2023-12-17T10:31:00Z,fat burn,1
2023-12-17T10:33:00Z,fat burn,1
2023-12-17T10:34:00Z,fat burn,1
2023-12-17T10:36:00Z,fat burn,1
2023-12-17T10:37:00Z,fat burn,1
2023-12-17T10:41:00Z,fat burn,1
2023-12-17T10:42:00Z,fat burn,1
2023-12-17T10:44:00Z,fat burn,1
2023-12-17T10:45:00Z,fat burn,1
2023-12-17T10:46:00Z,fat burn,1
2023-12-17T10:49:00Z,fat burn,1
2023-12-17T10:50:00Z,fat burn,1
2023-12-17T10:51:00Z,fat burn,1
2023-12-17T10:52:00Z,cardio,2
2023-12-17T10:53:00Z,fat burn,1
2023-12-17T10:54:00Z,fat burn,1
2023-12-17T10:55:00Z,fat burn,1
2023-12-17T10:56:00Z,fat burn,1
2023-12-17T10:57:00Z,fat burn,1
2023-12-17T10:58:00Z,fat burn,1
2023-12-17T11:00:00Z,fat burn,1
2023-12-17T11:01:00Z,fat burn,1
2023-12-17T11:02:00Z,fat burn,1
2023-12-17T11:03:00Z,fat burn,1
2023-12-17T11:04:00Z,fat burn,1
2023-12-17T11:05:00Z,fat burn,1
2023-12-17T11:07:00Z,fat burn,1
2023-12-17T11:08:00Z,fat burn,1
2023-12-17T11:10:00Z,fat burn,1
2023-12-17T11:11:00Z,fat burn,1
2023-12-17T11:16:00Z,fat burn,1
2023-12-17T11:17:00Z,cardio,2
2023-12-17T11:18:00Z,cardio,2
2023-12-17T11:19:00Z,cardio,2
2023-12-17T11:20:00Z,cardio,2
2023-12-17T11:21:00Z,cardio,2
2023-12-17T11:22:00Z,cardio,2
2023-12-17T11:23:00Z,cardio,2
