timestamp,vertical ratio
2025-05-12T23:08:43Z,845.0
2025-05-12T23:08:47Z,764.4
2025-05-12T23:08:52Z,740.4
2025-05-12T23:08:58Z,698.3
2025-05-12T23:09:03Z,707.5
2025-05-12T23:09:08Z,724.3
2025-05-12T23:09:13Z,728.6
2025-05-12T23:09:18Z,746.8
2025-05-12T23:09:23Z,741.2
2025-05-12T23:09:28Z,745.8
2025-05-12T23:09:33Z,734.1
2025-05-12T23:09:38Z,746.1
2025-05-12T23:09:43Z,755.0
2025-05-12T23:09:48Z,760.2
2025-05-12T23:09:53Z,775.3
2025-05-12T23:09:58Z,777.5
2025-05-12T23:10:03Z,777.5
2025-05-12T23:10:07Z,780.7
2025-05-12T23:10:12Z,782.8
2025-05-12T23:10:17Z,799.6
2025-05-12T23:10:22Z,781.9
2025-05-12T23:10:27Z,784.1
2025-05-12T23:10:33Z,806.6
2025-05-12T23:10:38Z,834.4
2025-05-12T23:10:43Z,868.0
2025-05-12T23:10:48Z,862.2
2025-05-12T23:10:53Z,862.2
2025-05-12T23:10:57Z,837.7
2025-05-12T23:11:02Z,852.5
2025-05-12T23:11:07Z,851.9
2025-05-12T23:11:12Z,848.1
2025-05-12T23:11:17Z,838.7
2025-05-12T23:11:22Z,840.8
2025-05-12T23:11:27Z,859.2
2025-05-12T23:11:33Z,871.8
2025-05-12T23:11:37Z,919.6
2025-05-12T23:11:43Z,930.3
2025-05-12T23:11:48Z,922.2
2025-05-12T23:11:53Z,880.7
2025-05-12T23:11:58Z,875.2
2025-05-12T23:12:03Z,855.5
2025-05-12T23:12:07Z,838.7
2025-05-12T23:12:13Z,838.1
2025-05-12T23:12:18Z,838.5
2025-05-12T23:12:23Z,872.0
2025-05-12T23:12:28Z,863.1
2025-05-12T23:12:33Z,879.2
2025-05-12T23:12:38Z,850.3
2025-05-12T23:12:43Z,858.3
2025-05-12T23:12:48Z,857.4
2025-05-12T23:12:53Z,879.7
2025-05-12T23:12:57Z,849.6
2025-05-12T23:13:03Z,836.0
2025-05-12T23:13:08Z,795.2
2025-05-12T23:13:13Z,835.0
2025-05-12T23:13:18Z,830.7
2025-05-12T23:13:23Z,823.3
2025-05-12T23:13:28Z,787.6
2025-05-12T23:13:32Z,799.2
2025-05-12T23:13:38Z,817.9
2025-05-12T23:13:43Z,844.6
2025-05-12T23:13:48Z,833.7
2025-05-12T23:13:52Z,858.2
2025-05-12T23:13:57Z,857.3
2025-05-12T23:14:02Z,886.7
2025-05-12T23:14:07Z,877.9
2025-05-12T23:14:12Z,911.2
