timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage
2024-10-01T00:00:00Z,94.8,93.6,96.9,94.2,0.6
2024-10-02T00:00:00Z,95.3,93.8,96.5,94.3,0.7
2024-10-03T00:00:00Z,94.9,93.4,97.0,94.3,0.7
2024-10-04T00:00:00Z,94.5,93.0,96.7,94.3,0.7
2024-10-05T00:00:00Z,94.7,93.2,96.4,94.3,0.6
2024-10-07T00:00:00Z,94.0,92.5,96.4,94.3,0.6
2024-10-08T00:00:00Z,93.8,92.5,95.6,94.3,0.6
2024-10-09T00:00:00Z,94.1,91.9,95.8,94.3,0.6
2024-10-10T00:00:00Z,93.1,91.4,95.1,94.2,0.6
2024-10-11T00:00:00Z,94.2,92.9,95.8,94.2,0.6
2024-10-12T00:00:00Z,94.0,92.8,95.5,94.2,0.6
2024-10-13T00:00:00Z,93.6,91.8,95.4,94.2,0.6
2024-10-15T00:00:00Z,93.6,91.7,95.2,94.2,0.6
2024-10-20T00:00:00Z,94.7,92.9,97.2,94.2,0.6
2024-10-21T00:00:00Z,93.9,92.2,95.4,94.2,0.6
2024-10-23T00:00:00Z,94.5,92.8,96.5,94.2,0.6
2024-10-28T00:00:00Z,94.3,92.3,95.9,94.2,0.6
2024-10-29T00:00:00Z,94.3,93.3,95.3,94.2,0.6
2024-10-30T00:00:00Z,95.1,93.7,96.6,94.3,0.6
2024-10-31T00:00:00Z,93.9,91.9,95.8,94.2,0.6
