timestamp,oxygen saturation percentage
2025-03-04T17:16:20Z,96.0
2025-03-04T17:17:20Z,96.3
2025-03-04T17:18:20Z,96.2
2025-03-04T17:19:20Z,97.0
2025-03-04T17:20:20Z,97.3
2025-03-04T17:25:50Z,95.9
2025-03-04T17:26:50Z,96.2
2025-03-04T17:28:50Z,96.2
2025-03-04T17:29:50Z,96.3
2025-03-04T17:30:50Z,96.5
2025-03-04T17:31:50Z,96.5
2025-03-04T17:34:20Z,96.1
2025-03-04T17:35:20Z,96.0
2025-03-04T17:36:20Z,96.1
2025-03-04T17:37:20Z,95.9
2025-03-04T17:38:20Z,95.8
2025-03-04T17:39:20Z,95.5
2025-03-04T17:42:20Z,95.5
2025-03-04T17:44:20Z,95.6
2025-03-04T17:45:20Z,95.8
2025-03-04T17:46:20Z,96.0
2025-03-04T17:47:20Z,95.9
2025-03-04T17:48:20Z,95.6
2025-03-04T17:49:20Z,95.8
2025-03-04T17:51:20Z,95.9
2025-03-04T17:53:20Z,95.9
2025-03-04T17:54:20Z,95.6
2025-03-04T17:55:20Z,95.2
2025-03-04T17:56:20Z,94.9
2025-03-04T17:57:20Z,94.8
2025-03-04T17:58:20Z,94.7
2025-03-04T17:59:20Z,94.4
2025-03-04T18:00:20Z,94.5
2025-03-04T18:01:20Z,94.6
2025-03-04T18:03:20Z,94.6
2025-03-06T04:18:20Z,93.0
2025-03-06T04:20:20Z,93.7
2025-03-06T04:23:20Z,94.2
2025-03-06T04:25:20Z,95.0
2025-03-06T04:26:20Z,95.3
2025-03-06T04:27:20Z,95.5
2025-03-06T04:28:20Z,95.3
2025-03-06T04:30:20Z,95.4
2025-03-06T04:31:20Z,95.5
2025-03-06T04:33:20Z,95.3
2025-03-06T04:34:20Z,94.9
2025-03-06T04:35:20Z,94.7
2025-03-06T04:37:20Z,95.1
2025-03-06T04:38:20Z,94.8
2025-03-06T04:39:20Z,94.3
2025-03-06T04:41:20Z,94.1
2025-03-06T04:42:20Z,94.1
2025-03-06T04:43:20Z,94.1
2025-03-06T04:45:20Z,94.0
2025-03-06T04:46:20Z,94.2
2025-03-06T04:47:20Z,94.2
2025-03-06T04:48:20Z,94.3
2025-03-06T04:49:20Z,94.1
2025-03-06T04:51:20Z,93.8
2025-03-06T04:52:20Z,94.2
2025-03-06T04:53:20Z,94.6
2025-03-06T04:54:20Z,95.1
2025-03-06T04:57:20Z,95.0
2025-03-06T04:59:20Z,94.9
2025-03-06T05:00:20Z,94.5
2025-03-06T05:08:20Z,92.2
2025-03-06T05:09:20Z,91.9
2025-03-06T05:10:20Z,92.0
2025-03-06T05:12:20Z,93.8
2025-03-06T05:13:20Z,95.8
2025-03-06T05:14:20Z,96.8
2025-03-06T05:15:20Z,97.3
2025-03-06T05:16:20Z,97.2
2025-03-06T05:18:20Z,96.8
2025-03-06T05:19:20Z,95.8
2025-03-06T05:20:20Z,95.7
2025-03-06T05:21:20Z,94.4
2025-03-06T05:22:20Z,93.9
2025-03-06T05:23:20Z,93.3
2025-03-06T05:24:20Z,93.4
2025-03-06T05:25:20Z,93.2
2025-03-06T05:26:20Z,93.5
2025-03-06T05:27:20Z,93.8
2025-03-06T05:28:20Z,93.5
2025-03-06T05:30:20Z,94.4
2025-03-06T05:31:20Z,94.9
2025-03-06T05:32:20Z,95.0
2025-03-06T05:33:20Z,95.2
2025-03-06T05:34:20Z,95.7
2025-03-06T05:35:20Z,95.8
2025-03-06T05:36:20Z,96.1
2025-03-06T05:37:20Z,96.1
2025-03-06T05:38:20Z,96.1
2025-03-06T05:39:20Z,96.4
2025-03-06T05:41:20Z,96.1
2025-03-06T05:42:20Z,95.5
2025-03-06T05:43:20Z,95.2
2025-03-06T05:44:20Z,95.1
2025-03-06T05:45:20Z,94.9
2025-03-06T05:46:20Z,94.9
2025-03-06T05:47:20Z,95.0
2025-03-06T05:48:20Z,95.1
2025-03-06T05:49:20Z,94.9
2025-03-06T05:51:20Z,94.7
2025-03-06T05:52:20Z,94.5
2025-03-06T05:53:20Z,94.3
2025-03-06T05:54:20Z,94.3
2025-03-06T05:55:20Z,94.2
