timestamp,vertical ratio
2025-06-23T00:13:00Z,757.1
2025-06-23T00:13:05Z,779.7
2025-06-23T00:13:10Z,792.8
2025-06-23T00:13:15Z,804.1
2025-06-23T00:13:20Z,800.4
2025-06-23T00:13:25Z,800.4
2025-06-23T00:13:30Z,800.4
2025-06-23T00:13:35Z,806.7
2025-06-23T00:13:40Z,779.0
2025-06-23T00:13:45Z,789.0
2025-06-23T00:13:50Z,779.6
2025-06-23T00:13:55Z,847.6
2025-06-23T00:14:00Z,862.8
2025-06-23T00:14:05Z,887.2
2025-06-23T00:14:10Z,882.6
2025-06-23T00:14:15Z,912.2
2025-06-23T00:14:20Z,922.8
2025-06-23T00:14:25Z,893.6
2025-06-23T00:14:30Z,858.7
2025-06-23T00:14:35Z,860.0
2025-06-23T00:14:40Z,880.4
2025-06-23T00:14:45Z,886.2
2025-06-23T00:14:50Z,878.5
2025-06-23T00:14:55Z,870.2
2025-06-23T00:15:00Z,876.7
2025-06-23T00:15:05Z,890.0
2025-06-23T00:15:10Z,887.0
2025-06-23T00:15:15Z,859.2
2025-06-23T00:15:20Z,837.2
2025-06-23T00:15:25Z,819.0
2025-06-23T00:15:30Z,820.3
2025-06-23T00:15:35Z,815.5
2025-06-23T00:15:40Z,826.6
2025-06-23T00:15:46Z,811.1
2025-06-23T00:15:51Z,795.6
2025-06-23T00:15:55Z,791.0
2025-06-23T00:16:00Z,823.1
2025-06-23T00:16:05Z,845.0
2025-06-23T00:16:10Z,856.3
2025-06-23T00:16:15Z,837.3
2025-06-23T00:16:20Z,860.9
2025-06-23T00:16:25Z,845.7
2025-06-23T00:16:30Z,864.9
2025-06-23T00:16:35Z,830.3
2025-06-23T00:16:40Z,819.4
2025-06-23T00:16:45Z,817.9
2025-06-23T00:16:50Z,795.0
2025-06-23T00:16:55Z,795.5
2025-06-23T00:17:00Z,764.8
2025-06-23T00:17:05Z,792.1
2025-06-23T00:17:11Z,798.5
2025-06-23T00:17:16Z,804.6
2025-06-23T00:17:21Z,794.2
2025-06-23T00:17:26Z,796.3
2025-06-23T00:17:31Z,800.2
2025-06-23T00:17:35Z,850.0
2025-06-23T00:17:40Z,857.2
2025-06-23T00:17:45Z,848.2
2025-06-23T00:17:50Z,814.0
2025-06-23T00:17:55Z,806.5
2025-06-23T00:18:00Z,818.3
2025-06-23T00:18:05Z,800.6
2025-06-23T00:18:10Z,788.8
2025-06-23T00:18:15Z,795.7
2025-06-23T00:18:20Z,783.5
2025-06-23T00:18:25Z,806.2
2025-06-23T00:18:30Z,817.6
2025-06-23T00:18:35Z,843.8
2025-06-23T00:18:40Z,826.6
2025-06-23T00:18:45Z,806.0
2025-06-23T00:18:50Z,809.4
2025-06-23T00:18:55Z,835.5
2025-06-23T00:19:00Z,843.0
2025-06-23T00:19:05Z,836.8
2025-06-23T00:19:10Z,826.5
2025-06-23T00:19:15Z,821.0
2025-06-23T00:19:20Z,817.6
2025-06-23T00:19:25Z,816.4
2025-06-23T00:19:30Z,822.8
2025-06-23T00:19:35Z,801.4
2025-06-23T00:19:40Z,799.9
2025-06-23T00:19:45Z,804.4
2025-06-23T00:19:50Z,813.8
2025-06-23T00:19:55Z,800.0
2025-06-23T00:20:00Z,790.5
2025-06-23T00:20:05Z,785.9
2025-06-23T00:20:10Z,789.9
2025-06-23T00:20:15Z,773.1
2025-06-23T00:20:20Z,769.6
2025-06-23T00:20:25Z,768.2
2025-06-23T00:20:30Z,781.4
2025-06-23T00:20:35Z,789.5
2025-06-23T00:20:40Z,801.2
2025-06-23T00:20:45Z,787.2
2025-06-23T00:20:50Z,781.1
2025-06-23T00:20:55Z,752.0
2025-06-23T00:21:00Z,748.9
2025-06-23T00:21:05Z,751.7
2025-06-23T00:21:10Z,767.8
2025-06-23T00:21:15Z,769.8
2025-06-23T00:21:20Z,773.8
2025-06-23T00:21:25Z,752.9
2025-06-23T00:21:30Z,745.3
2025-06-23T00:21:35Z,739.3
2025-06-23T00:21:40Z,738.2
2025-06-23T00:21:45Z,745.2
2025-06-23T00:21:50Z,742.8
2025-06-23T00:21:55Z,756.1
2025-06-23T00:22:00Z,756.7
2025-06-23T00:22:05Z,761.3
2025-06-23T00:22:11Z,763.8
2025-06-23T00:22:15Z,766.8
2025-06-23T00:22:20Z,774.1
2025-06-23T00:22:25Z,781.6
2025-06-23T00:22:30Z,762.9
2025-06-23T00:22:35Z,745.6
2025-06-23T00:22:40Z,727.7
2025-06-23T00:22:45Z,742.8
2025-06-23T00:22:50Z,751.3
2025-06-23T00:22:55Z,877.2
2025-06-23T00:23:00Z,1015.8
2025-06-23T00:23:05Z,1144.1
2025-06-23T00:23:10Z,1166.2
2025-06-23T00:23:19Z,1340.1
2025-06-23T00:23:24Z,1335.7
2025-06-23T00:23:35Z,1242.4
2025-06-23T00:24:02Z,1294.3
2025-06-23T00:24:13Z,1337.1
2025-06-23T00:24:17Z,1326.3
2025-06-23T00:24:22Z,1338.5
2025-06-23T00:24:27Z,1352.6
2025-06-23T00:25:04Z,956.4
2025-06-23T00:25:09Z,1123.4
2025-06-23T00:25:14Z,1174.4
2025-06-23T00:25:42Z,1246.3
2025-06-23T00:25:59Z,1277.1
2025-06-23T00:26:04Z,1306.2
2025-06-23T00:26:30Z,761.9
2025-06-23T00:26:35Z,750.0
2025-06-23T00:26:40Z,762.5
