timestamp,distance
2025-04-09T00:50:00Z,31.10
2025-04-09T00:52:00Z,18.90
2025-04-09T00:53:00Z,7.10
2025-04-09T00:54:00Z,10.10
2025-04-09T00:55:00Z,14.90
2025-04-09T00:56:00Z,10.80
2025-04-09T01:00:00Z,5.40
2025-04-09T01:01:00Z,18.20
2025-04-09T01:04:00Z,28.90
2025-04-09T09:59:00Z,17.50
2025-04-09T10:02:00Z,5.90
2025-04-09T10:03:00Z,4.50
2025-04-09T10:04:00Z,16.10
2025-04-09T10:14:00Z,16.70
2025-04-09T10:20:00Z,4.50
2025-04-09T10:26:00Z,17.80
2025-04-09T10:50:00Z,18.20
2025-04-09T10:52:00Z,6.80
2025-04-09T10:53:00Z,17.10
2025-04-09T10:54:00Z,67.70
2025-04-09T10:55:00Z,10.60
2025-04-09T11:30:00Z,81.80
2025-04-09T11:31:00Z,23.80
2025-04-09T11:32:00Z,3.80
2025-04-09T11:35:00Z,5.20
2025-04-09T11:36:00Z,36.91
2025-04-09T11:38:00Z,75.00
2025-04-09T11:39:00Z,111.80
2025-04-09T11:40:00Z,59.70
2025-04-09T11:41:00Z,43.50
2025-04-09T11:43:00Z,8.90
2025-04-09T11:44:00Z,72.90
2025-04-09T11:45:00Z,9.20
2025-04-09T11:47:00Z,17.90
2025-04-09T11:48:00Z,12.10
2025-04-09T11:49:00Z,14.80
2025-04-09T11:53:00Z,2.68
2025-04-09T11:54:00Z,4.10
2025-04-09T14:14:00Z,21.90
2025-04-09T14:15:00Z,10.90
2025-04-09T14:16:00Z,14.30
2025-04-09T15:10:00Z,24.90
2025-04-09T15:11:00Z,86.50
2025-04-09T15:12:00Z,60.00
2025-04-09T15:13:00Z,89.20
2025-04-09T15:14:00Z,89.60
2025-04-09T15:15:00Z,65.10
2025-04-09T15:16:00Z,82.60
2025-04-09T15:17:00Z,30.10
2025-04-09T15:18:00Z,43.40
2025-04-09T15:19:00Z,86.40
2025-04-09T15:20:00Z,85.90
2025-04-09T15:21:00Z,68.30
2025-04-09T15:22:00Z,25.50
2025-04-09T15:23:00Z,87.00
2025-04-09T15:24:00Z,81.40
2025-04-09T15:25:00Z,85.00
2025-04-09T15:26:00Z,82.70
2025-04-09T15:27:00Z,83.30
2025-04-09T15:28:00Z,54.80
2025-04-09T15:32:00Z,4.50
2025-04-09T15:33:00Z,7.80
2025-04-09T15:34:00Z,3.36
2025-04-09T15:35:00Z,61.80
2025-04-09T15:36:00Z,28.80
2025-04-09T15:43:00Z,7.50
2025-04-09T15:49:00Z,5.40
2025-04-09T15:55:00Z,68.10
2025-04-09T15:56:00Z,87.30
2025-04-09T15:57:00Z,86.80
2025-04-09T15:58:00Z,86.90
2025-04-09T15:59:00Z,87.10
2025-04-09T16:00:00Z,77.40
2025-04-09T16:01:00Z,44.70
2025-04-09T16:02:00Z,53.60
2025-04-09T16:03:00Z,6.30
2025-04-09T16:04:00Z,32.00
2025-04-09T16:05:00Z,7.50
2025-04-09T16:09:00Z,39.00
2025-04-09T16:10:00Z,28.30
2025-04-09T16:14:00Z,25.30
2025-04-09T16:15:00Z,87.60
2025-04-09T16:16:00Z,27.30
2025-04-09T16:18:00Z,66.70
2025-04-09T16:19:00Z,61.20
2025-04-09T16:20:00Z,82.00
2025-04-09T16:21:00Z,28.60
2025-04-09T17:27:00Z,72.80
2025-04-09T17:28:00Z,70.50
2025-04-09T17:29:00Z,8.30
2025-04-09T17:30:00Z,42.00
2025-04-09T17:31:00Z,39.50
2025-04-09T17:32:00Z,79.00
2025-04-09T17:33:00Z,64.60
2025-04-09T17:34:00Z,16.80
2025-04-09T17:38:00Z,26.40
2025-04-09T17:39:00Z,60.40
2025-04-09T17:40:00Z,9.30
2025-04-09T17:41:00Z,9.30
2025-04-09T18:00:00Z,52.70
2025-04-09T18:01:00Z,52.90
2025-04-09T18:02:00Z,48.30
2025-04-09T18:03:00Z,51.40
2025-04-09T18:04:00Z,51.70
2025-04-09T18:05:00Z,84.60
2025-04-09T18:06:00Z,66.00
2025-04-09T18:07:00Z,64.40
2025-04-09T18:08:00Z,38.40
2025-04-09T18:09:00Z,4.60
2025-04-09T18:10:00Z,70.50
2025-04-09T18:11:00Z,38.50
2025-04-09T18:12:00Z,71.00
2025-04-09T18:13:00Z,84.80
2025-04-09T18:14:00Z,30.20
2025-04-09T18:15:00Z,80.20
2025-04-09T18:16:00Z,38.20
2025-04-09T18:17:00Z,77.20
2025-04-09T18:18:00Z,28.20
2025-04-09T18:25:00Z,9.90
2025-04-09T18:37:00Z,3.80
2025-04-09T18:38:00Z,3.00
2025-04-09T18:43:00Z,13.50
2025-04-09T18:53:00Z,56.80
2025-04-09T18:54:00Z,86.00
2025-04-09T18:55:00Z,78.00
2025-04-09T18:56:00Z,85.60
2025-04-09T18:57:00Z,56.10
2025-04-09T18:58:00Z,30.00
2025-04-09T18:59:00Z,36.70
2025-04-09T19:00:00Z,20.80
2025-04-09T19:03:00Z,17.30
2025-04-09T19:36:00Z,15.70
2025-04-09T19:37:00Z,89.10
2025-04-09T19:38:00Z,76.30
2025-04-09T19:39:00Z,55.20
2025-04-09T19:40:00Z,37.70
2025-04-09T19:41:00Z,67.30
2025-04-09T19:42:00Z,88.00
2025-04-09T19:43:00Z,87.50
2025-04-09T19:44:00Z,78.00
2025-04-09T19:45:00Z,55.70
2025-04-09T20:02:00Z,46.20
2025-04-09T20:03:00Z,60.70
2025-04-09T20:04:00Z,9.10
2025-04-09T20:05:00Z,30.80
2025-04-09T20:06:00Z,71.00
2025-04-09T20:07:00Z,79.60
2025-04-09T20:08:00Z,73.30
2025-04-09T20:10:00Z,6.10
2025-04-09T20:11:00Z,40.90
2025-04-09T20:46:00Z,11.10
2025-04-09T20:47:00Z,34.00
2025-04-09T20:48:00Z,67.10
2025-04-09T20:49:00Z,10.70
2025-04-09T20:50:00Z,84.10
2025-04-09T20:51:00Z,76.30
2025-04-09T20:52:00Z,28.20
2025-04-09T20:53:00Z,23.60
2025-04-09T20:54:00Z,30.30
2025-04-09T20:55:00Z,8.10
2025-04-09T21:18:00Z,61.70
2025-04-09T21:33:00Z,3.80
2025-04-09T21:34:00Z,3.00
2025-04-09T22:10:00Z,7.10
2025-04-09T22:11:00Z,73.50
2025-04-09T22:12:00Z,50.20
2025-04-09T22:13:00Z,48.90
2025-04-09T22:14:00Z,34.10
2025-04-09T22:17:00Z,6.10
2025-04-09T22:18:00Z,69.90
2025-04-09T22:19:00Z,36.60
2025-04-09T22:47:00Z,16.90
2025-04-09T22:50:00Z,13.80
2025-04-09T22:51:00Z,33.00
2025-04-09T22:52:00Z,85.80
2025-04-09T22:53:00Z,77.50
2025-04-09T22:54:00Z,11.70
2025-04-09T23:37:00Z,51.60
2025-04-09T23:38:00Z,69.30
2025-04-09T23:39:00Z,72.50
2025-04-09T23:40:00Z,23.70
2025-04-09T23:41:00Z,23.40
2025-04-09T23:42:00Z,68.00
2025-04-09T23:45:00Z,50.50
2025-04-09T23:46:00Z,58.60
2025-04-09T23:47:00Z,52.90
2025-04-10T00:02:00Z,5.40
2025-04-10T00:31:00Z,12.30
2025-04-10T00:32:00Z,69.00
2025-04-10T00:33:00Z,12.60
2025-04-10T00:34:00Z,81.30
2025-04-10T00:35:00Z,71.30
2025-04-10T00:36:00Z,9.10
2025-04-10T00:41:00Z,55.20
2025-04-10T00:42:00Z,50.50
2025-04-10T00:43:00Z,51.50
2025-04-10T00:44:00Z,24.80
2025-04-10T00:45:00Z,75.20
2025-04-10T00:46:00Z,59.50
2025-04-10T00:47:00Z,58.80
2025-04-10T00:48:00Z,39.90
2025-04-10T00:56:00Z,14.30
2025-04-10T00:57:00Z,56.70
2025-04-10T00:58:00Z,51.20
2025-04-10T00:59:00Z,66.90
2025-04-10T01:00:00Z,26.30
2025-04-10T01:01:00Z,62.70
2025-04-10T01:02:00Z,16.60
2025-04-10T01:03:00Z,79.50
2025-04-10T01:04:00Z,82.50
2025-04-10T01:05:00Z,82.30
2025-04-10T01:06:00Z,59.90
2025-04-10T01:07:00Z,62.50
2025-04-10T01:08:00Z,31.80
2025-04-10T01:09:00Z,76.60
2025-04-10T01:10:00Z,16.70
2025-04-10T01:11:00Z,56.40
2025-04-10T01:46:00Z,23.10
2025-04-10T01:48:00Z,24.50
2025-04-10T01:49:00Z,78.80
2025-04-10T01:50:00Z,79.10
2025-04-10T01:51:00Z,6.70
2025-04-10T02:12:00Z,6.00
2025-04-10T02:13:00Z,23.60
2025-04-10T03:12:00Z,8.80
2025-04-10T03:14:00Z,47.30
2025-04-10T03:15:00Z,73.50
2025-04-10T03:16:00Z,81.00
2025-04-10T03:17:00Z,86.90
2025-04-10T03:18:00Z,86.50
2025-04-10T03:19:00Z,75.20
2025-04-10T03:20:00Z,16.90
2025-04-10T03:21:00Z,67.40
2025-04-10T03:22:00Z,83.20
2025-04-10T03:23:00Z,64.90
2025-04-10T03:24:00Z,20.20
2025-04-10T03:31:00Z,22.20
2025-04-10T03:45:00Z,15.50
2025-04-10T03:46:00Z,86.10
2025-04-10T03:47:00Z,80.30
2025-04-10T03:48:00Z,38.30
2025-04-10T03:50:00Z,60.40
2025-04-10T03:51:00Z,48.40
2025-04-10T03:52:00Z,51.10
2025-04-10T03:56:00Z,41.70
2025-04-10T03:57:00Z,84.40
2025-04-10T03:58:00Z,53.90
2025-04-10T03:59:00Z,18.60
2025-04-10T13:53:00Z,20.20
2025-04-10T13:54:00Z,31.50
2025-04-10T13:55:00Z,1.50
2025-04-10T13:56:00Z,17.90
2025-04-10T13:57:00Z,34.20
2025-04-10T13:58:00Z,40.70
2025-04-10T13:59:00Z,39.80
2025-04-10T14:00:00Z,77.70
2025-04-10T14:01:00Z,86.10
2025-04-10T14:02:00Z,85.60
