timestamp,speed
2025-07-31T00:42:45Z,9.24
2025-07-31T00:42:46Z,9.23
2025-07-31T00:42:47Z,9.18
2025-07-31T00:42:48Z,9.16
2025-07-31T00:42:49Z,9.20
2025-07-31T00:42:50Z,9.23
2025-07-31T00:42:51Z,9.30
2025-07-31T00:42:52Z,9.36
2025-07-31T00:42:53Z,9.37
2025-07-31T00:42:54Z,9.32
2025-07-31T00:42:55Z,9.32
2025-07-31T00:42:56Z,9.32
2025-07-31T00:42:57Z,9.30
2025-07-31T00:42:58Z,9.31
2025-07-31T00:42:59Z,9.35
2025-07-31T00:43:00Z,9.37
2025-07-31T00:43:01Z,9.37
2025-07-31T00:43:02Z,9.37
2025-07-31T00:43:03Z,9.34
2025-07-31T00:43:04Z,9.37
2025-07-31T00:43:05Z,9.40
2025-07-31T00:43:06Z,9.39
2025-07-31T00:43:07Z,9.40
2025-07-31T00:43:08Z,9.42
2025-07-31T00:43:09Z,9.41
2025-07-31T00:43:10Z,9.31
2025-07-31T00:43:11Z,9.26
2025-07-31T00:43:12Z,9.16
2025-07-31T00:43:13Z,9.10
2025-07-31T00:43:14Z,8.97
2025-07-31T00:43:15Z,8.94
2025-07-31T00:43:16Z,8.99
2025-07-31T00:43:17Z,9.00
2025-07-31T00:43:18Z,8.99
2025-07-31T00:43:19Z,8.95
2025-07-31T00:43:20Z,9.00
2025-07-31T00:43:21Z,8.97
2025-07-31T00:43:22Z,8.95
2025-07-31T00:43:23Z,8.95
2025-07-31T00:43:24Z,8.98
2025-07-31T00:43:25Z,9.02
2025-07-31T00:43:26Z,8.98
2025-07-31T00:43:27Z,8.95
2025-07-31T00:43:28Z,8.91
2025-07-31T00:43:29Z,8.88
2025-07-31T00:43:30Z,8.86
2025-07-31T00:43:31Z,8.83
2025-07-31T00:43:32Z,8.84
2025-07-31T00:43:33Z,8.85
2025-07-31T00:43:34Z,8.85
2025-07-31T00:43:35Z,8.84
2025-07-31T00:43:36Z,8.82
2025-07-31T00:43:37Z,8.81
2025-07-31T00:43:38Z,8.81
2025-07-31T00:43:39Z,8.81
2025-07-31T00:43:40Z,8.81
2025-07-31T00:43:41Z,8.79
2025-07-31T00:43:42Z,8.81
2025-07-31T00:43:43Z,8.91
2025-07-31T00:43:44Z,9.02
2025-07-31T00:43:45Z,9.13
2025-07-31T00:43:46Z,9.24
2025-07-31T00:43:47Z,9.32
