timestamp,workout,background,total
2025-06-03T03:52:00Z,0.0,0.24,0.24
2025-06-03T03:53:00Z,0.0,0.25,0.25
2025-06-03T03:55:00Z,0.0,0.3,0.3
2025-06-03T03:56:00Z,0.0,0.25,0.25
2025-06-03T03:57:00Z,0.0,0.25,0.25
2025-06-03T03:58:00Z,0.0,0.33,0.33
2025-06-03T03:59:00Z,0.0,0.31,0.31
2025-06-03T04:01:00Z,0.0,0.28,0.28
2025-06-03T04:02:00Z,0.0,0.24,0.24
2025-06-03T04:03:00Z,0.0,0.35,0.35
2025-06-03T04:04:00Z,0.0,0.33,0.33
2025-06-03T04:05:00Z,0.0,0.27,0.27
2025-06-03T04:09:00Z,0.0,0.25,0.25
2025-06-03T04:11:00Z,0.0,0.23,0.23
2025-06-03T04:12:00Z,0.0,0.28,0.28
2025-06-03T04:14:00Z,0.0,0.24,0.24
2025-06-03T04:15:00Z,0.0,0.27,0.27
2025-06-03T04:16:00Z,0.0,0.24,0.24
2025-06-03T04:17:00Z,0.0,0.24,0.24
2025-06-03T04:29:00Z,0.0,0.26,0.26
2025-06-03T07:57:00Z,0.0,0.24,0.24
2025-06-03T08:00:00Z,0.0,0.27,0.27
2025-06-03T14:29:00Z,0.0,0.26,0.26
2025-06-03T14:32:00Z,0.0,0.24,0.24
2025-06-03T14:33:00Z,0.0,0.26,0.26
2025-06-03T15:00:00Z,0.0,0.24,0.24
2025-06-03T15:05:00Z,0.0,0.28,0.28
2025-06-04T12:58:00Z,0.0,0.32,0.32
2025-06-04T14:32:00Z,0.0,0.24,0.24
2025-06-04T14:42:00Z,0.0,0.56,0.56
2025-06-04T14:43:00Z,0.0,0.67,0.67
2025-06-05T01:24:00Z,0.0,0.32,0.32
2025-06-05T03:00:00Z,0.0,0.3,0.3
2025-06-05T04:09:00Z,0.0,0.35,0.35
2025-06-05T04:10:00Z,0.0,0.58,0.58
2025-06-05T05:18:00Z,0.0,0.27,0.27
2025-06-05T07:17:00Z,0.0,0.26,0.26
2025-06-05T07:18:00Z,0.0,0.31,0.31
2025-06-05T07:19:00Z,0.0,0.24,0.24
2025-06-05T08:20:00Z,0.0,0.24,0.24
2025-06-05T08:21:00Z,0.0,0.26,0.26
2025-06-05T08:23:00Z,0.0,0.29,0.29
2025-06-05T14:22:00Z,0.0,2.35,2.35
2025-06-05T14:23:00Z,0.0,1.34,1.34
2025-06-05T14:24:00Z,0.0,0.67,0.67
2025-06-05T14:25:00Z,0.0,0.28,0.28
2025-06-05T14:28:00Z,0.0,0.24,0.24
2025-06-06T12:44:00Z,0.0,0.27,0.27
2025-06-06T12:45:00Z,0.0,0.23,0.23
2025-06-06T12:47:00Z,0.0,0.28,0.28
2025-06-07T01:14:00Z,0.0,0.26,0.26
2025-06-07T01:15:00Z,0.0,1.2,1.2
2025-06-07T01:16:00Z,0.0,0.26,0.26
2025-06-07T01:21:00Z,0.0,0.25,0.25
2025-06-07T01:22:00Z,0.0,0.37,0.37
2025-06-07T01:23:00Z,0.0,0.75,0.75
2025-06-07T01:24:00Z,0.0,0.65,0.65
2025-06-07T01:25:00Z,0.0,0.24,0.24
2025-06-07T01:26:00Z,0.0,0.29,0.29
2025-06-07T01:27:00Z,0.0,0.83,0.83
2025-06-07T01:28:00Z,0.0,0.91,0.91
2025-06-07T01:29:00Z,0.0,0.71,0.71
2025-06-07T01:30:00Z,0.0,0.23,0.23
2025-06-07T01:31:00Z,0.0,0.27,0.27
2025-06-07T01:32:00Z,0.0,0.92,0.92
2025-06-07T01:33:00Z,0.0,1.19,1.19
2025-06-07T01:34:00Z,0.0,0.6899,0.6899
2025-06-07T01:35:00Z,0.0,1.24,1.24
2025-06-07T01:36:00Z,0.0,0.87,0.87
2025-06-07T01:37:00Z,0.0,0.71,0.71
2025-06-07T01:38:00Z,0.0,0.5699,0.5699
2025-06-07T01:39:00Z,0.0,0.62,0.62
2025-06-07T01:40:00Z,0.0,1.21,1.21
2025-06-07T01:41:00Z,0.0,0.74,0.74
2025-06-07T01:42:00Z,0.0,1.17,1.17
2025-06-07T01:43:00Z,0.0,1.04,1.04
2025-06-07T01:44:00Z,0.0,0.83,0.83
2025-06-07T01:45:00Z,0.0,1.11,1.11
2025-06-07T01:46:00Z,0.0,1.02,1.02
2025-06-07T01:47:00Z,0.0,0.85,0.85
2025-06-07T01:48:00Z,0.0,1.09,1.09
2025-06-07T01:49:00Z,0.0,0.79,0.79
2025-06-07T01:50:00Z,0.0,0.37,0.37
2025-06-07T01:52:00Z,0.0,1.68,1.68
2025-06-07T01:53:00Z,0.0,1.08,1.08
2025-06-07T01:54:00Z,0.0,1.36,1.36
2025-06-07T01:55:00Z,0.0,1.01,1.01
2025-06-07T01:56:00Z,0.0,1.82,1.82
2025-06-07T01:57:00Z,0.0,1.04,1.04
2025-06-07T01:58:00Z,0.0,1.48,1.48
2025-06-07T01:59:00Z,0.0,1.33,1.33
2025-06-07T02:00:00Z,0.0,1.02,1.02
2025-06-07T02:01:00Z,0.0,1.53,1.53
2025-06-07T02:02:00Z,0.0,1.1,1.1
2025-06-07T02:03:00Z,0.0,0.83,0.83
2025-06-07T02:04:00Z,0.0,1.44,1.44
2025-06-07T02:05:00Z,0.0,0.91,0.91
2025-06-07T02:06:00Z,0.0,1.48,1.48
2025-06-07T02:07:00Z,0.0,1.2,1.2
2025-06-07T02:08:00Z,0.0,0.91,0.91
2025-06-07T02:09:00Z,0.0,0.92,0.92
2025-06-07T02:10:00Z,0.0,1.22,1.22
2025-06-07T02:11:00Z,0.0,1.21,1.21
2025-06-07T02:12:00Z,0.0,1.0,1.0
2025-06-07T02:13:00Z,0.0,1.07,1.07
2025-06-07T02:14:00Z,0.0,1.03,1.03
2025-06-07T02:15:00Z,0.0,1.2,1.2
2025-06-07T02:16:00Z,0.0,1.4,1.4
2025-06-07T02:17:00Z,0.0,1.05,1.05
2025-06-07T02:18:00Z,0.0,1.28,1.28
2025-06-07T02:19:00Z,0.0,0.84,0.84
2025-06-07T02:20:00Z,0.0,0.73,0.73
2025-06-07T02:52:00Z,0.0,0.31,0.31
2025-06-07T03:55:00Z,0.0,0.31,0.31
2025-06-07T05:26:00Z,0.0,0.25,0.25
2025-06-07T06:32:00Z,0.0,0.23,0.23
2025-06-07T06:33:00Z,0.0,0.3,0.3
2025-06-07T07:24:00Z,0.0,0.24,0.24
2025-06-07T07:50:00Z,0.0,0.26,0.26
2025-06-07T12:35:00Z,0.0,0.24,0.24
2025-06-08T14:07:00Z,0.0,0.24,0.24
2025-06-08T14:09:00Z,0.0,0.29,0.29
2025-06-09T00:01:00Z,0.0,0.26,0.26
2025-06-09T00:05:00Z,0.0,0.24,0.24
2025-06-09T00:06:00Z,0.0,0.26,0.26
2025-06-09T00:24:00Z,0.0,0.3,0.3
2025-06-09T00:26:00Z,0.0,0.25,0.25
2025-06-09T00:27:00Z,0.0,0.29,0.29
2025-06-09T00:28:00Z,0.0,0.27,0.27
2025-06-09T00:29:00Z,0.0,0.23,0.23
2025-06-09T00:30:00Z,0.0,0.28,0.28
2025-06-09T00:31:00Z,0.0,0.28,0.28
2025-06-09T00:33:00Z,0.0,0.24,0.24
2025-06-09T00:52:00Z,0.0,0.3,0.3
2025-06-09T00:53:00Z,0.0,0.25,0.25
2025-06-09T01:00:00Z,0.0,0.27,0.27
2025-06-09T17:40:00Z,0.0,0.27,0.27
2025-06-09T18:54:00Z,0.0,0.24,0.24
2025-06-09T18:55:00Z,0.0,0.24,0.24
2025-06-09T19:04:00Z,0.0,0.34,0.34
2025-06-09T19:05:00Z,0.0,0.67,0.67
2025-06-09T19:06:00Z,0.0,0.59,0.59
2025-06-09T19:07:00Z,0.0,0.34,0.34
2025-06-09T19:08:00Z,0.0,0.27,0.27
2025-06-09T19:09:00Z,0.0,0.33,0.33
2025-06-09T19:10:00Z,0.0,0.27,0.27
2025-06-09T19:11:00Z,0.0,0.27,0.27
2025-06-09T19:14:00Z,0.0,0.25,0.25
2025-06-09T19:15:00Z,0.0,0.26,0.26
2025-06-09T19:16:00Z,0.0,0.33,0.33
2025-06-09T19:17:00Z,0.0,0.31,0.31
2025-06-09T19:18:00Z,0.0,0.27,0.27
2025-06-09T19:21:00Z,0.0,0.24,0.24
2025-06-09T19:25:00Z,0.0,0.33,0.33
2025-06-09T19:26:00Z,0.0,0.32,0.32
2025-06-09T19:27:00Z,0.0,0.23,0.23
2025-06-09T19:31:00Z,0.0,0.32,0.32
2025-06-09T19:32:00Z,0.0,0.75,0.75
2025-06-09T19:33:00Z,0.0,0.5699,0.5699
