timestamp,beats per minute
2023-09-15T00:00:03Z,73.0
2023-09-15T00:00:08Z,74.0
2023-09-15T00:00:13Z,73.0
2023-09-15T00:00:23Z,74.0
2023-09-15T00:00:33Z,73.0
2023-09-15T00:00:38Z,74.0
2023-09-15T00:00:48Z,71.0
2023-09-15T00:00:58Z,72.0
2023-09-15T00:01:03Z,74.0
2023-09-15T00:01:08Z,75.0
2023-09-15T00:01:13Z,74.0
2023-09-15T00:01:18Z,71.0
2023-09-15T00:01:23Z,69.0
2023-09-15T00:01:28Z,68.0
2023-09-15T00:01:33Z,66.0
2023-09-15T00:01:43Z,69.0
2023-09-15T00:01:48Z,71.0
2023-09-15T00:02:03Z,70.0
2023-09-15T00:02:08Z,71.0
2023-09-15T00:02:13Z,74.0
2023-09-15T00:02:23Z,76.0
2023-09-15T00:02:28Z,77.0
2023-09-15T00:02:33Z,76.0
2023-09-15T00:02:38Z,73.0
2023-09-15T00:02:43Z,71.0
2023-09-15T00:02:48Z,70.0
2023-09-15T00:02:53Z,71.0
2023-09-15T00:02:58Z,73.0
2023-09-15T00:03:03Z,75.0
2023-09-15T00:03:13Z,74.0
2023-09-15T00:03:18Z,72.0
2023-09-15T00:03:33Z,72.0
2023-09-15T00:03:38Z,73.0
2023-09-15T00:03:43Z,74.0
2023-09-15T00:03:48Z,71.0
2023-09-15T00:03:53Z,70.0
2023-09-15T00:03:58Z,68.0
2023-09-15T00:04:03Z,70.0
2023-09-15T00:04:08Z,72.0
2023-09-15T00:04:13Z,74.0
2023-09-15T00:04:18Z,73.0
2023-09-15T00:04:23Z,74.0
2023-09-15T00:04:28Z,73.0
2023-09-15T00:04:33Z,71.0
2023-09-15T00:04:48Z,71.0
2023-09-15T00:05:03Z,71.0
2023-09-15T00:05:18Z,70.0
2023-09-15T00:05:23Z,69.0
2023-09-15T00:05:38Z,69.0
2023-09-15T00:05:43Z,70.0
2023-09-15T00:05:48Z,70.0
2023-09-15T00:05:53Z,72.0
2023-09-15T00:05:58Z,74.0
2023-09-15T00:06:13Z,73.0
2023-09-15T00:06:18Z,74.0
2023-09-15T00:06:28Z,75.0
2023-09-15T00:06:33Z,74.0
2023-09-15T00:06:38Z,73.0
2023-09-15T00:06:48Z,76.0
2023-09-15T00:06:53Z,77.0
2023-09-15T00:06:58Z,78.0
2023-09-15T00:07:03Z,77.0
2023-09-15T00:07:08Z,78.0
2023-09-15T00:07:13Z,77.0
2023-09-15T00:07:23Z,76.0
2023-09-15T00:07:28Z,74.0
2023-09-15T00:07:33Z,71.0
2023-09-15T00:07:38Z,72.0
2023-09-15T00:07:43Z,71.0
2023-09-15T00:07:53Z,70.0
2023-09-15T00:08:03Z,68.0
2023-09-15T00:08:18Z,66.0
2023-09-15T00:08:23Z,67.0
2023-09-15T00:08:28Z,66.0
2023-09-15T00:08:33Z,65.0
2023-09-15T00:08:38Z,70.0
2023-09-15T00:08:43Z,80.0
2023-09-15T00:08:53Z,79.0
2023-09-15T00:08:58Z,76.0
2023-09-15T00:09:03Z,73.0
2023-09-15T00:09:08Z,72.0
2023-09-15T00:09:23Z,70.0
2023-09-15T00:09:28Z,71.0
2023-09-15T00:09:33Z,70.0
2023-09-15T00:09:38Z,69.0
2023-09-15T00:09:48Z,70.0
2023-09-15T00:10:03Z,71.0
2023-09-15T00:10:08Z,73.0
2023-09-15T00:10:13Z,76.0
2023-09-15T00:10:18Z,79.0
2023-09-15T00:10:23Z,80.0
2023-09-15T00:10:28Z,74.0
2023-09-15T00:10:33Z,71.0
2023-09-15T00:10:38Z,69.0
2023-09-15T00:10:43Z,68.0
2023-09-15T00:10:48Z,71.0
2023-09-15T00:10:58Z,70.0
2023-09-15T00:11:03Z,71.0
2023-09-15T00:11:08Z,68.0
2023-09-15T00:11:13Z,69.0
2023-09-15T00:11:18Z,72.0
2023-09-15T00:11:28Z,71.0
2023-09-15T00:11:33Z,70.0
2023-09-15T00:11:38Z,69.0
2023-09-15T00:11:43Z,71.0
2023-09-15T00:11:48Z,72.0
2023-09-15T00:11:53Z,73.0
2023-09-15T00:11:58Z,74.0
2023-09-15T00:12:13Z,72.0
2023-09-15T00:12:18Z,70.0
2023-09-15T00:12:23Z,71.0
2023-09-15T00:12:33Z,72.0
2023-09-15T00:12:38Z,71.0
2023-09-15T00:12:43Z,72.0
2023-09-15T00:12:48Z,73.0
2023-09-15T00:12:58Z,77.0
2023-09-15T00:13:03Z,82.0
2023-09-15T00:13:08Z,84.0
2023-09-15T00:13:13Z,83.0
2023-09-15T00:13:18Z,77.0
2023-09-15T00:13:28Z,74.0
2023-09-15T00:13:33Z,76.0
2023-09-15T00:13:48Z,77.0
2023-09-15T00:13:53Z,76.0
2023-09-15T00:14:08Z,73.0
2023-09-15T00:14:13Z,77.0
2023-09-15T00:14:18Z,79.0
2023-09-15T00:14:23Z,78.0
2023-09-15T00:14:28Z,76.0
2023-09-15T00:14:33Z,75.0
2023-09-15T00:14:38Z,74.0
2023-09-15T00:14:48Z,78.0
2023-09-15T00:14:53Z,79.0
2023-09-15T00:14:58Z,76.0
2023-09-15T00:15:03Z,75.0
2023-09-15T00:15:08Z,74.0
2023-09-15T00:15:18Z,71.0
2023-09-15T00:15:28Z,70.0
