timestamp,ground contact time
2025-07-06T09:36:28Z,328
2025-07-06T09:36:33Z,335
2025-07-06T09:36:38Z,338
2025-07-06T09:36:43Z,344
2025-07-06T09:36:48Z,341
2025-07-06T09:36:52Z,332
2025-07-06T09:36:57Z,321
2025-07-06T09:37:03Z,310
2025-07-06T09:37:08Z,304
2025-07-06T09:37:13Z,299
2025-07-06T09:37:18Z,303
2025-07-06T09:37:23Z,303
2025-07-06T09:37:28Z,295
2025-07-06T09:37:33Z,289
2025-07-06T09:37:38Z,288
2025-07-06T09:37:43Z,292
2025-07-06T09:37:48Z,294
2025-07-06T09:37:53Z,291
2025-07-06T09:37:58Z,289
2025-07-06T09:38:03Z,281
2025-07-06T09:38:08Z,281
2025-07-06T09:38:13Z,281
2025-07-06T09:38:18Z,279
2025-07-06T09:38:23Z,275
2025-07-06T09:38:28Z,271
2025-07-06T09:38:33Z,272
2025-07-06T09:38:38Z,270
2025-07-06T09:38:43Z,267
2025-07-06T09:38:48Z,263
2025-07-06T09:38:53Z,263
2025-07-06T09:38:58Z,264
2025-07-06T09:39:03Z,263
2025-07-06T09:39:08Z,261
2025-07-06T09:39:13Z,262
2025-07-06T09:39:18Z,262
2025-07-06T09:39:23Z,259
2025-07-06T09:39:28Z,271
2025-07-06T09:39:33Z,274
2025-07-06T09:39:38Z,274
2025-07-06T09:39:43Z,264
2025-07-06T09:39:48Z,262
2025-07-06T09:39:53Z,267
2025-07-06T09:39:58Z,273
2025-07-06T09:40:03Z,274
2025-07-06T09:40:08Z,274
2025-07-06T09:40:13Z,270
2025-07-06T09:40:18Z,271
2025-07-06T09:40:23Z,270
2025-07-06T09:40:28Z,267
2025-07-06T09:40:33Z,267
2025-07-06T09:40:38Z,268
2025-07-06T09:40:43Z,273
2025-07-06T09:40:48Z,274
2025-07-06T09:40:53Z,273
2025-07-06T09:40:58Z,272
2025-07-06T09:41:03Z,269
2025-07-06T09:41:08Z,268
2025-07-06T09:41:13Z,268
2025-07-06T09:41:18Z,270
2025-07-06T09:41:23Z,270
2025-07-06T09:41:29Z,269
2025-07-06T09:41:34Z,269
2025-07-06T09:41:39Z,268
2025-07-06T09:41:44Z,273
2025-07-06T09:41:49Z,274
2025-07-06T09:41:54Z,274
2025-07-06T09:41:59Z,270
2025-07-06T09:42:04Z,267
2025-07-06T09:42:08Z,265
2025-07-06T09:42:13Z,266
2025-07-06T09:42:18Z,269
2025-07-06T09:42:23Z,272
2025-07-06T09:42:28Z,271
2025-07-06T09:42:33Z,270
2025-07-06T09:42:38Z,269
2025-07-06T09:42:43Z,270
2025-07-06T09:42:48Z,269
2025-07-06T09:42:53Z,271
2025-07-06T09:42:58Z,273
2025-07-06T09:43:03Z,276
2025-07-06T09:43:08Z,276
2025-07-06T09:43:13Z,276
2025-07-06T09:43:18Z,277
2025-07-06T09:43:23Z,277
2025-07-06T09:43:28Z,276
2025-07-06T09:43:33Z,282
2025-07-06T09:43:38Z,282
2025-07-06T09:43:43Z,283
2025-07-06T09:43:48Z,277
2025-07-06T09:43:53Z,279
2025-07-06T09:43:59Z,279
2025-07-06T09:44:04Z,277
2025-07-06T09:44:09Z,277
2025-07-06T09:44:14Z,278
2025-07-06T09:44:19Z,281
2025-07-06T09:44:24Z,282
2025-07-06T09:44:29Z,285
2025-07-06T09:44:34Z,283
2025-07-06T09:44:39Z,281
2025-07-06T09:44:44Z,280
2025-07-06T09:44:48Z,279
2025-07-06T09:44:53Z,282
2025-07-06T09:44:58Z,282
2025-07-06T09:45:03Z,283
2025-07-06T09:45:08Z,280
2025-07-06T09:45:13Z,283
2025-07-06T09:45:19Z,283
2025-07-06T09:45:24Z,289
2025-07-06T09:45:29Z,289
2025-07-06T09:45:33Z,291
2025-07-06T09:45:38Z,276
2025-07-06T09:45:43Z,266
2025-07-06T09:45:48Z,259
2025-07-06T09:45:53Z,265
2025-07-06T09:45:58Z,263
2025-07-06T09:46:03Z,261
2025-07-06T09:46:08Z,258
2025-07-06T09:46:13Z,260
2025-07-06T09:46:18Z,264
