timestamp,steps
2024-01-01T03:29:00Z,41
2024-01-01T03:30:00Z,48
2024-01-01T03:32:00Z,8
2024-01-01T03:33:00Z,1
2024-01-01T03:34:00Z,11
2024-01-01T03:35:00Z,38
2024-01-01T03:36:00Z,27
2024-01-01T03:37:00Z,52
2024-01-01T03:38:00Z,35
2024-01-01T03:39:00Z,7
2024-01-01T03:41:00Z,35
2024-01-01T03:42:00Z,15
2024-01-01T03:43:00Z,46
2024-01-01T03:44:00Z,13
2024-01-01T03:45:00Z,48
2024-01-01T03:46:00Z,59
2024-01-01T03:47:00Z,55
2024-01-01T03:48:00Z,36
2024-01-01T03:50:00Z,7
2024-01-01T03:51:00Z,1
2024-01-01T03:52:00Z,44
2024-01-01T04:01:00Z,11
2024-01-01T04:02:00Z,26
2024-01-01T04:03:00Z,96
2024-01-01T04:04:00Z,55
2024-01-01T04:05:00Z,7
2024-01-01T04:08:00Z,7
2024-01-01T04:09:00Z,64
2024-01-01T04:10:00Z,52
2024-01-01T04:11:00Z,33
2024-01-01T04:12:00Z,89
2024-01-01T04:23:00Z,26
2024-01-01T04:24:00Z,15
2024-01-01T04:25:00Z,3
2024-01-01T04:29:00Z,38
2024-01-01T04:30:00Z,61
2024-01-01T04:32:00Z,10
2024-01-01T04:33:00Z,44
2024-01-01T04:34:00Z,10
2024-01-01T04:39:00Z,11
2024-01-01T04:43:00Z,2
2024-01-01T04:50:00Z,8
2024-01-01T04:51:00Z,77
2024-01-01T04:52:00Z,78
2024-01-01T04:53:00Z,30
2024-01-01T04:54:00Z,50
2024-01-01T04:55:00Z,81
2024-01-01T04:56:00Z,20
2024-01-01T04:57:00Z,20
2024-01-01T04:58:00Z,48
2024-01-01T04:59:00Z,32
2024-01-01T05:00:00Z,40
2024-01-01T05:06:00Z,4
2024-01-01T05:11:00Z,88
2024-01-01T05:12:00Z,63
2024-01-01T05:13:00Z,54
2024-01-01T05:14:00Z,2
2024-01-01T05:17:00Z,71
2024-01-01T05:18:00Z,24
2024-01-01T05:19:00Z,15
2024-01-01T05:20:00Z,17
2024-01-01T05:23:00Z,11
2024-01-01T05:24:00Z,4
2024-01-01T05:25:00Z,66
2024-01-01T05:26:00Z,71
2024-01-01T05:27:00Z,61
2024-01-01T05:28:00Z,79
2024-01-01T05:29:00Z,35
2024-01-01T05:30:00Z,55
2024-01-01T05:31:00Z,37
2024-01-01T05:32:00Z,77
2024-01-01T05:33:00Z,15
2024-01-01T05:34:00Z,12
2024-01-01T05:35:00Z,57
2024-01-01T05:36:00Z,10
2024-01-01T05:37:00Z,2
2024-01-01T05:38:00Z,23
2024-01-01T05:39:00Z,9
2024-01-01T05:46:00Z,9
2024-01-01T05:47:00Z,6
2024-01-01T05:54:00Z,69
2024-01-01T05:55:00Z,18
2024-01-01T06:01:00Z,4
2024-01-01T06:05:00Z,17
2024-01-01T06:08:00Z,8
2024-01-01T06:09:00Z,1
2024-01-01T06:11:00Z,35
2024-01-01T06:13:00Z,16
2024-01-01T06:16:00Z,7
2024-01-01T06:28:00Z,3
2024-01-01T06:32:00Z,11
2024-01-01T06:51:00Z,21
2024-01-01T06:52:00Z,3
2024-01-01T06:53:00Z,9
2024-01-01T06:54:00Z,64
2024-01-01T06:55:00Z,71
2024-01-01T06:58:00Z,10
2024-01-01T07:02:00Z,5
