timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage
2025-01-02T00:00:00Z,93.8,92.2,95.7,94.1,0.6
2025-01-04T00:00:00Z,93.0,89.6,95.7,94.0,0.7
2025-01-05T00:00:00Z,94.5,91.7,96.8,94.0,0.6
2025-01-06T00:00:00Z,95.0,93.5,96.7,94.1,0.7
2025-01-07T00:00:00Z,93.6,91.0,95.3,94.0,0.6
2025-01-08T00:00:00Z,93.9,91.5,95.5,94.0,0.6
2025-01-10T00:00:00Z,94.3,92.6,95.9,94.1,0.6
2025-01-12T00:00:00Z,93.9,91.5,96.3,94.0,0.6
2025-01-13T00:00:00Z,93.6,91.7,95.7,94.0,0.6
2025-01-22T00:00:00Z,93.8,92.9,94.9,94.0,0.6
2025-01-25T00:00:00Z,95.2,93.3,97.1,94.1,0.6
2025-01-27T00:00:00Z,93.8,93.0,94.5,94.1,0.6
2025-01-29T00:00:00Z,93.9,91.8,96.0,94.0,0.6
2025-01-30T00:00:00Z,94.5,93.3,96.6,94.1,0.6
2025-01-31T00:00:00Z,93.9,91.6,96.8,94.1,0.6
