timestamp,steps per minute
2025-07-31T00:00:41Z,99
2025-07-31T00:00:42Z,99
2025-07-31T00:00:43Z,99
2025-07-31T00:00:44Z,100
2025-07-31T00:00:45Z,100
2025-07-31T00:00:46Z,99
2025-07-31T00:00:47Z,102
2025-07-31T00:00:48Z,105
2025-07-31T00:00:49Z,108
2025-07-31T00:00:50Z,56
2025-07-31T00:01:07Z,120
2025-07-31T00:01:08Z,120
2025-07-31T00:01:09Z,120
2025-07-31T00:01:10Z,118
2025-07-31T00:01:11Z,117
2025-07-31T00:01:12Z,116
2025-07-31T00:01:14Z,0
2025-07-31T00:01:26Z,107
2025-07-31T00:01:27Z,107
2025-07-31T00:01:28Z,107
2025-07-31T00:01:29Z,106
2025-07-31T00:01:30Z,106
2025-07-31T00:01:31Z,106
2025-07-31T00:01:32Z,107
2025-07-31T00:01:33Z,106
2025-07-31T00:01:34Z,105
2025-07-31T00:01:35Z,101
2025-07-31T00:01:36Z,98
2025-07-31T00:01:37Z,96
2025-07-31T00:01:38Z,94
2025-07-31T00:01:40Z,0
2025-07-31T00:03:03Z,114
2025-07-31T00:03:04Z,114
2025-07-31T00:03:05Z,113
2025-07-31T00:03:06Z,112
2025-07-31T00:03:07Z,111
2025-07-31T00:03:08Z,112
2025-07-31T00:03:09Z,113
2025-07-31T00:03:10Z,112
2025-07-31T00:03:11Z,112
2025-07-31T00:03:12Z,112
2025-07-31T00:03:13Z,112
2025-07-31T00:03:14Z,112
2025-07-31T00:03:15Z,111
2025-07-31T00:03:16Z,112
2025-07-31T00:03:17Z,112
2025-07-31T00:03:18Z,111
2025-07-31T00:03:19Z,111
2025-07-31T00:03:20Z,109
2025-07-31T00:03:21Z,108
2025-07-31T00:03:22Z,110
2025-07-31T00:03:23Z,110
2025-07-31T00:03:25Z,111
2025-07-31T00:03:26Z,112
2025-07-31T00:03:27Z,114
2025-07-31T00:03:28Z,118
2025-07-31T00:03:29Z,0
2025-07-31T00:03:34Z,117
2025-07-31T00:03:35Z,117
2025-07-31T00:03:36Z,117
2025-07-31T00:03:37Z,115
2025-07-31T00:03:38Z,112
2025-07-31T00:03:39Z,111
2025-07-31T00:03:40Z,109
2025-07-31T00:03:41Z,107
2025-07-31T00:03:42Z,106
2025-07-31T00:03:43Z,105
2025-07-31T00:03:44Z,103
2025-07-31T00:03:45Z,104
2025-07-31T00:03:46Z,103
2025-07-31T00:03:47Z,106
2025-07-31T00:03:48Z,108
2025-07-31T00:03:49Z,109
2025-07-31T00:03:50Z,110
2025-07-31T00:03:51Z,108
2025-07-31T00:03:52Z,105
2025-07-31T00:03:53Z,0
2025-07-31T00:04:41Z,97
2025-07-31T00:04:42Z,97
2025-07-31T00:04:43Z,97
2025-07-31T00:04:44Z,97
2025-07-31T00:04:45Z,95
2025-07-31T00:04:46Z,93
2025-07-31T00:04:47Z,95
2025-07-31T00:04:48Z,95
2025-07-31T00:04:49Z,95
2025-07-31T00:04:50Z,95
2025-07-31T00:04:51Z,96
2025-07-31T00:04:52Z,0
2025-07-31T00:04:58Z,98
2025-07-31T00:04:59Z,101
2025-07-31T00:05:01Z,101
2025-07-31T00:05:02Z,100
2025-07-31T00:05:03Z,99
2025-07-31T00:05:04Z,97
2025-07-31T00:05:05Z,97
2025-07-31T00:05:06Z,95
2025-07-31T00:05:07Z,94
2025-07-31T00:05:08Z,92
2025-07-31T00:05:09Z,90
2025-07-31T00:05:10Z,88
2025-07-31T00:05:11Z,87
2025-07-31T00:05:12Z,86
2025-07-31T00:05:13Z,85
2025-07-31T00:05:14Z,0
2025-07-31T00:06:53Z,98
2025-07-31T00:06:54Z,98
2025-07-31T00:06:55Z,97
2025-07-31T00:06:56Z,97
2025-07-31T00:06:57Z,97
2025-07-31T00:06:58Z,99
2025-07-31T00:06:59Z,99
2025-07-31T00:07:00Z,99
2025-07-31T00:07:01Z,97
2025-07-31T00:07:02Z,95
2025-07-31T00:07:03Z,94
2025-07-31T00:07:04Z,92
2025-07-31T00:07:05Z,90
2025-07-31T00:07:06Z,0
2025-07-31T00:08:30Z,144
2025-07-31T00:08:31Z,144
2025-07-31T00:08:32Z,141
2025-07-31T00:08:33Z,135
2025-07-31T00:08:34Z,128
2025-07-31T00:08:35Z,122
2025-07-31T00:08:36Z,118
2025-07-31T00:08:37Z,112
2025-07-31T00:08:38Z,108
2025-07-31T00:08:39Z,105
2025-07-31T00:08:40Z,101
2025-07-31T00:08:41Z,98
2025-07-31T00:08:42Z,0
2025-07-31T00:41:54Z,126
2025-07-31T00:41:55Z,143
2025-07-31T00:41:56Z,158
2025-07-31T00:41:57Z,169
2025-07-31T00:41:58Z,176
2025-07-31T00:41:59Z,179
2025-07-31T00:42:00Z,182
2025-07-31T00:42:01Z,184
2025-07-31T00:42:02Z,183
2025-07-31T00:42:03Z,183
2025-07-31T00:42:04Z,183
2025-07-31T00:42:05Z,183
2025-07-31T00:42:06Z,182
2025-07-31T00:42:07Z,182
2025-07-31T00:42:08Z,183
2025-07-31T00:42:09Z,183
2025-07-31T00:42:10Z,184
2025-07-31T00:42:11Z,184
2025-07-31T00:42:12Z,184
2025-07-31T00:42:13Z,184
2025-07-31T00:42:14Z,183
2025-07-31T00:42:15Z,180
2025-07-31T00:42:16Z,180
2025-07-31T00:42:17Z,180
2025-07-31T00:42:18Z,181
2025-07-31T00:42:19Z,182
2025-07-31T00:42:20Z,184
2025-07-31T00:42:21Z,186
2025-07-31T00:42:22Z,185
2025-07-31T00:42:23Z,184
2025-07-31T00:42:24Z,185
2025-07-31T00:42:25Z,184
2025-07-31T00:42:26Z,184
2025-07-31T00:42:27Z,184
2025-07-31T00:42:28Z,185
2025-07-31T00:42:29Z,179
2025-07-31T00:42:30Z,179
2025-07-31T00:42:31Z,182
2025-07-31T00:42:32Z,183
2025-07-31T00:42:33Z,185
2025-07-31T00:42:34Z,183
2025-07-31T00:42:35Z,171
2025-07-31T00:42:36Z,164
2025-07-31T00:42:37Z,168
2025-07-31T00:42:38Z,174
2025-07-31T00:42:39Z,176
2025-07-31T00:42:40Z,179
2025-07-31T00:42:41Z,180
2025-07-31T00:42:42Z,180
2025-07-31T00:42:43Z,180
2025-07-31T00:42:44Z,181
2025-07-31T00:42:45Z,182
2025-07-31T00:42:46Z,184
2025-07-31T00:42:47Z,186
2025-07-31T00:42:48Z,187
2025-07-31T00:42:49Z,188
2025-07-31T00:42:50Z,189
2025-07-31T00:42:51Z,189
2025-07-31T00:42:52Z,188
2025-07-31T00:42:53Z,187
2025-07-31T00:42:54Z,187
2025-07-31T00:42:55Z,187
2025-07-31T00:42:56Z,188
2025-07-31T00:42:57Z,188
