timestamp,light,moderate,very
2024-07-08T12:09:00Z,0,0,1
2024-07-08T12:10:00Z,0,0,1
2024-07-08T12:11:00Z,0,0,1
2024-07-08T12:12:00Z,0,0,1
2024-07-08T12:13:00Z,0,0,1
2024-07-08T12:14:00Z,0,1,0
2024-07-08T12:15:00Z,0,1,0
2024-07-09T11:19:00Z,0,0,1
2024-07-09T11:20:00Z,0,0,1
2024-07-09T11:21:00Z,0,0,1
2024-07-09T11:22:00Z,0,0,1
2024-07-09T11:23:00Z,0,0,1
2024-07-09T11:24:00Z,0,0,1
2024-07-09T11:25:00Z,0,0,1
2024-07-09T11:26:00Z,0,0,1
2024-07-09T11:27:00Z,0,0,1
2024-07-09T11:28:00Z,0,0,1
2024-07-09T11:29:00Z,0,0,1
2024-07-09T11:30:00Z,0,0,1
2024-07-09T11:31:00Z,0,0,1
2024-07-09T11:32:00Z,0,0,1
2024-07-09T11:33:00Z,0,0,1
2024-07-09T11:34:00Z,0,0,1
2024-07-09T11:35:00Z,0,0,1
2024-07-09T11:36:00Z,0,0,1
2024-07-09T11:37:00Z,0,0,1
2024-07-09T11:38:00Z,0,0,1
2024-07-09T11:39:00Z,0,0,1
2024-07-09T11:40:00Z,0,0,1
2024-07-09T11:41:00Z,0,0,1
2024-07-09T11:42:00Z,0,0,1
2024-07-09T11:43:00Z,0,0,1
2024-07-09T11:44:00Z,0,0,1
2024-07-09T11:45:00Z,0,0,1
2024-07-09T11:46:00Z,0,0,1
2024-07-09T11:47:00Z,0,0,1
2024-07-09T11:48:00Z,0,0,1
2024-07-09T11:49:00Z,0,0,1
2024-07-09T11:50:00Z,0,0,1
2024-07-09T11:51:00Z,0,0,1
2024-07-09T11:52:00Z,0,0,1
2024-07-09T11:53:00Z,0,0,1
2024-07-09T11:54:00Z,0,0,1
2024-07-09T11:55:00Z,0,0,1
2024-07-09T11:56:00Z,0,0,1
2024-07-09T11:57:00Z,0,0,1
2024-07-09T11:58:00Z,0,0,1
2024-07-09T11:59:00Z,0,0,1
2024-07-09T12:00:00Z,0,0,1
2024-07-09T12:01:00Z,0,0,1
2024-07-09T12:02:00Z,0,0,1
2024-07-09T12:03:00Z,0,0,1
2024-07-09T12:04:00Z,0,0,1
2024-07-09T12:05:00Z,0,0,1
2024-07-09T12:06:00Z,0,0,1
2024-07-09T12:07:00Z,0,0,1
2024-07-09T12:08:00Z,0,0,1
2024-07-09T12:09:00Z,0,0,1
2024-07-09T12:10:00Z,0,0,1
2024-07-09T12:11:00Z,0,0,1
2024-07-09T12:12:00Z,0,0,1
2024-07-09T12:13:00Z,0,0,1
2024-07-09T12:14:00Z,0,0,1
2024-07-09T12:15:00Z,0,0,1
2024-07-09T12:16:00Z,0,0,1
2024-07-09T12:17:00Z,0,0,1
2024-07-09T12:18:00Z,0,0,1
2024-07-09T12:19:00Z,0,0,1
2024-07-09T12:20:00Z,0,0,1
2024-07-09T12:21:00Z,0,0,1
2024-07-09T12:22:00Z,0,0,1
2024-07-09T12:23:00Z,0,0,1
2024-07-09T12:24:00Z,0,0,1
2024-07-09T12:25:00Z,0,0,1
2024-07-09T12:26:00Z,0,0,1
2024-07-09T12:27:00Z,0,0,1
2024-07-09T12:28:00Z,0,0,1
2024-07-09T12:29:00Z,0,0,1
2024-07-09T12:30:00Z,0,0,1
2024-07-09T12:31:00Z,0,0,1
2024-07-09T12:32:00Z,0,0,1
2024-07-09T12:33:00Z,0,0,1
2024-07-09T12:34:00Z,0,0,1
2024-07-09T12:35:00Z,0,0,1
2024-07-09T12:36:00Z,0,0,1
2024-07-10T07:16:00Z,1,0,0
2024-07-11T19:34:00Z,1,0,0
2024-07-12T22:36:00Z,1,0,0
2024-07-12T22:38:00Z,1,0,0
2024-07-12T22:39:00Z,1,0,0
2024-07-12T22:41:00Z,1,0,0
2024-07-12T22:42:00Z,1,0,0
2024-07-12T22:43:00Z,1,0,0
2024-07-12T22:44:00Z,1,0,0
2024-07-12T22:45:00Z,1,0,0
2024-07-12T22:46:00Z,1,0,0
2024-07-12T22:47:00Z,1,0,0
2024-07-12T22:48:00Z,1,0,0
2024-07-12T22:50:00Z,1,0,0
2024-07-12T22:51:00Z,1,0,0
2024-07-12T22:52:00Z,1,0,0
2024-07-12T22:53:00Z,1,0,0
2024-07-12T22:54:00Z,1,0,0
2024-07-12T23:04:00Z,1,0,0
2024-07-12T23:07:00Z,1,0,0
2024-07-12T23:08:00Z,1,0,0
2024-07-12T23:10:00Z,1,0,0
2024-07-12T23:11:00Z,1,0,0
2024-07-12T23:12:00Z,1,0,0
2024-07-12T23:13:00Z,1,0,0
2024-07-12T23:32:00Z,1,0,0
2024-07-12T23:33:00Z,1,0,0
2024-07-12T23:34:00Z,1,0,0
2024-07-12T23:46:00Z,1,0,0
2024-07-13T00:04:00Z,1,0,0
2024-07-13T00:05:00Z,1,0,0
2024-07-13T00:07:00Z,1,0,0
2024-07-13T00:08:00Z,1,0,0
2024-07-13T00:09:00Z,1,0,0
2024-07-13T00:10:00Z,1,0,0
2024-07-13T00:15:00Z,1,0,0
2024-07-13T00:18:00Z,1,0,0
2024-07-13T00:19:00Z,1,0,0
2024-07-13T00:24:00Z,1,0,0
2024-07-13T00:25:00Z,1,0,0
2024-07-13T00:27:00Z,1,0,0
2024-07-13T00:28:00Z,1,0,0
2024-07-13T00:29:00Z,1,0,0
2024-07-13T00:30:00Z,1,0,0
2024-07-13T00:39:00Z,1,0,0
2024-07-13T00:42:00Z,1,0,0
2024-07-13T00:43:00Z,1,0,0
2024-07-13T00:53:00Z,1,0,0
2024-07-13T00:56:00Z,1,0,0
2024-07-13T00:57:00Z,1,0,0
2024-07-13T00:58:00Z,1,0,0
2024-07-13T01:00:00Z,1,0,0
2024-07-13T01:01:00Z,1,0,0
2024-07-13T01:07:00Z,1,0,0
2024-07-13T01:12:00Z,1,0,0
2024-07-13T01:16:00Z,1,0,0
2024-07-13T01:18:00Z,1,0,0
2024-07-13T01:23:00Z,1,0,0
2024-07-13T01:26:00Z,1,0,0
2024-07-13T01:28:00Z,1,0,0
2024-07-13T01:29:00Z,1,0,0
2024-07-13T01:31:00Z,1,0,0
2024-07-13T01:32:00Z,1,0,0
2024-07-13T01:33:00Z,1,0,0
2024-07-13T01:34:00Z,1,0,0
2024-07-13T01:35:00Z,1,0,0
2024-07-13T01:36:00Z,1,0,0
2024-07-13T01:37:00Z,1,0,0
2024-07-13T01:38:00Z,1,0,0
2024-07-13T01:39:00Z,1,0,0
2024-07-13T01:40:00Z,1,0,0
2024-07-13T01:41:00Z,1,0,0
2024-07-13T01:42:00Z,1,0,0
2024-07-13T01:43:00Z,1,0,0
2024-07-13T01:45:00Z,1,0,0
2024-07-13T01:46:00Z,1,0,0
2024-07-13T01:48:00Z,1,0,0
2024-07-13T01:52:00Z,1,0,0
2024-07-13T01:55:00Z,1,0,0
2024-07-13T01:57:00Z,1,0,0
2024-07-13T01:58:00Z,1,0,0
2024-07-13T01:59:00Z,1,0,0
2024-07-13T02:21:00Z,1,0,0
2024-07-13T02:22:00Z,1,0,0
2024-07-13T02:24:00Z,1,0,0
2024-07-13T02:28:00Z,1,0,0
2024-07-13T02:30:00Z,1,0,0
2024-07-13T02:31:00Z,1,0,0
2024-07-13T02:34:00Z,1,0,0
2024-07-13T02:35:00Z,1,0,0
2024-07-13T02:36:00Z,1,0,0
2024-07-13T02:38:00Z,1,0,0
2024-07-13T02:39:00Z,1,0,0
2024-07-13T02:40:00Z,1,0,0
2024-07-13T02:42:00Z,1,0,0
2024-07-13T02:43:00Z,1,0,0
2024-07-13T03:11:00Z,1,0,0
2024-07-13T03:12:00Z,1,0,0
2024-07-13T03:15:00Z,1,0,0
2024-07-13T03:16:00Z,1,0,0
2024-07-13T03:20:00Z,1,0,0
2024-07-13T03:21:00Z,1,0,0
2024-07-13T03:22:00Z,1,0,0
2024-07-13T03:23:00Z,1,0,0
2024-07-13T03:24:00Z,1,0,0
2024-07-13T03:25:00Z,1,0,0
2024-07-13T03:26:00Z,1,0,0
2024-07-13T03:27:00Z,1,0,0
2024-07-13T03:46:00Z,1,0,0
2024-07-13T03:50:00Z,1,0,0
2024-07-13T03:51:00Z,1,0,0
2024-07-13T03:52:00Z,1,0,0
2024-07-13T07:50:00Z,1,0,0
2024-07-14T19:50:00Z,1,0,0
2024-07-14T23:19:00Z,1,0,0
2024-07-14T23:20:00Z,1,0,0
2024-07-14T23:21:00Z,1,0,0
2024-07-14T23:22:00Z,1,0,0
2024-07-14T23:23:00Z,1,0,0
2024-07-14T23:24:00Z,1,0,0
2024-07-14T23:25:00Z,1,0,0
2024-07-14T23:26:00Z,1,0,0
2024-07-14T23:27:00Z,1,0,0
2024-07-14T23:29:00Z,1,0,0
2024-07-14T23:30:00Z,1,0,0
2024-07-14T23:31:00Z,1,0,0
2024-07-14T23:32:00Z,1,0,0
2024-07-14T23:33:00Z,1,0,0
2024-07-14T23:34:00Z,1,0,0
2024-07-14T23:35:00Z,1,0,0
2024-07-14T23:36:00Z,1,0,0
2024-07-14T23:37:00Z,1,0,0
2024-07-14T23:39:00Z,1,0,0
2024-07-14T23:45:00Z,1,0,0
2024-07-14T23:52:00Z,1,0,0
2024-07-14T23:53:00Z,1,0,0
2024-07-14T23:54:00Z,1,0,0
2024-07-14T23:57:00Z,1,0,0
2024-07-14T23:58:00Z,1,0,0
2024-07-14T23:59:00Z,1,0,0
2024-07-15T00:00:00Z,1,0,0
2024-07-15T00:04:00Z,1,0,0
2024-07-15T00:05:00Z,1,0,0
2024-07-15T00:06:00Z,1,0,0
2024-07-15T00:07:00Z,1,0,0
2024-07-15T00:08:00Z,1,0,0
2024-07-15T00:10:00Z,1,0,0
2024-07-15T00:11:00Z,1,0,0
2024-07-15T00:12:00Z,1,0,0
2024-07-15T00:13:00Z,1,0,0
2024-07-15T00:15:00Z,1,0,0
2024-07-15T00:16:00Z,1,0,0
2024-07-15T00:17:00Z,1,0,0
2024-07-15T00:18:00Z,1,0,0
2024-07-15T00:19:00Z,1,0,0
2024-07-15T00:22:00Z,1,0,0
2024-07-15T00:27:00Z,1,0,0
2024-07-15T00:41:00Z,1,0,0
2024-07-15T00:42:00Z,1,0,0
2024-07-15T00:43:00Z,1,0,0
2024-07-15T00:48:00Z,1,0,0
2024-07-15T01:00:00Z,1,0,0
2024-07-15T01:01:00Z,1,0,0
2024-07-15T01:02:00Z,1,0,0
2024-07-15T01:04:00Z,1,0,0
2024-07-15T01:06:00Z,1,0,0
2024-07-15T01:07:00Z,1,0,0
2024-07-15T01:08:00Z,1,0,0
2024-07-15T01:09:00Z,1,0,0
2024-07-15T01:15:00Z,1,0,0
2024-07-15T01:18:00Z,1,0,0
2024-07-15T01:20:00Z,1,0,0
2024-07-15T01:21:00Z,1,0,0
2024-07-15T01:22:00Z,0,1,0
2024-07-15T01:23:00Z,1,0,0
2024-07-15T01:24:00Z,0,1,0
2024-07-15T01:25:00Z,0,1,0
2024-07-15T01:26:00Z,0,1,0
2024-07-15T01:27:00Z,0,1,0
2024-07-15T01:28:00Z,0,1,0
2024-07-15T01:29:00Z,1,0,0
2024-07-15T01:30:00Z,0,1,0
2024-07-15T01:31:00Z,0,1,0
2024-07-15T01:32:00Z,1,0,0
2024-07-15T01:33:00Z,1,0,0
2024-07-15T01:38:00Z,1,0,0
2024-07-15T01:39:00Z,1,0,0
2024-07-15T01:45:00Z,1,0,0
2024-07-15T01:46:00Z,1,0,0
2024-07-15T01:47:00Z,1,0,0
2024-07-15T01:48:00Z,1,0,0
2024-07-15T01:49:00Z,1,0,0
2024-07-15T01:53:00Z,1,0,0
2024-07-15T01:55:00Z,1,0,0
2024-07-15T01:56:00Z,1,0,0
2024-07-15T01:58:00Z,1,0,0
2024-07-15T01:59:00Z,1,0,0
2024-07-15T02:00:00Z,1,0,0
2024-07-15T02:01:00Z,1,0,0
2024-07-15T02:03:00Z,1,0,0
2024-07-15T02:04:00Z,1,0,0
2024-07-15T02:09:00Z,1,0,0
2024-07-15T02:11:00Z,1,0,0
2024-07-15T02:12:00Z,1,0,0
2024-07-15T02:13:00Z,1,0,0
2024-07-15T02:14:00Z,1,0,0
2024-07-15T02:15:00Z,1,0,0
2024-07-15T02:16:00Z,1,0,0
2024-07-15T02:17:00Z,1,0,0
