"provider_id","sku","timestamp","provider_transaction_id"
"google","com.fitbit.prod.annual.premium_ft6m_6","2022-10-20T01:46:55Z","GPA.3364-1330-4760-49831"
"google","fitbit.annual.premium_ft6m_10","2023-11-08T07:12:22Z","GPA.3393-3576-7672-90784"
"google","fitbit.annual.premium_ft6m_15","2024-09-10T20:32:36Z","GPA.3344-5377-7975-70558"
"google","fitbit.annual.premium_ft6m_12","2025-04-11T17:07:26Z","GPA.3355-8031-7786-79434"
