recorded_time,temperature
2024-12-04T00:00,-0.5293275965318855
2024-12-04T00:01,-0.5293275965318855
2024-12-04T00:02,-0.5193275965318875
2024-12-04T00:03,-0.5093275965318824
2024-12-04T00:04,-0.5193275965318875
2024-12-04T00:05,-0.5093275965318824
2024-12-04T00:06,-0.5293275965318855
2024-12-04T00:07,-0.5593275965318867
2024-12-04T00:08,-0.5793275965318827
2024-12-04T00:09,-0.5793275965318827
2024-12-04T00:10,-0.5393275965318836
2024-12-04T00:11,-0.5093275965318824
2024-12-04T00:12,-0.4893275965318864
2024-12-04T00:13,-0.4893275965318864
2024-12-04T00:14,-0.4993275965318844
2024-12-04T00:15,-0.4693275965318833
2024-12-04T00:16,-0.4993275965318844
2024-12-04T00:17,-0.5093275965318824
2024-12-04T00:18,-0.5393275965318836
2024-12-04T00:19,-0.5493275965318816
2024-12-04T00:20,-0.5493275965318816
2024-12-04T00:21,-0.5493275965318816
2024-12-04T00:22,-0.5693275965318847
2024-12-04T00:23,-0.5593275965318867
2024-12-04T00:24,-0.5593275965318867
2024-12-04T00:25,-0.5793275965318827
2024-12-04T00:26,-0.5593275965318867
2024-12-04T00:27,-0.5693275965318847
2024-12-04T00:28,-0.5593275965318867
2024-12-04T00:29,-0.5393275965318836
2024-12-04T00:30,-0.5393275965318836
2024-12-04T00:31,-0.5393275965318836
2024-12-04T00:32,-0.5393275965318836
2024-12-04T00:33,-0.5093275965318824
2024-12-04T00:34,-0.4893275965318864
2024-12-04T00:35,-0.4693275965318833
2024-12-04T00:36,-0.45932759653188526
2024-12-04T00:37,-0.4693275965318833
2024-12-04T00:38,-0.4693275965318833
2024-12-04T00:39,-0.4793275965318813
2024-12-04T00:40,-0.44932759653188725
2024-12-04T00:41,-0.4693275965318833
2024-12-04T00:42,-0.4893275965318864
2024-12-04T00:43,-0.4993275965318844
2024-12-04T00:44,-0.409327596531881
2024-12-04T00:45,-0.44932759653188725
2024-12-04T00:46,-0.4993275965318844
2024-12-04T00:47,-0.5493275965318816
2024-12-04T00:48,-0.5993275965318858
2024-12-04T00:49,-0.7993275965318816
2024-12-04T00:50,-0.9693275965318833
2024-12-04T00:51,-1.1093275965318838
2024-12-04T00:52,-1.1893275965318821
2024-12-04T00:53,-1.2493275965318844
2024-12-04T00:54,-1.2893275965318836
2024-12-04T00:55,-1.3293275965318827
2024-12-04T00:56,-1.3593275965318838
2024-12-04T00:57,-1.379327596531887
2024-12-04T00:58,-1.389327596531885
2024-12-04T00:59,-1.399327596531883
2024-12-04T01:00,-1.379327596531887
2024-12-04T01:01,-1.379327596531887
2024-12-04T01:02,-1.379327596531887
2024-12-04T01:03,-1.409327596531881
2024-12-04T01:04,-1.409327596531881
2024-12-04T01:05,-1.4193275965318861
2024-12-04T01:06,-1.4593275965318853
2024-12-04T01:07,-1.4893275965318864
2024-12-04T01:08,-1.4993275965318844
2024-12-04T01:09,-1.4893275965318864
2024-12-04T01:10,-1.4693275965318833
2024-12-04T01:11,-1.4693275965318833
2024-12-04T01:12,-1.4493275965318873
2024-12-04T01:13,-1.4193275965318861
2024-12-04T01:14,-1.409327596531881
2024-12-04T01:15,-1.4693275965318833
2024-12-04T01:16,-1.3493275965318858
2024-12-04T01:17,-1.2193275965318833
2024-12-04T01:18,-1.0593275965318867
2024-12-04T01:19,-0.899327596531883
2024-12-04T01:20,-0.899327596531883
2024-12-04T01:21,-0.899327596531883
2024-12-04T01:22,-0.909327596531881
2024-12-04T01:23,-0.909327596531881
2024-12-04T01:24,-0.909327596531881
2024-12-04T01:25,-0.8293275965318827
2024-12-04T01:26,-0.8593275965318838
2024-12-04T01:27,-0.8593275965318838
2024-12-04T01:28,-0.7393275965318864
2024-12-04T01:29,-0.5693275965318847
2024-12-04T01:30,-0.37932759653188697
