timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2024-10-01T04:29:30,14.2,1.1,9.719,14.2,1.1,9.719,14.2,1.7,8.178,15.4,2.7,5.705
2024-10-02T04:15:00,13.2,1.1,7.954,13.2,1.1,7.954,12.8,1.7,10.361,12.2,1.4,5.688
2024-10-03T04:24:30,13.2,1.5,4.991,13.2,1.5,4.991,12.8,1.5,13.13,12.6,1.3,4.924
2024-10-04T04:48:30,13.2,2.0,6.358,14.4,1.4,3.718,13.2,2.0,6.358,14.6,0.6,3.561
2024-10-05T05:02:30,13.6,0.7,5.688,13.6,0.7,5.688,13.6,1.6,8.452,13.4,2.1,2.529
2024-10-07T04:44:30,14.4,0.7,7.742,14.4,0.7,7.742,13.6,1.9,7.176,13.2,1.6,3.94
2024-10-08T04:44:30,13.0,1.9,9.591,12.6,0.7,3.756,13.0,1.9,9.591,15.8,0.6,2.988
2024-10-09T04:19:30,13.2,0.5,5.618,13.2,0.5,5.618,14.8,1.7,4.671,15.2,1.9,3.438
2024-10-10T04:48:30,14.6,0.7,6.96,14.6,0.7,6.96,12.8,1.6,7.884,12.8,0.7,3.194
2024-10-11T03:23:00,12.4,1.3,7.027,12.4,1.3,7.027,13.6,1.6,9.975,16.2,0.6,2.728
2024-10-11T04:49:30,12.4,1.3,7.027,12.4,1.3,7.027,13.8,1.6,12.716,14.6,2.9,3.76
2024-10-12T03:24:30,14.6,1.3,6.713,14.6,1.3,6.713,13.8,1.8,6.861,12.4,1.1,4.715
2024-10-12T06:51:30,14.6,1.3,6.713,14.6,1.3,6.713,13.4,1.8,8.839,12.4,0.8,3.48
2024-10-13T08:15:30,17.4,1.1,6.052,17.4,1.1,6.052,15.4,1.5,11.78,-1.0,0.0,2.265
2024-10-15T04:52:30,13.0,1.7,12.892,-1.0,0.0,0.0,13.0,1.7,12.892,11.6,1.1,2.757
2024-10-15T05:53:30,13.0,1.7,12.511,-1.0,0.0,0.0,13.0,1.7,12.511,11.4,1.1,2.758
2024-10-20T07:12:30,14.8,0.7,6.544,14.8,0.7,6.544,13.6,1.5,8.291,14.0,1.5,3.324
2024-10-21T04:55:30,12.8,1.7,6.668,-1.0,0.0,1.933,12.8,1.7,6.668,14.0,2.5,4.03
2024-10-23T04:22:00,13.2,1.1,4.574,13.2,1.1,4.574,14.4,1.2,5.448,14.2,1.1,2.776
2024-10-24T04:18:30,14.0,1.7,6.764,-1.0,0.0,0.0,14.0,1.7,6.764,17.2,0.5,2.661
2024-10-25T01:44:00,13.6,1.2,6.236,15.0,2.1,3.937,13.6,1.2,6.236,13.8,0.7,2.652
2024-10-25T04:45:00,14.2,1.6,9.225,15.0,2.1,3.937,14.2,1.6,9.225,14.0,1.4,3.928
2024-10-28T04:15:00,15.8,0.6,3.196,15.8,0.6,3.196,14.0,2.4,3.988,11.6,1.4,3.534
2024-10-29T04:36:30,14.4,1.2,5.492,14.4,1.2,5.492,13.0,1.7,8.925,11.6,1.1,3.594
2024-10-30T05:38:30,13.4,1.2,9.987,-1.0,0.0,0.0,13.4,1.2,9.987,-1.0,0.0,2.341
2024-10-31T04:44:30,13.2,0.9,5.427,13.2,0.9,5.427,13.6,1.9,6.578,17.0,1.7,5.04
