timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2025-07-01T05:44:30,15.8,1.9,5.406,15.8,1.9,5.406,14.2,2.0,10.302,11.2,2.0,3.194
2025-07-04T05:51:30,14.4,1.2,6.532,14.4,1.2,6.532,14.8,1.2,7.786,14.6,2.9,3.779
2025-07-06T07:45:30,14.4,1.4,9.033,14.4,1.4,9.033,14.2,2.1,10.119,14.2,1.9,5.515
2025-07-07T04:10:30,14.6,1.6,9.847,-1.0,0.0,2.07,14.6,1.6,9.847,-1.0,0.0,1.979
2025-07-07T06:35:30,13.8,2.3,6.717,15.8,0.8,2.696,13.8,2.3,6.717,13.6,0.5,3.673
2025-07-08T05:29:30,13.0,0.7,5.357,13.0,0.7,5.357,13.0,1.4,7.353,12.8,0.8,2.881
2025-07-10T06:06:30,14.2,1.6,4.913,14.2,1.6,4.913,11.8,0.9,7.8,12.6,0.7,4.576
2025-07-11T04:51:30,13.6,0.5,5.348,13.6,0.5,5.348,12.2,1.6,7.256,15.0,1.9,4.096
2025-07-11T06:22:30,13.6,0.5,5.348,13.6,0.5,5.348,12.2,1.6,8.679,13.8,0.5,2.652
2025-07-15T07:11:30,13.4,1.7,7.451,12.4,0.8,3.505,13.4,1.7,7.451,11.8,1.1,4.34
2025-07-17T06:52:30,14.0,2.0,4.63,14.0,2.0,4.63,13.6,2.0,10.397,13.6,0.7,3.318
2025-07-18T07:02:30,13.6,0.7,4.636,13.6,0.7,4.636,13.4,1.0,5.472,11.4,0.8,2.827
2025-07-19T23:55:30,15.4,1.2,4.995,-1.0,0.0,0.0,15.4,1.2,4.995,-1.0,0.0,1.987
2025-07-20T02:16:30,15.0,1.6,6.397,12.6,0.4,3.551,15.0,1.6,6.397,-1.0,0.0,1.987
2025-07-22T04:45:30,14.0,0.9,5.796,14.0,0.9,5.796,14.4,1.8,7.352,-1.0,0.0,0.0
2025-07-22T07:02:30,14.0,0.9,5.796,14.0,0.9,5.796,14.0,1.7,7.869,15.2,2.5,3.974
2025-07-24T06:48:30,13.8,2.1,7.373,-1.0,0.0,0.0,13.8,2.1,7.373,13.8,2.3,4.318
2025-07-25T05:58:30,14.4,0.7,6.885,14.4,0.7,6.885,15.2,2.0,10.256,12.0,0.9,3.134
2025-07-26T07:00:00,15.0,1.2,7.149,15.0,1.2,7.149,13.8,1.9,8.323,14.6,1.8,3.835
2025-07-28T06:10:30,14.6,1.9,7.445,14.6,1.9,7.445,13.8,2.2,6.496,13.6,1.1,3.57
2025-07-29T06:07:30,13.8,1.8,12.582,13.8,1.3,3.967,13.8,1.8,12.582,12.2,1.3,2.643
2025-07-30T05:44:30,14.0,1.7,7.589,15.6,1.0,3.214,14.0,1.7,7.589,-1.0,0.0,0.0
