timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2024-09-12T04:44:30,13.2,0.7,7.459,13.2,0.7,7.459,14.2,2.0,7.629,11.4,0.4,4.054
2024-09-13T04:35:30,13.6,1.7,5.945,15.0,0.9,2.651,13.6,1.7,5.945,-1.0,0.0,1.792
2024-09-14T03:39:00,14.2,1.9,5.805,-1.0,0.0,0.0,14.2,1.9,5.805,-1.0,0.0,1.87
2024-09-14T07:09:30,15.8,1.8,4.596,15.8,1.8,4.596,13.8,1.6,9.432,10.2,0.9,2.545
2024-09-15T05:20:30,14.4,1.6,6.269,-1.0,0.0,2.243,14.4,1.6,6.269,13.6,1.1,4.366
2024-09-16T05:11:30,15.6,2.1,5.385,14.8,1.2,2.637,15.6,2.1,5.385,12.8,0.6,3.185
2024-09-17T02:09:30,16.0,2.0,5.378,16.0,2.0,5.378,16.2,0.6,4.42,13.4,1.1,2.614
2024-09-17T04:44:00,16.0,2.0,5.378,16.0,2.0,5.378,14.0,1.4,4.589,13.8,1.6,2.707
2024-09-19T04:46:30,13.6,2.0,7.511,14.4,1.1,3.478,13.6,2.0,7.511,13.0,0.7,3.316
2024-09-20T04:47:30,14.4,0.6,4.936,14.4,0.6,4.936,14.0,1.7,6.994,13.6,2.0,3.185
2024-09-23T04:13:30,14.4,2.0,4.483,-1.0,0.0,1.679,14.4,2.0,4.483,12.8,1.0,3.338
2024-09-24T04:44:30,14.2,0.9,10.874,14.2,0.9,10.874,13.8,1.7,8.473,16.6,0.6,3.394
2024-09-25T04:46:00,13.6,2.3,11.649,15.6,0.7,3.059,13.6,2.3,11.649,10.8,1.1,3.191
2024-09-26T04:44:30,14.2,1.3,6.352,14.2,1.3,6.352,14.6,1.5,6.752,13.0,0.6,3.788
2024-09-27T04:51:30,14.4,1.0,9.388,14.4,1.0,9.388,13.2,1.6,8.793,12.6,0.6,4.502
2024-09-28T04:18:30,13.6,1.0,6.875,13.2,2.0,3.465,13.6,1.0,6.875,13.0,0.4,2.969
2024-09-29T02:52:30,14.6,0.6,7.34,14.6,0.6,7.34,14.4,1.3,6.597,12.8,0.7,3.606
2024-09-29T06:01:30,14.4,1.0,6.664,14.4,1.0,6.664,13.8,1.8,7.736,13.2,1.2,5.058
