timestamp,rmssd,coverage,low_frequency,high_frequency
2024-10-07T00:00:00,33.892,0.906,1668.593,220.37
2024-10-07T00:05:00,35.941,0.984,1084.011,239.429
2024-10-07T00:10:00,45.493,0.803,3350.472,524.601
2024-10-07T00:15:00,40.542,0.935,3509.668,391.304
2024-10-07T00:20:00,33.337,1.003,2255.921,234.858
2024-10-07T00:25:00,33.693,0.892,2031.217,191.525
2024-10-07T00:30:00,54.078,0.934,3762.469,844.303
2024-10-07T00:35:00,54.233,0.998,2999.233,719.96
2024-10-07T00:40:00,53.875,0.939,2034.662,802.021
2024-10-07T00:45:00,43.916,0.951,2340.891,351.988
2024-10-07T00:50:00,21.147,0.959,1381.234,68.117
2024-10-07T00:55:00,22.273,0.998,1242.102,120.264
2024-10-07T01:00:00,31.848,0.897,1683.283,302.923
2024-10-07T01:05:00,35.919,0.993,1508.8,288.491
2024-10-07T01:10:00,18.346,1.004,163.516,54.707
2024-10-07T01:15:00,24.819,0.964,912.738,181.139
2024-10-07T01:20:00,32.406,0.954,1899.721,240.966
2024-10-07T01:25:00,32.464,0.876,940.279,289.585
2024-10-07T01:30:00,30.036,0.986,505.727,223.905
2024-10-07T01:35:00,29.255,0.939,2684.759,210.881
2024-10-07T01:40:00,34.808,0.946,956.021,261.542
2024-10-07T01:45:00,34.215,1.002,1152.01,247.683
2024-10-07T01:50:00,32.98,0.99,1508.908,240.136
2024-10-07T01:55:00,28.11,1.003,726.068,195.569
2024-10-07T02:00:00,31.789,1.003,710.496,248.555
2024-10-07T02:05:00,39.743,0.896,1698.142,446.192
2024-10-07T02:10:00,52.673,0.979,3306.685,905.744
2024-10-07T02:15:00,51.62,0.907,1457.974,699.78
2024-10-07T02:20:00,46.801,0.872,2403.928,508.458
2024-10-07T02:25:00,52.065,0.985,2891.737,604.994
2024-10-07T02:30:00,47.23,0.974,487.15,807.174
2024-10-07T02:35:00,42.261,1.003,1583.376,472.391
2024-10-07T02:40:00,46.453,1.004,3325.34,627.176
2024-10-07T02:45:00,49.909,0.914,1643.325,775.459
2024-10-07T02:50:00,41.565,0.971,1670.887,526.667
2024-10-07T02:55:00,35.846,1.006,1431.926,594.383
2024-10-07T03:00:00,15.762,1.002,435.87,56.166
2024-10-07T03:05:00,16.466,0.97,680.197,105.887
2024-10-07T03:10:00,18.505,0.951,1070.812,81.227
2024-10-07T03:15:00,36.744,0.99,1436.489,395.604
2024-10-07T03:20:00,35.555,0.995,1211.341,253.157
2024-10-07T03:25:00,46.913,0.944,2683.66,407.939
2024-10-07T03:35:00,47.227,0.915,3179.969,607.369
2024-10-07T03:40:00,59.925,0.92,1694.842,791.338
2024-10-07T03:45:00,79.573,0.939,3733.149,1338.953
2024-10-07T03:50:00,47.45,0.938,2441.703,369.813
2024-10-07T03:55:00,41.775,0.918,2136.927,380.526
2024-10-07T04:00:00,40.917,1.003,1584.599,361.249
2024-10-07T04:05:00,42.632,0.998,1466.646,347.005
2024-10-07T04:10:00,36.899,1.003,648.43,249.987
2024-10-07T04:15:00,45.021,0.933,2933.936,535.993
2024-10-07T04:20:00,43.061,1.001,2777.262,283.353
2024-10-07T04:25:00,48.416,0.953,4384.669,430.214
2024-10-07T04:30:00,25.478,0.987,2949.204,84.204
2024-10-07T04:35:00,24.358,0.958,1177.895,112.818
2024-10-07T22:00:00,89.258,0.871,6599.871,1391.534
2024-10-07T22:05:00,72.045,0.826,4383.976,667.598
2024-10-07T22:10:00,53.703,0.88,3728.042,352.231
2024-10-07T22:15:00,58.519,0.924,4464.923,718.197
2024-10-07T22:20:00,58.929,0.881,2752.388,614.044
2024-10-07T22:25:00,57.803,0.955,1711.562,605.458
2024-10-07T22:30:00,57.4,0.981,2232.449,687.901
2024-10-07T22:35:00,70.388,0.943,2280.998,747.816
2024-10-07T22:40:00,58.375,0.937,1589.44,533.788
2024-10-07T22:45:00,74.078,0.902,7755.367,870.606
2024-10-07T22:50:00,54.816,1.001,1202.701,806.756
2024-10-07T22:55:00,32.462,0.964,1258.857,313.175
2024-10-07T23:00:00,37.67,0.98,5412.939,1478.468
2024-10-07T23:05:00,38.047,0.971,959.765,367.889
2024-10-07T23:10:00,51.977,0.898,901.02,862.527
2024-10-07T23:15:00,64.224,0.943,1369.41,1295.148
2024-10-07T23:20:00,42.541,0.934,1908.053,431.76
2024-10-07T23:25:00,45.346,0.914,1283.964,483.719
2024-10-07T23:30:00,54.671,0.968,1219.309,725.914
2024-10-07T23:35:00,56.543,0.978,1291.576,801.752
2024-10-07T23:40:00,66.053,0.86,1186.287,1273.81
2024-10-07T23:45:00,63.405,0.915,1897.298,882.182
2024-10-07T23:50:00,58.285,0.925,7220.198,644.597
2024-10-07T23:55:00,56.686,0.881,4951.517,612.838
