timestamp,bucket_values
2024-12-02T02:46:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.007, 0.032, 0.162, 0.448, 0.287, 0.055, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-12-04T04:48:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.008, 0.026, 0.096, 0.218, 0.263, 0.181, 0.102, 0.053, 0.028, 0.011, 0.007, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-12-05T04:53:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.009, 0.021, 0.048, 0.087, 0.142, 0.176, 0.178, 0.148, 0.091, 0.05, 0.024, 0.013, 0.005, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-12-07T04:29:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.006, 0.016, 0.054, 0.111, 0.206, 0.234, 0.187, 0.102, 0.048, 0.021, 0.008, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-12-13T04:38:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.008, 0.023, 0.06, 0.128, 0.199, 0.21, 0.14, 0.084, 0.059, 0.047, 0.024, 0.009, 0.004, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-12-23T04:44:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.006, 0.014, 0.03, 0.098, 0.169, 0.261, 0.225, 0.127, 0.045, 0.013, 0.007, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-12-23T06:20:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.006, 0.013, 0.025, 0.093, 0.18, 0.265, 0.227, 0.123, 0.045, 0.013, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-12-24T04:40:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.004, 0.016, 0.05, 0.101, 0.167, 0.224, 0.202, 0.122, 0.061, 0.029, 0.015, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-12-25T06:59:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.007, 0.099, 0.435, 0.36, 0.086, 0.008, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-12-27T04:51:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.005, 0.015, 0.038, 0.082, 0.114, 0.173, 0.196, 0.161, 0.101, 0.056, 0.031, 0.014, 0.007, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-12-30T04:19:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.003, 0.011, 0.036, 0.095, 0.167, 0.221, 0.202, 0.132, 0.075, 0.036, 0.013, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
