timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2024-12-02T02:46:30,15.0,1.2,4.143,15.0,1.2,4.143,15.2,1.8,6.399,16.2,0.5,3.369
2024-12-04T04:48:30,13.6,0.7,5.892,13.6,0.7,5.892,13.8,1.5,5.938,13.2,1.9,5.319
2024-12-05T04:53:30,13.6,1.5,9.875,13.6,1.5,9.875,13.4,1.3,9.234,16.8,0.7,3.121
2024-12-07T04:29:30,14.6,1.7,5.038,-1.0,0.0,0.0,14.6,1.7,5.038,-1.0,0.0,2.201
2024-12-13T04:38:30,15.2,0.8,5.723,15.2,0.8,5.723,13.6,1.5,7.101,14.0,1.5,3.282
2024-12-23T04:44:30,14.8,1.4,7.774,15.4,1.4,3.698,14.8,1.4,7.774,13.8,1.4,5.071
2024-12-23T06:20:30,14.6,2.2,5.007,14.6,2.2,5.007,14.8,1.5,8.273,14.4,0.9,5.311
2024-12-24T04:40:30,13.8,1.9,5.947,-1.0,0.0,0.0,13.8,1.9,5.947,13.4,1.4,2.541
2024-12-25T06:59:30,16.0,1.3,6.982,16.0,1.3,6.982,15.2,2.1,7.809,16.2,3.0,4.945
2024-12-27T04:51:30,12.6,1.2,8.375,12.6,1.2,8.375,13.0,1.8,10.554,15.6,0.6,2.839
2024-12-30T04:19:30,13.8,2.0,6.249,13.8,2.0,6.249,13.6,2.1,8.367,12.6,1.1,4.633
