timestamp,rmssd,coverage,low_frequency,high_frequency
2023-03-05T00:00:00,48.472,0.933,4638.973,690.772
2023-03-05T00:05:00,46.735,0.895,4887.452,287.887
2023-03-05T00:10:00,27.153,1.002,840.227,100.024
2023-03-05T00:15:00,18.268,1.004,128.074,36.379
2023-03-05T00:20:00,21.49,1.003,110.697,81.002
2023-03-05T00:25:00,27.416,1.003,702.659,175.613
2023-03-05T00:30:00,35.337,0.974,464.919,243.239
2023-03-05T00:35:00,32.397,1.004,341.67,292.804
2023-03-05T00:40:00,31.183,1.001,397.776,304.534
2023-03-05T00:45:00,37.551,0.943,820.424,280.657
2023-03-05T00:50:00,38.404,0.982,605.129,343.648
2023-03-05T00:55:00,39.37,1.002,354.651,517.744
2023-03-05T01:00:00,36.225,1.004,323.019,408.347
2023-03-05T01:05:00,42.763,0.908,459.073,399.268
2023-03-05T01:10:00,34.971,1.002,246.136,338.165
2023-03-05T01:15:00,34.175,1.004,213.805,296.149
2023-03-05T01:20:00,35.854,1.001,650.122,424.741
2023-03-05T01:35:00,56.011,0.707,2568.353,377.782
2023-03-05T01:40:00,51.385,0.847,2672.991,470.953
2023-03-05T01:45:00,34.705,0.995,2148.753,312.974
2023-03-05T01:50:00,36.023,1.004,1574.221,205.279
2023-03-05T01:55:00,36.599,0.99,3858.537,257.464
2023-03-05T02:00:00,33.745,1.001,2860.986,172.789
2023-03-05T02:05:00,39.469,0.948,1912.042,285.051
2023-03-05T02:10:00,23.317,1.003,2080.998,83.696
2023-03-05T02:15:00,23.961,0.958,389.033,108.964
2023-03-05T02:20:00,21.918,0.968,464.642,105.806
2023-03-05T02:25:00,17.85,0.975,287.678,93.442
2023-03-05T02:30:00,17.929,1.002,718.767,56.141
2023-03-05T02:35:00,21.86,0.913,441.373,69.944
2023-03-05T02:40:00,19.385,0.961,618.43,63.476
2023-03-05T02:45:00,20.396,0.935,879.51,78.785
2023-03-05T02:50:00,31.12,0.958,1485.718,132.839
2023-03-05T02:55:00,28.261,1.004,908.706,146.237
2023-03-05T03:00:00,21.307,0.921,190.364,96.799
2023-03-05T03:05:00,25.273,1.004,458.572,142.387
2023-03-05T03:10:00,25.904,1.004,207.973,172.596
2023-03-05T03:15:00,27.013,1.002,297.375,139.707
2023-03-05T03:20:00,25.509,1.003,218.916,170.704
2023-03-05T03:25:00,33.327,0.872,3451.558,336.028
2023-03-05T03:30:00,30.077,0.935,1075.521,176.191
2023-03-05T03:35:00,27.337,0.991,660.079,179.986
2023-03-05T03:40:00,41.388,0.939,857.59,481.968
2023-03-05T03:45:00,35.943,0.995,1296.151,392.017
2023-03-05T03:50:00,36.13,0.96,2516.941,392.961
2023-03-05T03:55:00,23.08,1.0,412.076,153.041
2023-03-05T04:00:00,18.714,1.002,426.799,70.703
2023-03-05T04:05:00,21.578,0.947,1286.219,130.24
2023-03-05T04:10:00,19.724,1.004,220.303,54.06
2023-03-05T04:15:00,24.031,0.872,667.755,81.941
2023-03-05T04:20:00,27.623,0.906,2315.202,181.004
2023-03-05T04:25:00,21.425,1.003,900.565,153.416
2023-03-05T04:30:00,22.742,1.002,625.871,134.706
2023-03-05T04:35:00,20.29,1.004,347.356,112.097
2023-03-05T04:40:00,21.41,1.004,368.921,135.098
2023-03-05T04:45:00,19.738,1.003,671.71,116.886
2023-03-05T04:50:00,17.984,1.002,140.928,99.272
2023-03-05T04:55:00,19.684,1.004,266.949,134.047
2023-03-05T05:00:00,23.794,0.952,511.633,119.694
2023-03-05T05:05:00,36.831,0.942,1988.864,230.932
2023-03-05T05:10:00,33.124,0.912,763.399,189.728
2023-03-05T05:15:00,36.94,0.951,3155.051,303.0
