timestamp,bucket_values
2025-07-01T05:44:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.005, 0.006, 0.015, 0.037, 0.099, 0.182, 0.231, 0.17, 0.113, 0.072, 0.038, 0.021, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-07-04T05:51:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.003, 0.012, 0.031, 0.098, 0.141, 0.162, 0.174, 0.152, 0.105, 0.066, 0.032, 0.012, 0.005, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-07-06T07:45:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.012, 0.054, 0.086, 0.121, 0.199, 0.225, 0.151, 0.081, 0.042, 0.017, 0.005, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-07-07T04:10:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.004, 0.017, 0.102, 0.218, 0.307, 0.21, 0.094, 0.026, 0.012, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-07-07T06:35:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.013, 0.075, 0.168, 0.254, 0.21, 0.125, 0.066, 0.041, 0.024, 0.01, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-07-08T05:29:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.007, 0.011, 0.031, 0.075, 0.135, 0.193, 0.188, 0.159, 0.109, 0.052, 0.024, 0.009, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-07-10T06:06:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.007, 0.016, 0.036, 0.076, 0.12, 0.146, 0.17, 0.169, 0.126, 0.074, 0.032, 0.016, 0.004, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-07-11T04:51:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.005, 0.014, 0.04, 0.072, 0.124, 0.168, 0.195, 0.169, 0.102, 0.056, 0.032, 0.01, 0.005, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-07-11T06:22:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.003, 0.004, 0.013, 0.045, 0.085, 0.134, 0.167, 0.188, 0.161, 0.1, 0.053, 0.028, 0.009, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-07-15T07:11:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.006, 0.016, 0.046, 0.088, 0.141, 0.181, 0.193, 0.147, 0.091, 0.052, 0.024, 0.007, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
