timestamp,bucket_values
2024-10-01T04:29:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.002, 0.004, 0.012, 0.037, 0.101, 0.187, 0.215, 0.189, 0.124, 0.07, 0.034, 0.014, 0.005, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-10-02T04:15:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.003, 0.017, 0.05, 0.081, 0.161, 0.207, 0.199, 0.138, 0.077, 0.038, 0.018, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-10-03T04:24:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.011, 0.046, 0.098, 0.179, 0.255, 0.214, 0.111, 0.048, 0.02, 0.008, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-10-04T04:48:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.006, 0.008, 0.02, 0.075, 0.163, 0.22, 0.213, 0.159, 0.081, 0.031, 0.014, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-10-05T05:02:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.016, 0.063, 0.136, 0.208, 0.205, 0.17, 0.103, 0.05, 0.026, 0.011, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-10-07T04:44:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.004, 0.005, 0.022, 0.073, 0.155, 0.245, 0.219, 0.138, 0.071, 0.035, 0.016, 0.009, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-10-08T04:44:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.005, 0.015, 0.038, 0.078, 0.142, 0.187, 0.194, 0.159, 0.089, 0.045, 0.025, 0.01, 0.005, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-10-09T04:19:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.007, 0.008, 0.013, 0.059, 0.094, 0.15, 0.232, 0.219, 0.125, 0.057, 0.022, 0.01, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-10-10T04:48:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.011, 0.05, 0.121, 0.169, 0.196, 0.21, 0.139, 0.061, 0.025, 0.008, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-10-11T03:23:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.009, 0.027, 0.074, 0.135, 0.209, 0.231, 0.171, 0.088, 0.032, 0.013, 0.005, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-10-11T04:49:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.003, 0.009, 0.025, 0.067, 0.128, 0.198, 0.224, 0.177, 0.097, 0.04, 0.019, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-10-12T03:24:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.012, 0.035, 0.137, 0.232, 0.228, 0.184, 0.098, 0.041, 0.017, 0.007, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
