timestamp,rmssd,coverage,low_frequency,high_frequency
2025-07-19T20:20:00,20.634,0.912,476.123,99.463
2025-07-19T20:25:00,26.68,0.82,965.992,170.941
2025-07-19T20:30:00,25.294,0.949,461.434,116.482
2025-07-19T20:35:00,36.388,0.962,2064.904,279.147
2025-07-19T20:40:00,39.463,0.979,4152.565,254.48
2025-07-19T20:45:00,36.857,0.988,2199.818,168.288
2025-07-19T20:50:00,37.083,0.938,1891.534,298.35
2025-07-19T20:55:00,37.532,0.963,872.264,212.18
2025-07-19T21:00:00,39.171,0.906,2218.568,226.663
2025-07-19T21:05:00,37.204,0.968,2036.781,252.275
2025-07-19T21:10:00,37.637,0.909,2024.763,258.448
2025-07-19T21:15:00,38.494,0.976,3068.369,225.481
2025-07-19T21:20:00,36.148,0.998,636.96,262.381
2025-07-19T21:25:00,32.838,1.003,560.724,204.601
2025-07-19T21:30:00,39.028,0.936,2460.051,251.217
2025-07-19T21:35:00,42.088,1.005,2006.981,258.332
2025-07-19T21:40:00,38.802,0.932,1035.073,262.655
2025-07-19T21:45:00,36.672,0.858,2625.203,216.797
2025-07-19T21:50:00,21.234,0.97,668.731,59.291
2025-07-19T21:55:00,14.533,0.978,414.07,40.909
2025-07-19T22:00:00,19.303,0.976,1286.109,91.56
2025-07-19T22:05:00,30.248,0.902,1475.93,223.546
2025-07-19T22:10:00,32.796,0.952,1657.883,203.0
2025-07-19T22:15:00,37.023,0.974,1467.356,294.471
2025-07-19T22:20:00,34.191,0.975,464.656,260.747
2025-07-19T22:25:00,41.366,0.935,3437.234,296.472
2025-07-19T22:30:00,37.148,0.991,1390.049,350.349
2025-07-19T22:35:00,47.421,0.909,3740.345,383.852
2025-07-19T22:40:00,51.569,0.844,3657.209,390.226
2025-07-19T22:45:00,61.285,0.945,6382.69,526.909
2025-07-19T22:50:00,59.932,0.928,4231.44,530.946
2025-07-19T22:55:00,64.089,0.991,6223.845,518.433
2025-07-19T23:00:00,69.992,0.936,3528.076,542.091
2025-07-19T23:05:00,82.557,0.946,4331.756,828.068
2025-07-19T23:10:00,80.071,0.985,4872.987,949.152
2025-07-19T23:15:00,69.961,0.957,6591.818,729.699
2025-07-19T23:20:00,34.332,0.972,809.692,134.59
2025-07-19T23:25:00,43.069,0.992,1288.849,324.927
2025-07-19T23:35:00,34.923,0.915,886.337,291.863
2025-07-19T23:40:00,49.107,0.819,1961.896,467.392
2025-07-19T23:45:00,61.355,0.927,1481.005,964.549
2025-07-19T23:50:00,77.472,0.755,2040.953,1008.374
