exercise_id,exercise_start,exercise_end,utc_offset,exercise_created,exercise_last_updated,activity_name,log_type,pool_length,pool_length_unit,intervals,distance_units,tracker_total_calories,tracker_total_steps,tracker_total_distance_mm,tracker_total_altitude_mm,tracker_avg_heart_rate,tracker_peak_heart_rate,tracker_avg_pace_mm_per_second,tracker_avg_speed_mm_per_second,tracker_peak_speed_mm_per_second,tracker_auto_stride_run_mm,tracker_auto_stride_walk_mm,tracker_swim_lengths,tracker_pool_length,tracker_pool_length_unit,tracker_cardio_load,manually_logged_total_calories,manually_logged_total_steps,manually_logged_total_distance_mm,manually_logged_pool_length,manually_logged_pool_length_unit,events
1004946930543256832,2024-02-07 10:30:42+0000,2024-02-07 10:54:59+0000,+07:00,2024-02-07 11:04:10+0000,2024-02-07 11:04:10+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,183,2584,1760369,0,113,135,0,0,0,0,0,0,0,UNSPECIFIED,0,,,,,,
1033472103257609088,2024-02-17 01:26:54+0000,2024-02-17 01:47:16+0000,+07:00,2024-02-17 01:49:33+0000,2024-02-17 01:49:33+0000,Outdoor Run,TRACKER,0,UNSPECIFIED,,IMPERIAL,189,2815,2333006,2134,121,155,0,0,0,0,0,0,0,UNSPECIFIED,0,,,,,,
1042748970628553184,2024-09-20 13:23:57+0000,2024-09-20 13:45:17+0000,-05:00,2024-09-20 13:49:38+0000,2024-09-20 13:49:38+0000,Outdoor Walk,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
1100402986398350592,2024-07-16 10:53:40+0000,2024-07-16 12:21:23+0000,-05:00,2024-07-16 11:10:47+0000,2024-07-16 12:21:36+0000,Outdoor Run,TRACKER,0,UNSPECIFIED,,IMPERIAL,930,12832,11467378,27127,143,168,0,0,0,0,0,0,0,UNSPECIFIED,0,,,,,,
116914147416722416,2024-07-30 11:18:56+0000,2024-07-30 12:02:36+0000,-05:00,2024-07-30 11:33:45+0000,2024-07-30 12:02:50+0000,Outdoor Run,TRACKER,0,UNSPECIFIED,,IMPERIAL,498,7225,6407261,50902,144,161,0,0,0,0,0,0,0,UNSPECIFIED,0,,,,,,
1236912876801379680,2024-09-28 11:22:44+0000,2024-09-28 13:52:33+0000,-05:00,2024-09-28 13:52:36+0000,2024-09-28 13:52:36+0000,Structured Workout,TRACKER,0,UNSPECIFIED,,UNSPECIFIED,1645,23083,21266482,16015,140,0,0,2367,3377,0,0,0,0,UNSPECIFIED,242.3,,,,,,
1324455978367485920,2024-02-07 01:23:02+0000,2024-02-07 11:56:04+0000,-06:00,2024-03-27 19:22:28+0000,2024-03-27 19:22:28+0000,Outdoor Run,TRACKER,0,UNSPECIFIED,,UNSPECIFIED,0,0,0,0,0,0,0,0,0,0,0,0,0,UNSPECIFIED,0,,,,,,
1376277477965770152,2024-01-09 23:59:37+0000,2024-01-10 00:39:23+0000,+07:00,2024-01-10 00:38:20+0000,2024-01-10 00:39:36+0000,Outdoor Run,TRACKER,0,UNSPECIFIED,,IMPERIAL,403,5999,5162895,21946,134,159,0,0,0,0,0,0,0,UNSPECIFIED,0,,,,,,
1520479350161458136,2024-03-04 09:41:38+0000,2024-03-04 11:20:04+0000,+07:00,2024-03-04 09:56:44+0000,2024-03-04 11:21:09+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,523,0,0,0,111,150,0,0,0,0,0,0,0,UNSPECIFIED,0,,,,,,
1551628293354096368,2024-03-15 08:36:19+0000,2024-03-17 01:34:34+0000,+07:00,2024-03-15 08:43:18+0000,2024-03-17 09:50:18+0000,Kickboxing,TRACKER,0,UNSPECIFIED,,UNSPECIFIED,0,0,0,0,0,0,0,0,0,0,0,0,0,UNSPECIFIED,0,,,,,,
1689660247875502416,2024-05-14 14:09:30+0000,2024-05-14 16:02:06+0000,-05:00,2024-05-14 14:19:15+0000,2024-05-14 16:02:17+0000,Outdoor Run,TRACKER,0,UNSPECIFIED,,IMPERIAL,1230,17354,16087103,42062,155,166,0,0,0,0,0,0,0,UNSPECIFIED,0,,,,,,
1969529208447275880,2023-12-15 08:03:45+0000,2023-12-15 08:19:58+0000,+07:00,2023-12-15 08:30:20+0000,2023-12-15 08:30:20+0000,Aerobic Workout,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
1998405792073433936,2024-05-17 15:38:55+0000,2024-05-17 15:59:36+0000,-05:00,2024-05-17 15:49:03+0000,2024-05-17 16:00:42+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,71,0,0,0,87,108,0,0,0,0,0,0,0,UNSPECIFIED,0,,,,,,
204322936852330688,2023-12-19 08:12:29+0000,2023-12-19 09:34:21+0000,+07:00,2023-12-19 08:33:09+0000,2023-12-19 09:34:34+0000,Outdoor Run,TRACKER,0,UNSPECIFIED,,IMPERIAL,914,11841,10544013,50902,142,163,0,0,0,0,0,0,0,UNSPECIFIED,0,,,,,,
2115950005219782096,2024-07-02 11:24:09+0000,2024-07-02 12:26:22+0000,-05:00,2024-07-02 11:37:36+0000,2024-07-02 12:26:58+0000,Outdoor Run,TRACKER,0,UNSPECIFIED,,IMPERIAL,760,10633,9714996,60046,148,167,0,0,0,0,0,0,0,UNSPECIFIED,0,,,,,,
2150931058440800608,2024-05-21 13:35:11+0000,2024-05-21 14:33:23+0000,-05:00,2024-05-21 13:47:04+0000,2024-05-21 14:33:38+0000,Outdoor Run,TRACKER,0,UNSPECIFIED,,IMPERIAL,586,8358,8062209,39929,151,166,0,0,0,0,0,0,0,UNSPECIFIED,0,,,,,,
2170531093435375216,2024-10-18 19:39:41+0000,2024-10-18 22:33:22+0000,-05:00,2024-10-18 19:39:44+0000,2024-10-18 23:14:50+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,550,0,246717,0,122,171,0,0,0,0,0,0,0,UNSPECIFIED,62.01,,,,,,"[ExerciseEventId: 2293715211210850728, Timestamp: 2024-10-18 22:33:22+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 10421713, TraveledDistanceMm: 246717, CaloriesBurned: 550, Steps: 0, AverageHeartRate: 122, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
2260669968813317720,2024-09-25 15:16:18+0000,2024-09-25 16:11:51+0000,-05:00,2024-09-25 15:31:37+0000,2024-09-25 16:12:03+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,580,0,185384,0,142,168,0,0,0,0,0,0,0,UNSPECIFIED,98.95,,,,,,"[ExerciseEventId: 423654216453687744, Timestamp: 2024-09-25 16:11:51+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 3332969, TraveledDistanceMm: 185384, CaloriesBurned: 580, Steps: 0, AverageHeartRate: 142, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
2304068549668178512,2024-02-02 10:01:21+0000,2024-02-02 10:13:20+0000,+07:00,2024-02-02 10:13:21+0000,2024-02-02 10:13:21+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,90,0,0,0,122,140,0,0,0,0,0,0,0,UNSPECIFIED,0,,,,,,
2317920452793523976,2024-01-06 00:18:53+0000,2024-01-06 00:18:58+0000,+07:00,2024-01-06 01:02:49+0000,2024-01-06 01:02:49+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,0,0,0,0,137,138,0,0,0,0,0,0,0,UNSPECIFIED,0,,,,,,
2339348630625558592,2024-01-29 08:06:25+0000,2024-01-29 09:22:21+0000,+07:00,2024-01-29 08:18:13+0000,2024-01-29 09:22:33+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,440,0,0,0,110,144,0,0,0,0,0,0,0,UNSPECIFIED,0,,,,,,
2527281771846359304,2024-06-18 11:16:54+0000,2024-06-18 12:14:31+0000,-05:00,2024-06-18 11:35:00+0000,2024-06-18 12:14:45+0000,Outdoor Run,TRACKER,0,UNSPECIFIED,,IMPERIAL,470,6370,6544885,32918,157,173,0,0,0,0,0,0,0,UNSPECIFIED,0,,,,,,
2738894872615448664,2024-01-07 00:18:17+0000,2024-01-07 00:48:54+0000,+07:00,2024-01-07 00:44:15+0000,2024-01-07 00:50:06+0000,Outdoor Run,TRACKER,0,UNSPECIFIED,,IMPERIAL,305,4933,4237076,14935,133,161,0,0,0,0,0,0,0,UNSPECIFIED,0,,,,,,
279462974302691600,2023-12-16 08:05:02+0000,2023-12-16 08:21:14+0000,+07:00,2023-12-16 08:40:02+0000,2023-12-16 08:40:02+0000,Aerobic Workout,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
2952724499205545288,2023-11-24 08:21:12+0000,2023-11-24 08:31:19+0000,+07:00,2023-11-24 08:34:31+0000,2023-11-24 08:34:31+0000,Outdoor Run,TRACKER,0,UNSPECIFIED,,IMPERIAL,109,1524,1473740,0,138,161,0,0,0,0,0,0,0,UNSPECIFIED,0,,,,,,
