name,objectives,schedule,status,update_time
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 26)",2025-06-17 00:00:00 - 2025-06-18 00:00:00,ENABLED,2025-06-18 00:47:58+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 26)",2025-06-18 00:00:00 - 2025-06-19 00:00:00,ENABLED,2025-06-18 01:22:13+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 26)",2025-06-19 00:00:00 - 2025-06-20 00:00:00,ENABLED,2025-06-19 00:19:08+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 26)",2025-06-20 00:00:00 - 2025-06-21 00:00:00,ENABLED,2025-06-20 00:46:27+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 27)",2024-11-29 00:00:00 - 2024-11-30 00:00:00,ENABLED,2024-11-29 12:22:28+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 27)",2024-11-30 00:00:00 - 2024-12-01 00:00:00,ENABLED,2024-11-30 12:17:20+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 27)",2024-12-01 00:00:00 - 2024-12-02 00:00:00,ENABLED,2024-12-01 13:36:37+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 27)",2024-12-02 00:00:00 - 2024-12-03 00:00:00,ENABLED,2024-12-02 10:45:27+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 27)",2024-12-03 00:00:00 - 2024-12-04 00:00:00,ENABLED,2024-12-03 10:32:40+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 27)",2024-12-04 00:00:00 - 2024-12-05 00:00:00,ENABLED,2024-12-04 10:49:15+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 28)",2024-11-20 00:00:00 - 2024-11-21 00:00:00,ENABLED,2024-11-21 12:34:34+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 28)",2025-01-08 00:00:00 - 2025-01-09 00:00:00,ENABLED,2025-01-08 10:52:13+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 28)",2025-06-02 00:00:00 - 2025-06-03 00:00:00,ENABLED,2025-06-01 22:56:45+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 29)",2024-11-27 00:00:00 - 2024-11-28 00:00:00,ENABLED,2024-11-27 10:58:12+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 29)",2024-11-28 00:00:00 - 2024-11-29 00:00:00,ENABLED,2024-11-28 15:46:29+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 30)",2025-07-06 00:00:00 - 2025-07-07 00:00:00,ENABLED,2025-07-05 18:20:39+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 30)",2025-07-06 00:00:00 - 2025-07-07 00:00:00,ENABLED,2025-07-06 00:56:45+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 31)",2025-03-20 00:00:00 - 2025-03-21 00:00:00,ENABLED,2025-03-20 10:34:26+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 31)",2025-07-07 00:00:00 - 2025-07-08 00:00:00,ENABLED,2025-07-06 19:42:59+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 31)",2025-07-07 00:00:00 - 2025-07-08 00:00:00,ENABLED,2025-07-06 21:17:08+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 31)",2025-07-07 00:00:00 - 2025-07-08 00:00:00,ENABLED,2025-07-06 23:37:05+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 31)",2025-07-07 00:00:00 - 2025-07-08 00:00:00,ENABLED,2025-07-06 23:37:05+0000
