timestamp,value
2025-05-14T13:49:21Z,50.0
2025-05-14T13:50:21Z,50.0
2025-05-14T13:51:21Z,50.0
2025-05-14T13:52:21Z,50.0
2025-05-14T13:53:21Z,50.0
2025-05-14T13:54:21Z,50.0
2025-05-14T13:55:21Z,50.0
2025-05-14T13:56:21Z,50.0
2025-05-14T13:57:21Z,50.0
2025-05-14T13:58:21Z,50.0
2025-05-14T13:59:21Z,50.0
2025-05-14T14:00:21Z,50.0
2025-05-14T15:53:20Z,50.0
2025-05-14T15:54:20Z,50.0
2025-05-14T15:55:20Z,50.0
2025-05-14T15:56:20Z,93.9
2025-05-14T15:57:20Z,94.0
2025-05-14T16:05:51Z,93.8
2025-05-14T16:06:51Z,94.0
2025-05-14T16:07:51Z,94.0
2025-05-14T16:08:51Z,50.0
2025-05-14T16:09:51Z,93.9
2025-05-14T16:10:51Z,94.0
2025-05-14T16:11:51Z,93.7
2025-05-14T16:12:51Z,93.6
2025-05-14T16:13:51Z,93.4
2025-05-14T16:14:51Z,93.2
2025-05-14T16:15:51Z,93.2
2025-05-14T16:16:51Z,93.2
2025-05-14T16:17:51Z,93.1
2025-05-14T16:18:51Z,93.1
2025-05-14T16:19:51Z,92.7
2025-05-14T16:20:51Z,92.5
2025-05-14T16:21:51Z,92.2
2025-05-14T16:22:51Z,92.2
2025-05-14T16:23:51Z,50.0
2025-05-14T16:24:51Z,92.6
2025-05-14T16:25:51Z,92.8
2025-05-14T16:26:51Z,92.9
2025-05-14T16:27:51Z,93.1
2025-05-14T16:28:51Z,50.0
2025-05-14T16:29:51Z,93.2
2025-05-14T16:30:51Z,92.8
2025-05-14T16:31:51Z,92.6
2025-05-14T16:32:51Z,50.0
2025-05-14T16:33:51Z,92.4
2025-05-14T16:34:51Z,92.4
2025-05-14T16:35:51Z,92.6
2025-05-14T16:36:51Z,92.7
2025-05-14T16:37:51Z,92.9
2025-05-14T16:38:51Z,93.1
2025-05-14T16:39:51Z,93.1
2025-05-14T16:40:51Z,93.0
2025-05-14T16:41:51Z,93.1
2025-05-14T16:42:51Z,93.0
2025-05-14T16:43:51Z,93.0
2025-05-14T16:44:51Z,93.2
2025-05-14T16:45:51Z,93.4
2025-05-14T16:46:51Z,93.3
2025-05-14T16:47:51Z,93.3
2025-05-14T16:48:51Z,93.4
2025-05-14T16:49:51Z,93.5
2025-05-14T16:50:51Z,93.5
2025-05-14T16:51:51Z,50.0
2025-05-14T16:52:51Z,94.6
2025-05-14T16:53:51Z,95.5
2025-05-14T16:54:51Z,50.0
2025-05-14T16:55:51Z,95.5
2025-05-14T16:56:51Z,50.0
2025-05-14T16:57:51Z,95.0
2025-05-14T16:58:51Z,94.1
2025-05-14T16:59:51Z,50.0
2025-05-14T17:00:51Z,94.0
2025-05-14T17:01:51Z,92.9
2025-05-14T17:02:51Z,50.0
2025-05-14T17:03:51Z,50.0
2025-05-14T17:04:51Z,50.0
2025-05-14T17:05:51Z,50.0
2025-05-14T17:06:51Z,50.0
2025-05-14T17:07:51Z,87.5
2025-05-14T17:08:51Z,85.5
2025-05-14T17:09:51Z,50.0
2025-05-14T17:10:51Z,50.0
2025-05-14T17:11:51Z,50.0
2025-05-14T17:12:51Z,50.0
2025-05-14T17:13:51Z,50.0
2025-05-14T18:53:21Z,95.4
2025-05-14T18:54:21Z,94.9
2025-05-14T18:55:21Z,94.1
2025-05-14T18:56:21Z,94.4
2025-05-14T18:57:21Z,94.4
2025-05-14T18:58:21Z,94.4
2025-05-14T18:59:21Z,50.0
2025-05-14T19:00:21Z,50.0
2025-05-14T19:01:21Z,94.4
2025-05-14T19:21:21Z,94.5
2025-05-14T19:22:21Z,94.3
2025-05-14T19:23:21Z,94.0
2025-05-14T19:24:21Z,50.0
2025-05-14T19:25:21Z,93.6
2025-05-14T19:26:21Z,50.0
2025-05-14T19:27:21Z,50.0
2025-05-14T19:28:21Z,50.0
2025-05-14T19:29:21Z,94.6
2025-05-14T19:30:21Z,95.2
2025-05-14T19:31:21Z,50.0
2025-05-14T19:32:21Z,95.1
2025-05-14T19:33:21Z,94.7
2025-05-14T19:34:21Z,95.1
2025-05-14T19:35:21Z,50.0
2025-05-14T19:36:21Z,94.3
2025-05-14T19:37:21Z,94.9
2025-05-14T19:38:21Z,95.1
2025-05-14T19:39:21Z,50.0
2025-05-14T19:40:21Z,50.0
2025-05-14T19:41:21Z,50.0
2025-05-14T19:42:21Z,95.1
2025-05-14T19:43:21Z,94.9
2025-05-14T19:44:21Z,94.9
2025-05-14T19:45:21Z,95.0
2025-05-14T19:46:21Z,94.9
2025-05-14T19:47:21Z,94.7
2025-05-14T19:48:21Z,50.0
2025-05-14T19:49:21Z,50.0
2025-05-14T19:50:21Z,94.8
2025-05-14T19:51:21Z,94.9
2025-05-14T19:52:21Z,94.8
2025-05-14T19:53:21Z,95.5
2025-05-14T19:54:21Z,95.4
2025-05-14T19:55:21Z,95.7
2025-05-14T19:56:21Z,96.0
2025-05-14T19:57:21Z,95.6
2025-05-14T19:58:21Z,50.0
2025-05-14T19:59:21Z,50.0
2025-05-14T20:00:21Z,50.0
2025-05-14T20:01:21Z,95.7
2025-05-14T20:02:21Z,95.6
2025-05-14T20:03:21Z,50.0
2025-05-14T20:04:21Z,95.8
2025-05-14T20:05:21Z,95.6
2025-05-14T20:06:21Z,95.7
2025-05-14T20:07:21Z,50.0
2025-05-14T20:08:21Z,95.4
2025-05-14T20:09:21Z,94.5
2025-05-14T20:10:21Z,93.3
2025-05-14T20:11:21Z,92.5
2025-05-14T20:12:21Z,92.9
2025-05-14T20:13:21Z,50.0
2025-05-14T20:14:21Z,50.0
2025-05-14T20:15:21Z,93.6
2025-05-14T20:16:21Z,93.7
2025-05-14T20:17:21Z,94.0
2025-05-14T20:18:21Z,94.1
2025-05-14T20:19:21Z,94.0
2025-05-14T20:20:21Z,50.0
2025-05-14T20:21:21Z,50.0
2025-05-14T20:22:21Z,93.4
2025-05-14T20:23:21Z,93.5
2025-05-14T20:24:21Z,93.7
2025-05-14T20:25:21Z,93.4
2025-05-14T20:26:21Z,93.1
2025-05-14T20:27:21Z,93.8
2025-05-14T20:28:21Z,93.9
2025-05-14T20:29:21Z,50.0
2025-05-14T20:30:21Z,94.3
2025-05-14T20:31:21Z,94.6
2025-05-14T20:32:21Z,95.5
2025-05-14T20:33:21Z,95.8
2025-05-14T20:34:21Z,96.0
2025-05-14T20:35:21Z,96.6
2025-05-14T20:36:21Z,96.6
2025-05-14T20:37:21Z,50.0
2025-05-14T20:38:21Z,97.0
2025-05-14T20:39:21Z,97.0
2025-05-14T20:40:21Z,97.0
2025-05-14T20:41:21Z,97.3
2025-05-14T20:42:21Z,97.4
2025-05-14T20:43:21Z,97.3
2025-05-14T20:44:21Z,96.8
2025-05-14T20:45:21Z,96.3
2025-05-14T20:46:21Z,96.3
2025-05-14T20:47:21Z,96.1
2025-05-14T20:48:21Z,95.7
2025-05-14T20:49:21Z,95.7
2025-05-14T20:50:21Z,95.0
2025-05-14T20:51:21Z,95.2
2025-05-14T20:52:21Z,95.3
2025-05-14T20:53:21Z,95.3
2025-05-14T20:54:21Z,95.3
2025-05-14T20:55:21Z,95.3
2025-05-14T20:56:21Z,95.3
2025-05-14T20:57:21Z,95.5
2025-05-14T20:58:21Z,95.6
2025-05-14T20:59:21Z,95.7
2025-05-14T21:00:21Z,95.9
2025-05-14T21:01:21Z,95.9
2025-05-14T21:02:21Z,96.0
2025-05-14T21:03:21Z,96.0
2025-05-14T21:04:21Z,96.1
2025-05-14T21:05:21Z,50.0
2025-05-14T21:06:21Z,96.1
2025-05-14T21:07:21Z,95.6
2025-05-14T21:08:21Z,95.1
2025-05-14T21:09:21Z,94.8
2025-05-14T21:10:21Z,94.7
2025-05-14T21:11:21Z,94.4
2025-05-14T21:12:21Z,94.0
2025-05-14T21:13:21Z,93.6
2025-05-14T21:14:21Z,93.3
2025-05-14T21:15:21Z,92.9
2025-05-14T21:16:21Z,92.3
2025-05-14T21:17:21Z,92.0
2025-05-14T21:18:21Z,91.2
2025-05-14T21:19:21Z,89.9
2025-05-14T21:20:21Z,88.7
2025-05-14T21:21:21Z,87.2
2025-05-14T21:22:21Z,50.0
2025-05-14T21:23:21Z,90.2
2025-05-14T21:24:21Z,86.2
2025-05-14T21:25:21Z,88.3
2025-05-14T21:26:21Z,91.2
2025-05-14T21:27:21Z,91.9
2025-05-14T21:28:21Z,50.0
2025-05-14T21:29:21Z,91.9
